,open,high,low,close,volume
2019-10-25,11.91,12.025,11.72,11.98,8607681.0
2019-10-24,12.11,12.16,11.68,11.94,8002400.0
2019-10-23,11.71,12.2,11.54,12.01,9310400.0
2019-10-22,11.54,11.97,11.39,11.73,9216700.0
2019-10-21,11.27,11.55,11.23,11.53,7350800.0
2019-10-18,11.54,11.7,11.26,11.3,12563500.0
2019-10-17,11.67,11.69,11.36,11.55,9794400.0
2019-10-16,11.82,11.95,11.62,11.62,8034200.0
2019-10-15,11.68,12.01,11.61,11.84,11020600.0
2019-10-14,11.53,11.89,11.37,11.78,12651900.0
2019-10-11,11.54,11.85,11.53,11.74,10294500.0
2019-10-10,11.23,11.49,11.19,11.4,10299600.0
2019-10-09,11.27,11.37,11.06,11.19,10467500.0
2019-10-08,11.25,11.38,11.09,11.09,10457100.0
2019-10-07,11.56,11.65,11.33,11.41,13163400.0
2019-10-04,11.58,11.69,11.32,11.56,10702900.0
2019-10-03,11.16,11.71,11.07,11.66,12311300.0
2019-10-02,11.74,11.82,11.28,11.3,15302200.0
2019-10-01,12.37,12.5,11.79,11.79,12543900.0
2019-09-30,12.08,12.31,12.07,12.27,9163900.0
2019-09-27,11.76,12.31,11.75,12.2,14130600.0
2019-09-26,12.14,12.23,11.83,11.94,12786000.0
2019-09-25,11.96,12.37,11.94,12.32,12912100.0
2019-09-24,12.95,12.99,12.14,12.22,16061500.0
2019-09-23,13.0,13.18,12.93,13.1,9709400.0
2019-09-20,13.12,13.32,12.97,13.18,15725500.0
2019-09-19,13.17,13.3,12.95,13.04,12369400.0
2019-09-18,12.9,13.21,12.78,13.03,16993900.0
2019-09-17,14.1,14.1,13.01,13.07,19976700.0
2019-09-16,14.08,14.39,13.68,14.17,29418300.0
2019-09-13,12.76,12.93,12.51,12.7,7715700.0
2019-09-12,12.72,12.85,12.44,12.58,14044400.0
2019-09-11,12.96,13.32,12.8,13.01,11736300.0
2019-09-10,12.97,13.25,12.74,12.83,10453900.0
2019-09-09,12.64,12.94,12.56,12.9,12783000.0
2019-09-06,12.44,12.55,12.22,12.45,12409900.0
2019-09-05,12.24,12.69,12.22,12.54,11374800.0
2019-09-04,11.91,12.14,11.87,12.11,7212700.0
2019-09-03,11.5,11.79,11.39,11.77,10039900.0
2019-08-30,12.24,12.28,11.77,11.84,9587300.0
2019-08-29,12.06,12.36,12.05,12.2,10028700.0
2019-08-28,11.66,12.06,11.57,11.94,9074700.0
2019-08-27,11.73,11.76,11.39,11.53,8011800.0
2019-08-26,11.91,11.96,11.59,11.63,8680100.0
2019-08-23,12.04,12.25,11.71,11.75,14130800.0
2019-08-22,12.44,12.49,12.25,12.26,7948200.0
2019-08-21,12.81,12.88,12.39,12.42,11895900.0
2019-08-20,12.72,12.77,12.58,12.62,8523900.0
2019-08-19,12.68,12.95,12.65,12.88,9857300.0
2019-08-16,12.1,12.5,11.93,12.45,10589500.0
2019-08-15,12.23,12.32,11.93,12.02,12160400.0
2019-08-14,12.52,12.64,12.27,12.3,14325700.0
2019-08-13,12.68,13.2699,12.52,12.95,11807500.0
2019-08-12,12.79,12.99,12.7,12.74,10451500.0
2019-08-09,12.95,13.14,12.79,12.87,11947800.0
2019-08-08,12.6,12.87,12.22,12.86,20747000.0
2019-08-07,11.82,12.14,11.56,12.05,20579100.0
2019-08-06,12.54,12.7,12.06,12.16,13255300.0
2019-08-05,12.99,12.99,12.46,12.5,16870700.0
2019-08-02,13.57,13.69,12.92,13.28,14177800.0
2019-08-01,13.82,13.92,13.32,13.53,16134900.0
2019-07-31,14.12,14.37,13.91,14.07,9589600.0
2019-07-30,13.41,14.24,13.35,14.13,11972700.0
2019-07-29,13.72,13.78,13.33,13.5,9132800.0
2019-07-26,13.73,13.8102,13.55,13.75,7039900.0
2019-07-25,14.08,14.13,13.65,13.75,8621600.0
2019-07-24,13.71,14.11,13.68,13.97,8340300.0
2019-07-23,13.65,13.78,13.52,13.76,7851800.0
2019-07-22,13.63,13.81,13.55,13.67,10073300.0
2019-07-19,13.42,13.69,13.3,13.66,9224100.0
2019-07-18,13.17,13.45,13.15,13.38,9857400.0
2019-07-17,13.29,13.4285,13.18,13.22,12724100.0
2019-07-16,13.43,13.6389,13.19,13.32,11431900.0
2019-07-15,13.93,13.95,13.45,13.48,9323200.0
2019-07-12,13.66,13.97,13.61,13.92,7002900.0
2019-07-11,13.91,13.97,13.6192,13.65,5848600.0
2019-07-10,13.7,13.98,13.65,13.9,7363700.0
2019-07-09,13.48,13.57,13.2,13.54,7237200.0
2019-07-08,13.67,13.88,13.51,13.52,7711600.0
2019-07-05,13.59,13.78,13.53,13.76,7194400.0
2019-07-03,13.56,13.67,13.43,13.66,6382800.0
2019-07-02,14.25,14.25,13.54,13.55,11173700.0
2019-07-01,14.58,14.7,14.12,14.25,9175200.0
2019-06-28,14.22,14.31,14.07,14.21,10205400.0
