,open,high,low,close,volume
2019-10-25,45.7,46.455,45.62,46.37,8858586.0
2019-10-24,46.0,46.13,45.51,45.76,7469800.0
2019-10-23,45.13,45.93,45.1,45.91,8328000.0
2019-10-22,44.85,45.62,44.57,45.38,12366600.0
2019-10-21,44.08,45.09,44.08,44.98,14244800.0
2019-10-18,43.53,43.86,43.23,43.66,10493900.0
2019-10-17,44.37,44.5,43.44,43.44,17965100.0
2019-10-16,42.59,43.15,42.45,42.79,10088900.0
2019-10-15,42.39,42.92,41.91,42.53,10112800.0
2019-10-14,41.77,42.31,41.68,42.25,6644500.0
2019-10-11,42.0,42.59,41.9,41.93,14914600.0
2019-10-10,40.86,41.41,40.75,41.05,8207100.0
2019-10-09,40.19,40.65,40.03,40.44,8955700.0
2019-10-08,40.05,40.2,39.69,39.82,8309000.0
2019-10-07,40.6,41.11,40.55,40.68,6323600.0
2019-10-04,40.34,40.82,40.18,40.78,5631400.0
2019-10-03,40.05,40.3,39.3,40.25,12293600.0
2019-10-02,41.04,41.09,40.09,40.23,12052500.0
2019-10-01,42.51,42.65,41.25,41.38,13437200.0
2019-09-30,43.07,43.2,42.58,42.67,6213700.0
2019-09-27,42.96,43.18,42.5,42.84,8005200.0
2019-09-26,42.96,43.01,42.58,42.62,5343800.0
2019-09-25,42.35,43.16,42.35,43.04,6909400.0
2019-09-24,43.77,43.77,42.37,42.54,11246400.0
2019-09-23,43.27,43.78,42.94,43.56,7114600.0
2019-09-20,44.22,44.6,43.63,43.67,22404600.0
2019-09-19,44.21,44.47,43.91,44.02,6403500.0
2019-09-18,43.91,44.49,43.65,44.36,8283800.0
2019-09-17,44.5,44.5,43.55,44.21,9768500.0
2019-09-16,44.49,45.05,44.35,44.75,6289800.0
2019-09-13,44.95,45.45,44.73,45.16,11364500.0
2019-09-12,43.51,44.44,43.38,44.32,13254300.0
2019-09-11,43.74,43.94,43.21,43.94,9877900.0
2019-09-10,43.28,43.81,43.06,43.58,12292700.0
2019-09-09,42.54,43.49,42.54,43.11,11888800.0
2019-09-06,42.47,42.55,42.01,42.18,7012700.0
2019-09-05,42.3,43.11,42.3,42.47,8101600.0
2019-09-04,41.44,41.69,41.3,41.53,6829900.0
2019-09-03,41.04,41.09,40.35,40.99,8675300.0
2019-08-30,41.68,41.87,41.3,41.49,7427000.0
2019-08-29,40.89,41.5,40.87,41.29,12191900.0
2019-08-28,39.4,40.7,39.35,40.38,9881900.0
2019-08-27,40.25,40.34,39.45,39.79,8742900.0
2019-08-26,39.84,40.27,39.7,40.16,10408600.0
2019-08-23,40.05,40.4,39.11,39.33,12310800.0
2019-08-22,40.36,40.42,39.92,40.27,8126000.0
2019-08-21,40.48,40.53,39.83,39.94,9876100.0
