,open,high,low,close,volume
2019-10-25,139.34,141.14,139.2035,140.73,20464765.0
2019-10-24,139.39,140.42,138.67,139.94,37029300.0
2019-10-23,136.88,137.45,135.61,137.24,29844600.0
2019-10-22,138.97,140.01,136.26,136.37,27431000.0
2019-10-21,138.45,138.5,137.01,138.43,20078200.0
2019-10-18,139.76,140.0,136.56,137.41,32273500.0
2019-10-17,140.95,141.42,139.02,139.69,21460600.0
2019-10-16,140.79,140.99,139.53,140.41,20751600.0
2019-10-15,140.06,141.79,139.81,141.57,19695700.0
2019-10-14,139.69,140.29,139.52,139.55,13304300.0
2019-10-11,140.12,141.03,139.5,139.68,25446000.0
2019-10-10,138.49,139.67,138.25,139.1,17654600.0
2019-10-09,137.46,138.7,136.97,138.24,19749900.0
2019-10-08,137.08,137.76,135.62,135.67,25550500.0
2019-10-07,137.14,138.18,137.02,137.12,15303700.0
2019-10-04,136.75,138.25,136.42,138.12,22897700.0
2019-10-03,134.95,136.75,133.22,136.28,24132900.0
2019-10-02,136.25,136.37,133.58,134.65,30521700.0
2019-10-01,139.66,140.25,137.0,137.07,21466600.0
2019-09-30,138.05,139.22,137.78,139.03,17280900.0
2019-09-27,140.15,140.36,136.65,137.73,22477700.0
2019-09-26,139.44,140.18,138.44,139.54,17456600.0
2019-09-25,137.5,139.96,136.03,139.36,21382000.0
2019-09-24,140.36,140.69,136.88,137.38,29773200.0
2019-09-23,139.23,139.63,138.44,139.14,17139300.0
2019-09-20,141.01,141.65,138.25,139.44,39167300.0
2019-09-19,140.3,142.37,140.07,141.07,35772100.0
2019-09-18,137.36,138.67,136.53,138.52,23982100.0
2019-09-17,136.96,137.52,136.43,137.39,17814200.0
2019-09-16,135.83,136.7,135.66,136.33,16731400.0
2019-09-13,137.78,138.06,136.57,137.32,23363100.0
2019-09-12,137.85,138.42,136.87,137.52,27010000.0
2019-09-11,135.91,136.27,135.09,136.12,24726100.0
2019-09-10,136.8,136.89,134.51,136.08,28903400.0
2019-09-09,139.59,139.75,136.46,137.52,25773900.0
2019-09-06,140.03,140.18,138.2,139.1,20824500.0
2019-09-05,139.11,140.38,138.76,140.05,26101800.0
2019-09-04,137.3,137.69,136.48,137.63,17995900.0
2019-09-03,136.61,137.2,135.7,136.04,18869300.0
2019-08-30,139.15,139.18,136.27,137.86,23940100.0
2019-08-29,137.25,138.44,136.91,138.12,20168700.0
2019-08-28,134.88,135.76,133.55,135.56,17393300.0
2019-08-27,136.39,136.72,134.66,135.74,23102100.0
2019-08-26,134.99,135.56,133.9,135.45,20312600.0
2019-08-23,137.19,138.35,132.8,133.39,38508600.0
2019-08-22,138.66,139.2,136.29,137.78,18697000.0
2019-08-21,138.55,139.49,138.0,138.79,14970300.0
2019-08-20,138.21,138.71,137.24,137.26,21170800.0
2019-08-19,137.85,138.55,136.89,138.41,24355700.0
2019-08-16,134.88,136.46,134.72,136.13,24449100.0
2019-08-15,134.39,134.58,132.25,133.68,28074400.0
2019-08-14,136.36,136.92,133.67,133.98,32527300.0
2019-08-13,136.05,138.8,135.0,138.6,25154600.0
2019-08-12,137.07,137.86,135.24,135.79,20484300.0
2019-08-09,138.61,139.38,136.46,137.71,23466700.0
2019-08-08,136.6,138.99,135.93,138.89,27496500.0
2019-08-07,133.79,135.65,131.828,135.28,33414500.0
2019-08-06,133.8,135.68,133.21,134.69,32696700.0
2019-08-05,133.3,133.93,130.78,132.21,42749600.0
2019-08-02,138.09,138.32,135.26,136.9,30791600.0
2019-08-01,137.0,140.94,136.93,138.06,40557500.0
2019-07-31,140.33,140.49,135.08,136.27,38598800.0
2019-07-30,140.14,141.22,139.8,140.35,16846500.0
2019-07-29,141.5,141.51,139.37,141.03,16605900.0
2019-07-26,140.37,141.68,140.3,141.34,19037600.0
2019-07-25,140.43,140.61,139.32,140.19,18356900.0
2019-07-24,138.8968,140.74,138.85,140.72,20738300.0
2019-07-23,139.76,139.99,138.03,139.29,18034600.0
2019-07-22,137.41,139.19,137.33,138.43,25074900.0
2019-07-19,140.22,140.67,136.45,136.62,48992400.0
2019-07-18,135.55,136.62,134.67,136.42,30381800.0
2019-07-17,137.7,137.93,136.22,136.27,20211000.0
2019-07-16,138.96,139.05,136.52,137.08,22726100.0
2019-07-15,139.44,139.54,138.46,138.9,16651500.0
2019-07-12,138.85,139.13,138.01,138.9,18936800.0
2019-07-11,138.2,139.22,137.87,138.4,22327900.0
2019-07-10,137.13,138.58,137.02,137.85,24204400.0
2019-07-09,136.0,136.97,135.8,136.46,19953100.0
2019-07-08,136.4,137.1,135.37,136.96,16779700.0
2019-07-05,135.94,137.33,135.72,137.06,18141100.0
2019-07-03,136.8,137.74,136.295,137.46,13629300.0
2019-07-02,136.12,136.59,135.3291,136.58,15237800.0
2019-07-01,136.63,136.7,134.97,135.68,22613500.0
2019-06-28,134.57,134.6,133.156,133.96,30043000.0
2019-06-27,134.14,134.71,133.51,134.15,16557500.0
2019-06-26,134.35,135.7327,133.6,133.93,23657700.0
2019-06-25,137.25,137.59,132.73,133.43,33327400.0
2019-06-24,137.0,138.4,137.0,137.78,20628800.0
2019-06-21,136.58,137.73,136.46,136.97,36727900.0
2019-06-20,137.45,137.66,135.72,136.95,33042600.0
2019-06-19,135.0,135.93,133.81,135.69,23744400.0
2019-06-18,134.19,135.24,133.57,135.16,25934500.0
2019-06-17,132.63,133.73,132.53,132.85,14517800.0
2019-06-14,132.26,133.79,131.64,132.45,17821700.0
2019-06-13,131.98,132.67,131.56,132.32,17200800.0
2019-06-12,131.4,131.97,130.71,131.49,17092500.0
2019-06-11,133.88,134.24,131.276,132.1,23913700.0
2019-06-10,132.4,134.08,132.0,132.6,26477100.0
2019-06-07,129.1903,132.25,128.26,131.4,33885600.0
2019-06-06,126.44,127.97,125.6,127.82,21459000.0
