,open,high,low,close,volume
2019-10-25,47.28,48.265,46.93,48.03,19250282.0
2019-10-24,45.9,47.16,45.58,47.1,25760200.0
2019-10-23,44.05,44.82,43.95,44.66,13959200.0
2019-10-22,45.3,45.7,44.62,44.66,13802400.0
2019-10-21,43.96,45.3,43.92,45.22,15473700.0
2019-10-18,44.83,44.98,43.23,43.47,26215300.0
2019-10-17,45.77,46.12,45.28,45.5,11718700.0
2019-10-16,45.99,46.55,45.08,45.16,16646900.0
2019-10-15,45.21,46.55,45.04,46.46,17767700.0
2019-10-14,44.96,45.33,44.8,44.86,12443300.0
2019-10-11,44.39,45.82,44.28,45.1,27483700.0
2019-10-10,42.87,43.79,42.61,43.28,15572600.0
2019-10-09,43.18,43.38,42.83,42.88,12784000.0
2019-10-08,43.6,43.84,42.62,42.64,20664600.0
2019-10-07,44.3,44.73,44.06,44.16,14911600.0
2019-10-04,43.71,44.62,43.29,44.55,21860000.0
2019-10-03,42.0,43.49,41.76,43.46,23627100.0
2019-10-02,41.82,42.67,41.76,41.98,26408500.0
2019-10-01,43.1,43.34,41.75,42.3,28087300.0
2019-09-30,43.0,43.47,42.58,42.85,31423100.0
2019-09-27,45.9,45.92,42.91,43.21,75941400.0
2019-09-26,49.38,49.74,48.13,48.6,33341000.0
2019-09-25,48.47,49.7,47.86,49.47,23571800.0
2019-09-24,49.74,49.9,48.05,48.51,24959000.0
2019-09-23,49.54,50.19,49.48,49.6,16198500.0
2019-09-20,50.34,50.45,48.77,49.16,23195000.0
2019-09-19,51.17,51.3,49.75,49.82,16633600.0
2019-09-18,51.0,51.17,49.69,50.48,15247100.0
2019-09-17,50.18,50.91,49.93,50.84,13776500.0
2019-09-16,49.53,50.24,49.02,50.15,17495300.0
2019-09-13,50.51,50.95,50.06,50.5,14733000.0
2019-09-12,50.8,51.12,50.1,50.44,19671300.0
2019-09-11,50.02,51.39,49.84,50.48,31012900.0
2019-09-10,49.37,49.94,48.5,49.39,23111300.0
2019-09-09,49.54,50.0,48.86,49.13,19474400.0
2019-09-06,48.86,49.5,48.7,48.97,19565700.0
2019-09-05,47.9,49.64,47.89,49.03,33075500.0
2019-09-04,46.45,47.5,46.4,46.81,26978100.0
2019-09-03,44.6,45.33,44.44,44.99,17108100.0
2019-08-30,45.12,45.93,45.05,45.27,16391500.0
2019-08-29,43.99,45.22,43.91,44.67,18674100.0
2019-08-28,42.1,43.26,41.76,43.15,11545700.0
2019-08-27,43.71,43.8,42.35,42.44,19122100.0
2019-08-26,43.74,43.77,43.16,43.43,12282800.0
2019-08-23,43.89,44.97,42.66,42.96,27519900.0
2019-08-22,44.5,45.45,44.05,44.78,20599000.0
2019-08-21,44.81,45.0,43.9,44.17,14973800.0
2019-08-20,44.85,44.97,44.04,44.23,13191000.0
2019-08-19,44.67,45.37,44.34,45.01,22613400.0
2019-08-16,42.64,43.88,42.55,43.55,17914100.0
2019-08-15,42.34,42.56,41.5,42.24,16104000.0
2019-08-14,42.88,43.15,41.66,42.04,24657200.0
2019-08-13,42.62,45.08,42.51,44.17,33040200.0
2019-08-12,41.05,42.4,40.97,42.13,23969200.0
2019-08-09,42.04,42.24,40.87,41.52,22900300.0
2019-08-08,42.0888,42.76,41.67,42.63,18567500.0
2019-08-07,42.01,42.95,40.7,41.75,35604600.0
2019-08-06,42.67,43.19,41.69,42.62,26857000.0
2019-08-05,42.4,42.51,41.36,41.94,35172900.0
2019-08-02,42.64,44.41,42.22,44.08,31954100.0
2019-08-01,45.0,45.96,42.84,43.6,37906500.0
2019-07-31,46.71,46.79,44.44,44.89,34493900.0
2019-07-30,46.88,47.68,46.2,47.46,21301600.0
2019-07-29,46.87,46.97,45.85,46.82,21939500.0
2019-07-26,47.94,48.13,47.09,47.49,19676200.0
2019-07-25,48.4,48.7,47.59,47.77,28127800.0
2019-07-24,46.95,48.23,46.82,47.99,33169900.0
2019-07-23,46.78,47.14,46.23,46.95,29354400.0
2019-07-22,46.5,47.43,46.31,47.19,46042800.0
2019-07-19,45.13,46.0,44.63,45.52,39328400.0
2019-07-18,43.61,44.93,43.5,44.67,26456600.0
2019-07-17,43.0,43.75,42.6,43.37,19539300.0
2019-07-16,44.05,44.1,42.93,43.06,31238900.0
2019-07-15,44.69,45.27,43.71,44.4,26623300.0
2019-07-12,43.75,44.7,43.36,44.51,33257800.0
2019-07-11,43.22,43.54,42.44,43.48,30392400.0
2019-07-10,42.23,44.0,42.04,42.9,51625500.0
2019-07-09,40.13,41.41,40.08,41.35,28254700.0
2019-07-08,39.03,40.61,38.94,40.41,28148500.0
2019-07-05,38.95,39.56,38.8016,39.42,18408000.0
2019-07-03,39.62,39.77,39.17,39.59,13479700.0
2019-07-02,39.62,40.035,39.025,39.6,29774500.0
2019-07-01,41.155,41.71,39.74,40.11,60928000.0
2019-06-28,39.36,39.4,38.05,38.59,61402700.0
2019-06-27,36.85,38.33,36.51,38.07,51612400.0
2019-06-26,35.87,37.614,35.7,37.04,100271600.0
2019-06-25,33.35,33.88,32.61,32.68,39590500.0
2019-06-24,33.2,34.08,33.02,33.19,27306000.0
2019-06-21,33.7,33.89,32.73,33.25,38858200.0
2019-06-20,34.84,35.26,34.02,34.15,21691500.0
2019-06-19,34.6905,34.69,33.705,33.94,20436400.0
2019-06-18,32.9,34.89,32.9,34.29,33727300.0
2019-06-17,32.54,32.85,32.14,32.43,20050000.0
2019-06-14,32.45,32.84,32.245,32.66,19715000.0
2019-06-13,33.0803,33.639,33.005,33.38,16586700.0
2019-06-12,34.01,34.1,32.73,32.96,28746500.0
2019-06-11,35.8,35.99,34.75,34.84,19208600.0
2019-06-10,34.6,35.54,34.52,34.94,21728000.0
2019-06-07,33.5497,34.025,33.22,33.99,21430400.0
2019-06-06,33.26,33.818,32.94,33.47,21088100.0
