,open,high,low,close,volume
2019-10-25,20.36,20.74,20.04,20.62,3325116.0
2019-10-24,20.66,20.77,20.22,20.36,3215700.0
2019-10-23,20.22,20.68,19.84,20.51,3471300.0
2019-10-22,19.57,20.45,19.51,20.22,3900500.0
2019-10-21,19.06,19.75,19.03,19.6,3746100.0
2019-10-18,19.56,20.08,19.06,19.06,7447400.0
2019-10-17,20.36,20.36,19.49,19.61,7637400.0
2019-10-16,20.87,20.99,20.3,20.3,4318000.0
2019-10-15,20.45,21.22,20.34,20.92,6241000.0
2019-10-14,20.19,20.57,19.84,20.44,4581400.0
2019-10-11,20.44,20.83,20.14,20.58,5443500.0
2019-10-10,19.54,20.15,19.42,20.12,7486800.0
2019-10-09,19.65,19.75,19.12,19.45,5687100.0
2019-10-08,19.59,20.04,19.46,19.46,11748300.0
2019-10-07,20.6,20.65,19.69,19.72,8418300.0
2019-10-04,20.79,20.95,20.29,20.59,4414800.0
2019-10-03,20.23,20.95,20.14,20.92,5157000.0
2019-10-02,21.43,21.59,20.61,20.62,8898500.0
2019-10-01,22.65,22.81,21.35,21.4,6335900.0
2019-09-30,22.31,22.63,22.14,22.46,4179700.0
2019-09-27,22.33,22.97,22.17,22.46,4483000.0
2019-09-26,22.73,22.91,22.3,22.69,3854200.0
2019-09-25,22.33,23.13,22.33,22.99,5745700.0
2019-09-24,23.33,23.43,22.58,22.67,4873300.0
2019-09-23,22.95,23.57,22.73,23.44,4265200.0
2019-09-20,23.42,23.63,23.04,23.15,7699400.0
2019-09-19,24.53,24.66,23.14,23.3,7673600.0
2019-09-18,24.7,24.9,24.02,24.24,4644000.0
2019-09-17,25.12,25.64,24.42,25.09,8203300.0
2019-09-16,27.01,27.31,23.95,25.23,21368900.0
2019-09-13,24.94,25.29,24.45,25.04,3575700.0
2019-09-12,24.19,24.85,23.43,24.64,4628900.0
2019-09-11,24.42,25.1,24.05,24.68,5973400.0
2019-09-10,23.85,24.67,23.85,24.21,4938500.0
2019-09-09,23.0,24.05,23.0,23.76,7614400.0
2019-09-06,22.19,22.74,21.77,22.71,3971700.0
2019-09-05,22.69,22.87,22.35,22.68,6980500.0
2019-09-04,22.65,22.75,22.33,22.52,3982600.0
2019-09-03,22.11,22.35,21.55,22.31,4865700.0
2019-08-30,22.83,22.97,22.32,22.58,4253200.0
2019-08-29,22.42,22.96,22.28,22.78,4397300.0
2019-08-28,21.69,22.37,21.45,22.21,3545100.0
2019-08-27,21.89,21.97,21.33,21.51,4951200.0
2019-08-26,21.83,22.11,21.56,21.7,4107800.0
2019-08-23,22.2,22.28,21.5,21.6,6221200.0
2019-08-22,22.77,22.96,22.28,22.31,5408200.0
2019-08-21,22.65,22.87,22.08,22.22,2884500.0
2019-08-20,22.34,22.41,21.97,22.25,2748200.0
2019-08-19,21.76,22.5,21.72,22.46,4887800.0
2019-08-16,21.39,21.64,20.8,21.51,4221500.0
2019-08-15,20.95,21.3,20.8,21.22,3592200.0
2019-08-14,21.69,21.84,21.0,21.12,6337600.0
2019-08-13,21.81,23.13,21.7395,22.3,5368400.0
2019-08-12,22.0,22.18,21.69,22.02,3961800.0
2019-08-09,22.38,22.58,22.1,22.16,5018800.0
2019-08-08,21.8,22.2614,21.41,22.24,5710200.0
2019-08-07,20.79,21.75,20.63,21.56,6082000.0
2019-08-06,21.87,22.04,20.87,21.4,5874100.0
2019-08-05,21.28,22.31,21.09,21.55,10893600.0
2019-08-02,22.5,23.32,21.45,21.88,12090200.0
2019-08-01,21.71,21.71,20.39,20.49,10966600.0
2019-07-31,21.98,22.57,21.71,22.08,5122200.0
2019-07-30,20.77,22.29,20.72,22.1,4959200.0
2019-07-29,20.71,20.92,20.33,20.87,4544200.0
2019-07-26,20.94,21.21,20.61,20.75,4088100.0
2019-07-25,21.87,22.03,20.91,20.98,3440600.0
2019-07-24,21.22,21.81,21.15,21.5,4173900.0
2019-07-23,20.9,21.22,20.7,21.19,3487900.0
2019-07-22,21.26,21.42,20.55,20.89,5029600.0
2019-07-19,20.8818,21.26,20.69,21.19,2680800.0
2019-07-18,20.3987,20.87,20.37,20.84,5624400.0
2019-07-17,21.09,21.2,20.55,20.57,3729000.0
2019-07-16,21.78,21.85,20.95,21.1,4540800.0
2019-07-15,22.72,22.88,21.6098,21.75,6815000.0
2019-07-12,22.35,22.95,22.26,22.74,4832100.0
2019-07-11,22.4,22.46,21.94,22.28,4344800.0
2019-07-10,21.64,22.4591,21.64,22.32,4523000.0
2019-07-09,21.31,21.6,21.07,21.51,4027600.0
2019-07-08,21.71,22.0,21.32,21.34,4805200.0
2019-07-05,21.9485,22.13,21.59,21.92,2967000.0
2019-07-03,21.98,22.11,21.73,22.1,1799700.0
2019-07-02,22.4805,22.48,21.63,21.8,4652600.0
2019-07-01,23.0,23.13,22.3158,22.49,4922600.0
2019-06-28,21.88,22.41,21.88,22.4,6287800.0
2019-06-27,21.77,22.21,21.765,21.82,4845700.0
2019-06-26,21.55,22.24,21.42,21.77,6019400.0
2019-06-25,21.05,21.395,20.9301,21.19,3911400.0
2019-06-24,21.51,21.685,21.165,21.26,4833000.0
2019-06-21,21.82,22.032,21.54,21.56,6055600.0
2019-06-20,21.07,21.8206,21.06,21.75,8835000.0
2019-06-19,20.36,20.72,20.14,20.49,7054200.0
2019-06-18,20.25,20.76,20.23,20.35,7319200.0
2019-06-17,19.53,20.3,19.48,20.22,5005500.0
2019-06-14,20.69,20.87,19.68,19.73,5833100.0
2019-06-13,20.66,20.79,20.51,20.77,3937600.0
2019-06-12,21.03,21.03,20.3,20.36,5551700.0
2019-06-11,21.28,21.5186,21.155,21.29,7456900.0
2019-06-10,20.74,21.37,20.74,21.04,5234300.0
2019-06-07,20.66,20.95,20.29,20.69,8020900.0
2019-06-06,20.9,21.1683,20.595,20.73,8959400.0
