,open,high,low,close,volume
2019-10-25,237.62,237.65,235.57,236.88,1153435.0
2019-10-24,236.0,237.67,234.82,237.55,1602800.0
2019-10-23,237.55,238.6,235.71,236.0,2228100.0
2019-10-22,233.79,239.89,233.01,236.24,3159200.0
2019-10-21,232.41,233.04,230.65,232.8,1622100.0
2019-10-18,231.19,232.78,230.31,232.48,2196100.0
2019-10-17,229.27,231.59,229.27,231.09,1341600.0
2019-10-16,227.67,230.34,226.58,229.91,1915500.0
2019-10-15,229.34,229.82,226.83,227.54,1418100.0
2019-10-14,230.01,230.38,227.55,228.9,1177900.0
2019-10-11,231.79,232.38,228.55,229.54,2075400.0
2019-10-10,232.02,232.86,230.24,232.0,1866400.0
2019-10-09,232.23,234.27,231.0,233.36,1501000.0
2019-10-08,232.14,232.18,229.96,229.97,1742000.0
2019-10-07,233.45,233.82,231.17,232.55,1538500.0
2019-10-04,230.11,233.86,230.0,233.59,1638200.0
2019-10-03,228.86,230.29,228.56,230.17,2004400.0
2019-10-02,231.69,232.48,228.53,229.11,2034600.0
2019-10-01,232.16,233.17,230.65,232.03,1681900.0
2019-09-30,232.02,233.45,231.75,232.99,2234400.0
2019-09-27,232.25,232.57,230.15,231.26,1875300.0
2019-09-26,229.99,232.79,229.58,231.72,2175900.0
2019-09-25,228.9,229.49,227.51,229.37,2105900.0
2019-09-24,225.88,228.67,225.36,228.51,2168600.0
2019-09-23,225.44,226.46,224.84,225.28,1658500.0
2019-09-20,225.2,226.0,223.64,225.72,4751800.0
2019-09-19,224.74,225.4,223.56,224.9,1476700.0
2019-09-18,222.86,224.19,221.37,223.9,1920400.0
2019-09-17,218.44,222.33,218.44,222.22,1899200.0
2019-09-16,218.57,219.08,217.26,218.31,1258400.0
2019-09-13,220.06,220.12,217.79,218.49,2053300.0
2019-09-12,221.87,222.25,219.72,220.74,2167800.0
2019-09-11,218.02,220.59,217.45,220.06,2204500.0
2019-09-10,219.28,219.66,216.37,218.12,2773700.0
2019-09-09,219.2,220.89,218.89,219.89,2074400.0
2019-09-06,220.11,221.03,218.76,220.14,2282600.0
2019-09-05,219.18,221.34,218.6,219.81,4415300.0
2019-09-04,225.59,225.96,222.83,224.12,2227400.0
2019-09-03,218.81,225.59,218.81,225.56,2429600.0
2019-08-30,221.81,221.96,218.85,219.08,2946700.0
2019-08-29,222.52,222.52,219.21,221.12,2128000.0
2019-08-28,223.14,223.98,220.17,221.19,2839200.0
2019-08-27,224.23,225.57,223.9,224.01,2385300.0
2019-08-26,222.5,223.69,221.59,223.62,1863800.0
2019-08-23,222.53,224.2,220.63,221.9,2621400.0
2019-08-22,221.17,221.77,219.53,221.62,2289900.0
2019-08-21,219.86,221.34,219.15,221.26,1870900.0
2019-08-20,219.8,219.8,217.39,219.13,2079000.0
2019-08-19,217.31,219.61,216.62,218.96,1408100.0
2019-08-16,218.29,219.78,214.29,217.53,2622100.0
2019-08-15,214.63,217.87,214.29,217.15,1966400.0
2019-08-14,216.1,217.98,214.73,214.96,2389500.0
2019-08-13,215.39,217.05,214.78,215.62,1874200.0
2019-08-12,217.11,217.11,205.78,215.45,980600.0
2019-08-09,215.86,217.18,215.01,216.48,1457200.0
2019-08-08,213.22,215.9,211.21,215.22,1492800.0
2019-08-07,211.39,214.0,208.641,212.87,1723200.0
2019-08-06,208.14,212.15,206.64,211.4,1792900.0
2019-08-05,211.56,212.64,207.1,208.05,2209600.0
2019-08-02,211.12,213.23,210.02,211.41,1728200.0
2019-08-01,206.63,211.61,206.48,210.26,1876900.0
2019-07-31,209.87,210.17,206.21,207.17,2111500.0
2019-07-30,211.39,212.3789,208.27,209.39,1611800.0
2019-07-29,209.9,211.54,209.28,211.38,1318500.0
2019-07-26,208.14,209.75,207.8,209.17,1081200.0
2019-07-25,208.14,209.44,207.0433,207.63,1752500.0
2019-07-24,208.34,210.1,206.5294,210.06,1520000.0
2019-07-23,209.41,209.5,206.93,207.3,1584300.0
2019-07-22,210.01,210.69,207.73,209.36,1636900.0
2019-07-19,211.8,212.5,209.4,209.73,1460900.0
2019-07-18,210.26,212.48,209.0,212.36,1103300.0
2019-07-17,208.7,211.34,208.7,209.91,1639200.0
2019-07-16,208.66,209.43,206.8,207.88,1070400.0
2019-07-15,208.67,209.62,207.69,208.85,2178500.0
2019-07-12,209.9,210.26,207.79,208.73,1570800.0
2019-07-11,209.5853,210.72,208.56,210.4,1457600.0
2019-07-10,208.43,210.82,207.55,209.48,1480500.0
2019-07-09,208.24,209.0,207.17,208.16,1819000.0
2019-07-08,208.61,209.33,207.42,209.13,1080600.0
2019-07-05,207.44,208.47,205.3206,208.11,1049100.0
2019-07-03,207.89,209.46,207.66,208.73,1413600.0
2019-07-02,204.77,207.9,204.75,207.66,1674000.0
2019-07-01,204.37,204.86,201.06,204.02,2119700.0
2019-06-28,203.97,208.23,203.245,204.86,2911900.0
2019-06-27,204.8,205.46,203.62,204.55,1882300.0
2019-06-26,205.4,206.24,203.02,203.07,1848600.0
2019-06-25,208.3723,208.91,205.95,206.22,1738500.0
2019-06-24,208.3432,208.65,206.87,208.2,1502300.0
2019-06-21,207.13,208.47,205.42,207.55,3140200.0
2019-06-20,206.66,207.46,204.719,206.38,2220900.0
2019-06-19,204.29,207.07,204.26,206.24,1650700.0
2019-06-18,207.83,207.95,203.865,205.42,1644100.0
2019-06-17,207.25,207.995,205.25,206.37,1558400.0
2019-06-14,205.66,207.33,204.95,206.96,1381300.0
2019-06-13,204.6,205.5,203.25,204.77,1701600.0
2019-06-12,203.33,205.31,202.79,204.55,1309000.0
2019-06-11,203.2,203.8294,200.76,201.97,1151700.0
2019-06-10,204.1004,204.69,201.48,203.42,1776200.0
2019-06-07,206.9,208.47,204.39,204.39,1560700.0
2019-06-06,205.0,206.41,203.89,205.76,1403600.0
