,open,high,low,close,volume
2019-02-13,16.58,17.13,16.4,17.07,6651548.0
2019-02-12,16.66,17.2,16.195,16.35,54057175.0
2019-02-11,16.12,16.62,15.89,16.2,15493620.0
2019-02-08,16.64,16.86,16.01,16.3,10574612.0
2019-02-07,17.75,17.86,16.695,16.78,6211055.0
2019-02-06,17.98,18.32,17.83,17.98,4862663.0
2019-02-05,18.7,18.755,18.12,18.15,3417801.0
2019-02-04,18.07,18.72,17.9387,18.72,4439383.0
2019-02-01,18.38,18.66,18.115,18.28,6038605.0
2019-01-31,18.64,18.855,18.125,18.28,6665678.0
2019-01-30,18.41,18.59,18.165,18.57,6171399.0
2019-01-29,18.4,18.6635,18.16,18.18,6727366.0
2019-01-28,18.12,18.4,17.8081,18.32,5540171.0
2019-01-25,18.46,18.81,18.42,18.48,7948880.0
2019-01-24,17.85,18.38,17.77,18.31,4596190.0
2019-01-23,18.05,18.12,17.64,17.85,3895219.0
2019-01-22,18.24,18.32,17.81,17.88,5856890.0
2019-01-18,18.59,18.74,18.24,18.57,6821148.0
2019-01-17,17.93,18.53,17.745,18.3,9863797.0
2019-01-16,18.04,18.29,17.85,18.15,8068051.0
2019-01-15,18.0,18.275,17.83,18.06,6619397.0
2019-01-14,17.35,18.04,17.3,17.8,8842069.0
2019-01-11,17.17,17.915,16.9739,17.55,15527964.0
2019-01-10,16.71,17.47,16.53,17.33,12312978.0
2019-01-09,16.96,17.11,15.97,16.97,8720686.0
2019-01-08,16.5,16.995,16.3,16.7,6896835.0
2019-01-07,16.11,16.59,15.85,16.12,9529796.0
2019-01-04,15.65,16.2199,15.6,15.96,7597390.0
2019-01-03,15.25,15.5,14.825,15.28,5852316.0
2019-01-02,14.24,15.29,14.02,15.15,5577035.0
2018-12-31,14.47,14.78,14.195,14.66,3959912.0
2018-12-28,14.58,14.92,14.07,14.33,4973294.0
2018-12-27,14.3,14.54,13.84,14.5,5314131.0
2018-12-26,12.97,14.655,12.45,14.54,7776082.0
2018-12-24,13.31,13.59,12.91,12.92,2574577.0
2018-12-21,13.79,14.2,13.455,13.56,10581816.0
2018-12-20,14.09,14.9,13.88,13.9,6035907.0
2018-12-19,14.07,15.04,14.04,14.47,9191033.0
2018-12-18,14.61,14.69,14.0,14.06,6704957.0
2018-12-17,14.6,14.99,14.405,14.58,7078999.0
2018-12-14,15.52,15.61,14.65,14.7,5769407.0
2018-12-13,15.96,16.02,15.5,15.74,4497784.0
2018-12-12,15.85,16.56,15.8,15.95,7589143.0
2018-12-11,15.96,16.11,15.31,15.58,4244719.0
2018-12-10,16.1,16.41,15.37,15.61,5836000.0
2018-12-07,17.43,17.47,16.39,16.44,5184267.0
2018-12-06,16.71,16.83,16.13,16.81,10528883.0
2018-12-04,17.88,17.9,17.22,17.23,7017203.0
2018-12-03,17.71,18.09,17.58,17.84,9084634.0
2018-11-30,17.34,17.35,16.74,16.95,18391005.0
2018-11-29,17.65,17.86,17.35,17.55,4270527.0
2018-11-28,17.01,17.6,16.73,17.49,5318525.0
2018-11-27,17.67,17.75,16.96,17.05,5567449.0
2018-11-26,18.33,18.54,17.73,17.76,7316469.0
2018-11-23,17.66,18.27,17.63,18.02,2778403.0
2018-11-21,17.86,18.83,17.82,18.58,5994297.0
2018-11-20,18.82,18.82,17.61,17.68,7981103.0
2018-11-19,18.75,19.64,18.68,19.32,7949731.0
2018-11-16,19.87,19.98,18.39,19.0,8529640.0
2018-11-15,19.3,19.73,19.15,19.71,8683726.0
2018-11-14,20.99,21.08,18.96,19.46,11022109.0
2018-11-13,20.62,21.08,20.14,20.41,11486990.0
2018-11-12,22.1,22.17,20.72,20.75,8539897.0
2018-11-09,21.15,22.15,20.96,21.83,8867211.0
2018-11-08,21.68,22.49,21.52,21.67,11559610.0
2018-11-07,22.79,22.83,21.38,21.89,12249971.0
2018-11-06,22.6,22.81,22.06,22.14,8315891.0
2018-11-05,22.39,22.84,22.07,22.5,9049260.0
2018-11-02,23.05,23.61,21.74,21.87,17282848.0
2018-11-01,22.84,23.54,21.51,23.46,37244198.0
2018-10-31,19.8,20.57,19.77,20.2,7415363.0
2018-10-30,18.93,19.48,18.78,19.43,4913662.0
2018-10-29,20.06,20.44,18.67,19.1,5320407.0
2018-10-26,20.31,20.52,19.82,20.05,3235804.0
