,open,high,low,close,volume
2019-10-25,28.23,28.32,27.96,28.04,3241738.0
2019-10-24,28.19,28.42,28.08,28.2,3454900.0
2019-10-23,28.36,28.46,28.07,28.15,3460500.0
2019-10-22,28.22,28.34,28.07,28.27,2613300.0
2019-10-21,27.96,28.16,27.92,28.05,3250500.0
2019-10-18,27.97,28.12,27.78,27.98,2692900.0
2019-10-17,27.97,28.2,27.75,27.95,3537100.0
2019-10-16,28.1,28.26,27.8,27.97,9406900.0
2019-10-15,28.53,28.67,28.0,28.14,3517300.0
2019-10-14,29.24,29.24,28.41,28.54,2205400.0
2019-10-11,28.96,29.39,28.9,29.14,2205000.0
2019-10-10,29.0,29.13,28.78,29.01,1790700.0
2019-10-09,28.88,29.12,28.73,29.04,2243100.0
2019-10-08,29.32,29.32,28.82,28.83,2730900.0
2019-10-07,29.59,29.63,29.3,29.33,1874700.0
2019-10-04,29.37,29.65,29.19,29.63,2633400.0
2019-10-03,29.49,29.49,29.14,29.37,3211200.0
2019-10-02,29.61,29.75,29.37,29.41,2394900.0
2019-10-01,29.9,29.98,29.68,29.73,2278900.0
2019-09-30,30.03,30.11,29.82,29.92,3700600.0
2019-09-27,30.57,30.61,29.75,30.03,2915500.0
2019-09-26,30.2,30.67,30.16,30.56,2661600.0
2019-09-25,29.92,30.17,29.86,30.07,1886900.0
2019-09-24,29.74,30.16,29.66,29.96,2380100.0
2019-09-23,29.54,29.67,29.45,29.62,1372900.0
2019-09-20,29.53,29.62,29.35,29.48,3290900.0
2019-09-19,29.6,29.67,29.33,29.44,2200100.0
2019-09-18,29.58,29.6,29.29,29.47,2610000.0
2019-09-17,29.07,29.62,29.07,29.43,1881100.0
2019-09-16,29.18,29.31,28.99,29.04,1561500.0
2019-09-13,28.94,29.28,28.86,29.04,2494500.0
2019-09-12,29.36,29.51,29.05,29.11,2434000.0
2019-09-11,28.89,29.27,28.75,29.14,2775500.0
2019-09-10,28.88,28.97,28.56,28.97,3402000.0
2019-09-09,29.19,29.32,28.8,28.91,1719700.0
2019-09-06,29.67,29.72,29.12,29.33,3532900.0
2019-09-05,29.89,30.15,29.65,29.67,2553700.0
2019-09-04,30.12,30.33,29.9,30.21,1713000.0
2019-09-03,29.68,30.07,29.48,30.06,3485000.0
2019-08-30,29.56,29.68,29.33,29.55,1596500.0
2019-08-29,29.22,29.53,29.09,29.44,2327000.0
2019-08-28,29.22,29.35,29.09,29.1,3895700.0
2019-08-27,29.58,29.62,29.22,29.24,1968000.0
2019-08-26,29.05,29.43,29.0,29.42,1535400.0
2019-08-23,29.74,29.78,28.94,29.02,2023300.0
2019-08-22,29.69,29.75,29.41,29.64,1563500.0
2019-08-21,29.32,29.67,29.13,29.66,1809200.0
2019-08-20,29.73,29.73,29.27,29.32,2547300.0
2019-08-19,29.4,29.76,29.23,29.63,2716000.0
2019-08-16,29.05,29.5279,28.6,29.42,9031900.0
2019-08-15,28.7301,29.16,28.6,29.03,3283200.0
2019-08-14,28.8,29.08,28.68,28.69,4260600.0
2019-08-13,28.55,28.82,28.4597,28.71,4201700.0
2019-08-12,28.56,28.91,28.51,28.65,4147600.0
2019-08-09,28.84,28.95,28.5496,28.57,3227000.0
2019-08-08,27.6107,28.84,27.44,28.8,8534000.0
2019-08-07,28.01,28.01,27.3857,27.63,5242000.0
2019-08-06,28.17,28.27,27.78,28.1,11314600.0
2019-08-05,29.16,29.3477,28.05,28.11,7003800.0
2019-08-02,29.96,30.18,29.63,29.71,3979400.0
2019-08-01,29.73,30.3397,29.6,30.04,3812100.0
2019-07-31,29.5,29.96,29.33,29.69,3349100.0
2019-07-30,29.58,29.8,29.38,29.58,2972500.0
2019-07-29,29.65,29.85,29.5,29.81,2258500.0
2019-07-26,29.42,29.65,29.3212,29.5,2028600.0
2019-07-25,29.57,29.67,29.31,29.39,2025000.0
2019-07-24,29.61,29.61,29.1,29.46,2921500.0
2019-07-23,29.12,29.31,29.01,29.22,2159200.0
2019-07-22,29.34,29.35,29.0221,29.14,1649300.0
2019-07-19,29.55,29.6,29.2,29.2,2245400.0
2019-07-18,29.26,29.62,29.08,29.59,1764100.0
2019-07-17,29.23,29.47,29.17,29.26,1327100.0
2019-07-16,29.3086,29.41,28.96,29.14,1646600.0
2019-07-15,29.25,29.46,29.14,29.42,1070400.0
2019-07-12,29.57,29.57,29.12,29.34,1161200.0
2019-07-11,29.56,29.6,29.26,29.52,1219000.0
2019-07-10,29.56,29.65,29.43,29.5,1977500.0
2019-07-09,29.43,29.57,29.18,29.56,2066800.0
2019-07-08,29.46,29.62,29.22,29.4,1758300.0
2019-07-05,29.22,29.46,28.935,29.45,1476100.0
2019-07-03,29.18,29.615,29.12,29.51,1344300.0
2019-07-02,28.63,29.1,28.63,29.08,2648200.0
2019-07-01,28.75,28.775,28.33,28.59,2465600.0
2019-06-28,28.56,28.92,28.5584,28.8,3556900.0
2019-06-27,28.75,28.84,28.54,28.61,1933700.0
2019-06-26,29.25,29.25,28.65,28.69,2871000.0
2019-06-25,29.3992,29.53,29.26,29.34,2175600.0
2019-06-24,29.46,29.53,29.28,29.33,1575900.0
2019-06-21,29.35,29.49,29.15,29.36,3722100.0
2019-06-20,29.6,29.75,29.175,29.42,2652200.0
2019-06-19,28.89,29.595,28.89,29.44,3563500.0
2019-06-18,29.41,29.51,28.8625,28.99,2962000.0
2019-06-17,28.8,29.35,28.54,29.16,6361300.0
2019-06-14,28.52,28.825,28.31,28.75,2390500.0
2019-06-13,28.6,28.72,28.385,28.48,2594000.0
2019-06-12,28.32,28.62,28.32,28.53,2116200.0
2019-06-11,28.42,28.5,28.085,28.17,2084100.0
2019-06-10,28.47,28.475,28.1941,28.42,1558100.0
2019-06-07,28.83,28.89,28.47,28.54,3615900.0
2019-06-06,28.57,28.72,28.47,28.62,2108800.0
