,open,high,low,close,volume
2019-10-25,40.56,40.915,40.405,40.81,1773860.0
2019-10-24,40.72,40.87,40.49,40.84,1793700.0
2019-10-23,40.65,40.87,40.41,40.62,1447300.0
2019-10-22,40.51,40.83,40.28,40.75,2127200.0
2019-10-21,40.29,40.45,40.06,40.35,1529500.0
2019-10-18,39.62,40.22,39.5,40.15,3082400.0
2019-10-17,39.62,39.9,39.52,39.75,1453500.0
2019-10-16,39.38,39.64,39.24,39.52,2136500.0
2019-10-15,39.15,39.69,39.11,39.38,1206000.0
2019-10-14,39.3,39.52,39.03,39.12,1615900.0
2019-10-11,39.06,39.65,38.98,39.18,1646900.0
2019-10-10,38.7,38.96,38.5,38.8,1518800.0
2019-10-09,39.1,39.31,38.42,38.76,2102700.0
2019-10-08,38.83,39.46,38.66,39.0,2484900.0
2019-10-07,39.01,39.21,38.83,38.92,1596300.0
2019-10-04,38.76,39.19,38.55,39.16,1756400.0
2019-10-03,38.24,38.67,37.8,38.66,2272800.0
2019-10-02,38.93,39.0,38.2,38.21,3188300.0
2019-10-01,39.54,39.62,39.03,39.14,1859400.0
2019-09-30,39.31,39.79,39.31,39.6,1899600.0
2019-09-27,39.54,39.83,39.17,39.44,1520300.0
2019-09-26,39.94,40.02,39.44,39.5,2256800.0
2019-09-25,39.24,39.83,39.24,39.76,2605600.0
2019-09-24,39.48,39.85,39.29,39.33,2831400.0
2019-09-23,38.99,39.62,38.85,39.28,2497100.0
2019-09-20,39.02,39.26,38.72,39.07,4399900.0
2019-09-19,39.07,39.17,38.7,38.8,2081000.0
2019-09-18,39.08,39.13,38.57,38.95,3035100.0
2019-09-17,39.1,39.37,38.8,39.03,2801000.0
2019-09-16,38.53,39.04,38.35,39.03,2435200.0
2019-09-13,38.14,38.71,37.73,38.5,2929100.0
2019-09-12,38.52,38.76,38.26,38.29,2339800.0
2019-09-11,38.1,38.93,37.82,38.61,2100800.0
2019-09-10,37.79,38.24,37.69,37.99,2088100.0
2019-09-09,37.88,38.06,37.57,37.84,1855600.0
2019-09-06,38.09,38.53,37.66,37.74,2230700.0
2019-09-05,37.16,37.89,37.0,37.6,2918600.0
2019-09-04,37.11,37.28,36.82,37.21,2287200.0
2019-09-03,36.26,36.84,36.14,36.8,2386400.0
2019-08-30,35.82,36.53,35.73,36.4,2009700.0
2019-08-29,35.59,35.81,35.47,35.66,1554100.0
2019-08-28,35.37,35.61,35.23,35.35,1469300.0
2019-08-27,35.82,36.16,35.33,35.37,2678300.0
2019-08-26,35.26,35.68,35.12,35.66,2000700.0
2019-08-23,35.82,35.83,34.83,35.02,4258900.0
2019-08-22,35.79,36.08,35.69,35.85,2306700.0
2019-08-21,35.46,35.82,35.28,35.78,2260300.0
2019-08-20,35.39,35.39,34.93,35.3,2058700.0
2019-08-19,35.71,35.74,35.07,35.46,3602800.0
2019-08-16,34.46,35.58,33.8724,35.47,3132200.0
2019-08-15,33.97,34.53,33.87,34.32,2338900.0
2019-08-14,34.3,34.43,33.885,33.98,2153000.0
2019-08-13,34.01,34.61,33.77,34.59,2383700.0
2019-08-12,34.04,34.45,33.57,33.94,2287900.0
2019-08-09,35.09,35.14,33.94,34.15,3310400.0
2019-08-08,33.43,35.13,33.33,35.12,4843800.0
2019-08-07,33.98,34.7507,32.63,33.3,4928200.0
2019-08-06,33.72,34.05,33.16,33.93,3232700.0
2019-08-05,34.67,34.67,33.52,33.72,2976200.0
2019-08-02,34.43,35.0,34.32,34.74,2797500.0
2019-08-01,34.107,34.98,34.1,34.32,4325300.0
2019-07-31,34.75,34.76,34.02,34.14,3579100.0
2019-07-30,34.3,34.8105,34.3,34.79,2227600.0
2019-07-29,34.45,34.52,34.11,34.49,1995800.0
2019-07-26,34.98,35.13,34.33,34.46,2070600.0
2019-07-25,34.54,35.1811,34.47,34.87,1897400.0
2019-07-24,34.53,35.06,34.53,34.76,2226600.0
2019-07-23,35.0,35.0128,34.26,34.49,2684000.0
2019-07-22,35.16,35.23,34.49,34.94,2471700.0
2019-07-19,35.05,35.55,34.8212,35.14,4132300.0
2019-07-18,34.73,35.1,34.36,35.1,2420100.0
2019-07-17,34.05,35.03,34.05,34.8,6674700.0
2019-07-16,35.4,35.62,33.92,34.09,4879000.0
2019-07-15,35.92,36.24,35.52,35.64,2700400.0
2019-07-12,36.02,36.16,35.79,35.99,2029800.0
2019-07-11,35.88,36.09,35.66,35.99,1991600.0
2019-07-10,35.92,36.11,35.65,35.96,2649600.0
2019-07-09,35.62,35.92,35.24,35.59,2676000.0
2019-07-08,36.01,36.27,35.43,35.71,3541900.0
2019-07-05,35.56,36.1,35.5,36.09,2102800.0
2019-07-03,35.37,36.06,35.34,35.81,1850900.0
2019-07-02,35.45,35.62,34.81,35.24,2741600.0
2019-07-01,35.24,35.57,34.92,35.43,4052600.0
2019-06-28,34.04,35.13,33.89,35.12,5632200.0
2019-06-27,33.74,34.03,33.01,34.03,6333800.0
2019-06-26,34.98,35.03,33.69,33.7,4327200.0
2019-06-25,35.26,35.58,35.03,35.14,3782600.0
2019-06-24,35.66,35.92,35.0046,35.18,4526400.0
2019-06-21,35.06,35.39,34.88,35.17,6029500.0
2019-06-20,35.22,35.25,34.75,35.04,3878700.0
2019-06-19,34.65,35.01,34.375,34.8,4387500.0
2019-06-18,34.64,35.02,34.27,34.65,3387100.0
2019-06-17,34.7927,34.87,34.34,34.44,3077900.0
2019-06-14,34.44,34.88,34.22,34.78,2717300.0
2019-06-13,34.5692,34.94,34.16,34.42,2827300.0
2019-06-12,34.49,35.11,34.36,34.5,2622900.0
2019-06-11,34.1894,34.78,34.145,34.55,3441400.0
2019-06-10,34.68,34.9,34.02,34.2,3057900.0
2019-06-07,35.29,35.55,34.64,34.73,3156300.0
2019-06-06,35.32,35.45,34.76,35.28,3340500.0
