,open,high,low,close,volume
2019-10-25,183.64,188.5,182.8037,188.25,1570771.0
2019-10-24,185.0,186.03,182.48,183.18,1594900.0
2019-10-23,185.72,188.2,182.87,184.87,3119900.0
2019-10-22,186.09,189.24,184.66,188.96,2275700.0
2019-10-21,182.99,186.38,182.99,186.19,1876700.0
2019-10-18,183.2,184.04,180.72,181.91,1593200.0
2019-10-17,182.13,184.81,181.7,183.71,2371500.0
2019-10-16,179.95,182.05,179.51,181.13,1762900.0
2019-10-15,178.54,181.45,177.72,180.71,1569300.0
2019-10-14,177.36,178.64,176.16,178.54,1191600.0
2019-10-11,173.92,179.6,173.92,178.5,1884200.0
2019-10-10,168.51,172.04,168.51,172.02,1166900.0
2019-10-09,169.07,169.8,167.99,169.11,1021300.0
2019-10-08,169.34,169.64,166.57,166.74,1403200.0
2019-10-07,172.11,173.3,171.01,171.67,1118700.0
2019-10-04,171.5,172.88,170.7,172.82,1343600.0
2019-10-03,169.75,171.28,166.58,170.61,2283100.0
2019-10-02,173.32,173.7,169.43,169.69,2023400.0
2019-10-01,180.4,182.12,174.31,174.98,1569600.0
2019-09-30,182.04,182.65,179.2,179.66,1995700.0
2019-09-27,183.45,184.06,180.54,180.87,1182300.0
2019-09-26,183.01,184.24,182.27,182.97,1037100.0
2019-09-25,182.46,183.49,181.26,182.7,1498200.0
2019-09-24,181.96,186.99,181.96,182.91,2639300.0
2019-09-23,178.77,180.26,177.05,179.51,1197300.0
2019-09-20,183.97,184.8,178.8,180.49,2878600.0
2019-09-19,182.14,184.1,180.97,182.6,1137200.0
2019-09-18,179.34,182.47,178.19,182.29,1092700.0
2019-09-17,182.28,182.43,179.09,180.73,1303500.0
2019-09-16,180.33,184.28,179.42,182.28,1329300.0
2019-09-13,179.54,182.7,179.22,182.19,1771400.0
2019-09-12,177.14,179.38,175.61,178.56,1609400.0
2019-09-11,179.0,179.49,175.19,177.06,1887200.0
2019-09-10,176.75,179.07,176.31,178.58,1658400.0
2019-09-09,175.56,178.18,175.2,177.32,1225000.0
2019-09-06,176.75,177.54,174.93,175.06,876300.0
2019-09-05,173.82,176.8,173.81,176.28,1661700.0
2019-09-04,171.59,173.58,170.92,171.57,1499700.0
2019-09-03,172.14,173.26,169.49,170.86,1452600.0
2019-08-30,175.98,177.57,173.81,174.05,1147200.0
2019-08-29,174.21,176.92,173.39,174.45,1442800.0
2019-08-28,169.7,172.89,169.42,172.45,1321300.0
2019-08-27,171.77,172.13,169.49,169.95,1481900.0
2019-08-26,171.28,172.26,169.92,171.35,1561200.0
2019-08-23,173.01,173.76,168.63,169.28,1898200.0
2019-08-22,174.42,176.2,173.42,173.79,1176500.0
2019-08-21,173.19,174.67,173.08,174.2,1305100.0
2019-08-20,173.51,174.49,171.68,171.82,1177200.0
2019-08-19,175.86,177.63,173.91,174.37,1249000.0
2019-08-16,171.31,173.94,168.5,173.0,1325100.0
2019-08-15,171.43,171.88,168.5,169.85,2037200.0
2019-08-14,175.06,175.8,170.78,171.09,1651500.0
2019-08-13,173.86,179.38,173.459,177.5,1688000.0
2019-08-12,176.29,176.51,173.39,174.53,1799600.0
2019-08-09,180.0,180.29,176.37,177.7,1733800.0
2019-08-08,180.22,181.383,179.01,180.51,1742800.0
2019-08-07,179.43,180.5,176.8,179.03,1957500.0
2019-08-06,181.65,182.9123,178.68,181.36,1392800.0
2019-08-05,179.0,180.83,178.44,179.93,3278400.0
2019-08-02,184.23,184.81,181.38,182.02,2554600.0
2019-08-01,190.82,191.87,184.82,185.98,3243800.0
2019-07-31,192.5,192.92,189.22,191.12,1663800.0
2019-07-30,190.9781,192.97,190.45,192.51,1501300.0
2019-07-29,189.83,192.27,189.76,191.99,1621900.0
2019-07-26,188.57,191.08,187.4,189.99,1957200.0
2019-07-25,185.25,188.42,185.13,187.56,2436000.0
2019-07-24,182.85,192.68,181.24,184.99,6221700.0
2019-07-23,197.22,197.22,194.63,196.67,1734800.0
2019-07-22,195.09,198.17,195.09,196.3,1376500.0
2019-07-19,197.0,198.84,194.78,195.19,1517900.0
2019-07-18,194.36,196.44,193.79,195.86,2999300.0
2019-07-17,200.1833,201.49,191.02,191.02,4474600.0
2019-07-16,205.25,208.45,204.08,206.46,1601700.0
2019-07-15,205.4,205.56,203.0536,204.11,1309600.0
2019-07-12,202.86,206.43,202.26,205.9,1531800.0
2019-07-11,198.35,202.17,197.21,201.5,1557700.0
2019-07-10,200.04,200.88,197.0,198.21,981400.0
2019-07-09,197.83,199.39,197.08,197.71,1087400.0
2019-07-08,199.48,200.25,197.93,198.94,949500.0
2019-07-05,201.28,202.735,198.53,200.94,913300.0
2019-07-03,200.87,203.3128,200.564,202.51,873100.0
2019-07-02,201.76,202.2931,199.77,200.44,1321400.0
2019-07-01,200.93,202.59,199.99,200.92,1757800.0
2019-06-28,194.22,199.37,193.675,199.33,2947900.0
2019-06-27,193.48,195.0036,192.962,193.4,1499300.0
2019-06-26,192.77,193.93,192.01,192.79,1229900.0
2019-06-25,192.72,193.37,188.0,192.26,1940500.0
2019-06-24,196.96,197.4713,193.07,193.25,1467800.0
2019-06-21,196.51,199.91,195.72,197.19,1956700.0
2019-06-20,194.7,196.87,193.915,196.31,1635700.0
2019-06-19,193.84,194.2499,190.88,192.4,2807000.0
2019-06-18,192.32,194.625,191.15,193.44,3926900.0
2019-06-17,194.4524,194.65,190.65,190.77,2170600.0
2019-06-14,196.31,196.99,193.33,194.74,2273700.0
2019-06-13,199.04,200.28,195.76,196.51,1749100.0
2019-06-12,198.9793,200.34,197.24,199.23,1115300.0
2019-06-11,202.87,204.06,197.81,198.97,1694300.0
2019-06-10,204.66,207.5639,201.16,201.41,1394500.0
2019-06-07,201.01,203.68,200.623,203.04,1164700.0
2019-06-06,202.6,203.42,197.86,199.86,2086900.0
