,open,high,low,close,volume
2019-10-25,100.32,102.22,100.32,101.53,851496.0
2019-10-24,100.49,100.99,99.44,100.35,975500.0
2019-10-23,99.0,100.16,96.39,100.16,1836200.0
2019-10-22,96.83,98.46,96.68,97.51,1084600.0
2019-10-21,95.81,97.14,95.8,96.85,1117000.0
2019-10-18,93.96,94.94,93.46,94.68,1407900.0
2019-10-17,94.05,94.35,93.29,93.77,884500.0
2019-10-16,93.86,94.66,92.89,93.22,788400.0
2019-10-15,92.5,94.1,91.81,93.62,684500.0
2019-10-14,90.89,92.25,90.56,92.06,834000.0
2019-10-11,91.06,92.84,90.93,91.61,961100.0
2019-10-10,88.4,89.83,88.4,89.49,504600.0
2019-10-09,88.49,88.87,87.95,88.43,486800.0
2019-10-08,88.27,88.53,87.29,87.48,1128500.0
2019-10-07,88.68,90.05,88.68,88.77,926800.0
2019-10-04,87.06,89.09,86.84,89.03,1044100.0
2019-10-03,86.84,87.54,85.76,86.82,1119600.0
2019-10-02,89.02,89.02,87.08,87.21,1031000.0
2019-10-01,93.96,94.14,89.51,89.88,1190100.0
2019-09-30,93.63,93.88,92.83,93.32,745400.0
2019-09-27,94.65,95.11,92.89,93.14,946000.0
2019-09-26,94.32,94.52,93.65,93.93,653200.0
2019-09-25,94.36,95.58,94.04,95.31,623300.0
2019-09-24,94.43,95.2,93.64,94.11,942500.0
2019-09-23,93.98,94.8,93.32,94.62,720100.0
2019-09-20,95.77,96.26,94.2,94.27,1756300.0
2019-09-19,95.88,97.02,95.38,95.78,706800.0
2019-09-18,95.59,96.76,95.25,96.35,752500.0
2019-09-17,97.58,97.58,95.14,96.19,796600.0
2019-09-16,97.94,98.78,96.89,98.01,1105400.0
2019-09-13,98.4,99.87,97.31,98.94,1151500.0
2019-09-12,96.31,97.68,94.91,97.56,1094400.0
2019-09-11,94.54,97.62,93.15,97.37,1116400.0
2019-09-10,93.57,95.04,92.11,94.47,1768000.0
2019-09-09,90.45,93.45,90.0,93.15,1164500.0
2019-09-06,89.96,90.2,88.9,89.82,963400.0
2019-09-05,89.67,91.14,89.12,90.02,773800.0
2019-09-04,87.47,88.09,87.21,87.96,720500.0
2019-09-03,87.03,87.36,85.96,86.66,888700.0
2019-08-30,88.03,88.78,87.69,87.93,711800.0
2019-08-29,86.06,87.81,85.83,87.27,526800.0
2019-08-28,83.96,85.46,83.96,85.12,622500.0
2019-08-27,85.37,85.67,83.95,84.49,860900.0
2019-08-26,85.55,85.79,84.17,84.81,1074500.0
2019-08-23,86.87,87.96,84.25,84.71,1281000.0
2019-08-22,87.37,88.0,86.73,87.27,981700.0
2019-08-21,87.1,87.7,86.47,86.73,939300.0
2019-08-20,87.92,88.05,86.62,86.72,1153900.0
2019-08-19,88.62,88.89,88.04,88.51,911600.0
2019-08-16,86.02,87.3185,85.52,87.0,772000.0
2019-08-15,86.41,86.79,84.9,85.49,1368800.0
2019-08-14,86.58,87.44,85.79,85.97,1398900.0
2019-08-13,87.89,90.75,87.55,88.87,986700.0
2019-08-12,88.18,88.48,87.35,87.99,929700.0
2019-08-09,89.73,90.6544,88.39,89.45,775100.0
2019-08-08,89.19,90.68,88.77,90.57,794200.0
2019-08-07,87.93,88.51,86.48,88.0,1242800.0
2019-08-06,90.15,90.1816,88.38,90.09,900900.0
2019-08-05,91.91,92.3313,88.54,89.33,1516100.0
2019-08-02,94.41,94.63,92.34,93.76,1249500.0
2019-08-01,97.91,98.36,94.52,94.73,1007700.0
2019-07-31,99.0,99.1067,97.94,98.0,1164200.0
2019-07-30,98.07,99.12,98.02,99.09,675200.0
2019-07-29,99.24,99.91,98.74,99.02,746200.0
2019-07-26,99.53,99.78,98.37,99.64,941300.0
2019-07-25,100.1,100.1,98.6,99.03,1328700.0
2019-07-24,94.79,100.46,94.79,99.46,3346800.0
2019-07-23,93.08,95.01,92.87,95.01,1466600.0
2019-07-22,93.0,93.23,92.32,92.73,1167100.0
2019-07-19,91.39,93.24,90.95,92.86,1824000.0
2019-07-18,89.94,91.46,88.95,91.15,1011000.0
2019-07-17,89.33,90.13,88.82,89.89,1464400.0
2019-07-16,90.24,90.85,89.3,89.49,920700.0
2019-07-15,91.34,91.85,89.43,89.73,1423000.0
2019-07-12,91.13,91.48,90.42,91.34,779700.0
2019-07-11,90.71,91.63,89.66,91.34,1068700.0
2019-07-10,91.54,92.0,90.31,90.42,1567900.0
2019-07-09,90.92,91.63,90.8177,91.59,870400.0
2019-07-08,93.12,93.12,90.63,91.67,1612100.0
2019-07-05,93.22,94.17,92.95,93.92,1025100.0
2019-07-03,92.04,92.96,92.04,92.79,767400.0
2019-07-02,91.58,92.55,91.01,91.87,2564000.0
2019-07-01,90.88,91.8,90.88,91.65,1792700.0
2019-06-28,88.81,90.22,88.69,90.0,2889300.0
2019-06-27,86.82,87.97,86.64,87.84,1160500.0
2019-06-26,86.13,86.88,85.32,86.72,1816000.0
2019-06-25,85.44,86.03,84.04,85.76,1020300.0
2019-06-24,86.32,87.35,85.75,85.88,805900.0
2019-06-21,85.87,87.21,85.33,86.69,1673300.0
2019-06-20,86.11,86.11,84.75,85.74,1318700.0
2019-06-19,86.47,87.6,85.02,85.25,1121800.0
2019-06-18,85.18,87.66,84.9,86.4,1238400.0
2019-06-17,87.23,87.8,85.73,85.87,687900.0
2019-06-14,87.45,87.775,86.2125,87.17,933900.0
2019-06-13,87.86,88.66,86.81,87.24,944600.0
2019-06-12,87.51,89.415,86.42,88.01,2207900.0
2019-06-11,88.9,90.12,87.565,87.78,2443900.0
2019-06-10,89.11,89.7967,88.26,88.39,1478000.0
2019-06-07,87.8,88.41,87.095,88.27,919400.0
2019-06-06,87.3,89.361,85.9,87.7,931400.0
