,open,high,low,close,volume
2019-10-25,52.85,54.19,52.82,53.82,1949551.0
2019-10-24,53.32,53.68,52.23,52.71,2057100.0
2019-10-23,53.15,53.46,52.74,52.97,2625100.0
2019-10-22,52.13,53.49,51.5,53.14,3726600.0
2019-10-21,52.72,53.07,51.7,51.79,2525000.0
2019-10-18,51.91,52.32,51.62,51.68,1489700.0
2019-10-17,52.15,52.46,51.15,51.75,1563900.0
2019-10-16,52.37,53.1,51.29,51.52,2006400.0
2019-10-15,51.57,53.47,51.56,52.81,2066900.0
2019-10-14,51.71,52.2,51.54,51.73,2606900.0
2019-10-11,51.18,52.99,51.1,52.68,2948100.0
2019-10-10,49.29,50.32,49.25,50.21,1696000.0
2019-10-09,49.13,49.13,48.41,48.8,1756300.0
2019-10-08,49.26,49.47,48.58,48.65,1400000.0
2019-10-07,50.02,50.55,49.47,49.68,1435100.0
2019-10-04,49.71,50.13,49.61,50.08,1601000.0
2019-10-03,49.04,49.58,48.3,49.57,1600000.0
2019-10-02,49.8,49.99,48.92,49.32,2278500.0
2019-10-01,51.52,52.36,50.32,50.41,2079000.0
2019-09-30,49.86,51.14,49.68,50.91,1829200.0
2019-09-27,49.83,50.33,49.48,50.01,1809300.0
2019-09-26,50.64,50.91,49.04,49.34,2939000.0
2019-09-25,50.5,51.9,50.28,51.68,3538800.0
2019-09-24,52.54,52.7,50.16,50.63,3657300.0
2019-09-23,51.69,53.07,51.38,52.86,3037600.0
2019-09-20,52.78,53.4,52.33,52.62,3932900.0
2019-09-19,52.09,53.15,52.05,52.72,2835700.0
2019-09-18,52.8,53.23,52.3,52.89,2869900.0
2019-09-17,52.22,53.19,51.64,53.09,1829300.0
2019-09-16,52.3,53.96,52.21,53.16,2167000.0
2019-09-13,54.39,54.56,53.53,53.6,1960800.0
2019-09-12,53.42,53.85,52.26,53.69,2763400.0
2019-09-11,52.64,53.35,51.66,53.26,1968200.0
2019-09-10,51.51,52.63,51.16,52.63,1984000.0
2019-09-09,50.47,51.34,50.46,51.23,1731900.0
2019-09-06,50.48,50.57,49.53,50.16,1676600.0
2019-09-05,50.0,50.67,49.83,50.35,1871500.0
2019-09-04,49.16,49.48,48.65,49.3,2005500.0
2019-09-03,48.36,48.58,47.76,48.56,1645400.0
2019-08-30,49.26,49.63,48.73,48.98,2361400.0
2019-08-29,47.96,48.89,47.91,48.81,2092800.0
2019-08-28,46.42,47.38,46.1,47.3,1309600.0
2019-08-27,47.72,47.84,46.57,46.61,1274800.0
2019-08-26,47.42,47.73,46.99,47.4,1330700.0
2019-08-23,48.31,48.61,46.76,46.95,2143300.0
2019-08-22,49.43,49.45,48.65,48.93,1352100.0
2019-08-21,49.67,49.85,49.15,49.19,1673200.0
2019-08-20,49.24,49.85,48.94,49.03,1506400.0
2019-08-19,49.68,50.37,49.62,49.91,1962900.0
2019-08-16,48.01,49.19,47.35,48.76,1381200.0
2019-08-15,48.7,48.86,47.35,47.71,1651300.0
2019-08-14,49.28,49.69,48.47,48.49,2185400.0
2019-08-13,49.2,51.18,48.95,50.17,2508000.0
2019-08-12,50.82,50.82,49.08,49.36,1983100.0
2019-08-09,51.71,51.905,50.595,51.06,1500800.0
2019-08-08,51.76,52.39,51.43,52.17,1374500.0
2019-08-07,50.75,51.43,50.45,51.25,1920800.0
2019-08-06,50.93,51.43,50.2,51.34,1470500.0
2019-08-05,51.52,51.72,50.35,50.75,2128100.0
2019-08-02,52.9,53.2672,51.83,52.57,1805600.0
