,open,high,low,close,volume
2019-10-25,14.28,14.28,14.12,14.21,370472.0
2019-10-24,14.36,14.57,14.09,14.23,700300.0
2019-10-23,14.18,14.28,14.07,14.25,560200.0
2019-10-22,14.03,14.32,14.02,14.19,1057900.0
2019-10-21,13.88,14.04,13.83,14.0,480400.0
2019-10-18,13.84,13.99,13.71,13.79,1001800.0
2019-10-17,13.94,14.06,13.77,13.91,681100.0
2019-10-16,13.62,13.9,13.62,13.87,572600.0
2019-10-15,13.86,13.86,13.11,13.64,674800.0
2019-10-14,13.66,13.81,13.66,13.8,326900.0
2019-10-11,13.63,13.84,13.47,13.76,430700.0
2019-10-10,13.3,13.53,13.3,13.47,594600.0
2019-10-09,13.24,13.39,13.13,13.36,743000.0
2019-10-08,13.85,13.9,13.19,13.2,741900.0
2019-10-07,14.0,14.12,13.94,13.94,606100.0
2019-10-04,13.99,14.15,13.97,14.12,368700.0
2019-10-03,14.12,14.18,13.78,13.97,540200.0
2019-10-02,14.11,14.18,13.93,14.06,977900.0
2019-10-01,14.35,14.47,14.21,14.25,627400.0
2019-09-30,14.22,14.43,14.21,14.3,572600.0
2019-09-27,14.31,14.34,14.09,14.17,225300.0
2019-09-26,14.36,14.36,13.99,14.23,591600.0
2019-09-25,14.21,14.46,14.18,14.37,355800.0
2019-09-24,14.4,14.41,14.04,14.26,515100.0
2019-09-23,14.37,14.48,14.19,14.39,434400.0
2019-09-20,14.4,14.57,14.19,14.32,1168800.0
2019-09-19,14.6,14.64,14.33,14.35,449900.0
2019-09-18,14.68,14.71,14.5,14.6,525900.0
2019-09-17,14.45,14.65,14.34,14.62,426600.0
2019-09-16,14.86,14.86,14.36,14.48,470900.0
2019-09-13,14.86,14.97,14.8,14.9,342900.0
2019-09-12,14.87,15.01,14.8,14.82,636600.0
2019-09-11,14.81,14.99,14.74,14.87,363100.0
2019-09-10,14.58,14.85,14.56,14.84,394100.0
2019-09-09,14.56,14.76,14.42,14.75,421600.0
2019-09-06,14.36,14.55,14.36,14.51,369000.0
2019-09-05,14.35,14.49,14.32,14.34,370300.0
2019-09-04,14.01,14.25,14.01,14.2,396200.0
2019-09-03,14.01,14.07,13.88,13.93,373600.0
2019-08-30,14.27,14.33,14.08,14.16,318600.0
2019-08-29,14.25,14.29,14.18,14.19,246400.0
2019-08-28,13.95,14.14,13.86,14.13,435400.0
2019-08-27,14.16,14.16,13.86,13.92,512900.0
2019-08-26,14.0,14.09,13.93,14.04,410700.0
2019-08-23,14.39,14.45,13.91,13.95,716700.0
2019-08-22,14.46,14.6,14.38,14.47,409600.0
2019-08-21,14.35,14.51,14.25,14.46,273200.0
2019-08-20,14.34,14.51,14.28,14.29,420600.0
2019-08-19,14.34,14.51,14.32,14.36,315200.0
2019-08-16,14.06,14.22,13.83,14.14,464800.0
2019-08-15,13.73,14.25,13.73,13.99,769000.0
2019-08-14,14.26,14.43,13.74,13.75,795000.0
2019-08-13,14.4,14.73,14.38,14.46,892500.0
2019-08-12,14.1495,14.58,14.125,14.4,1125200.0
2019-08-09,13.52,14.12,13.32,14.07,809500.0
2019-08-08,13.11,13.37,13.11,13.36,1025500.0
2019-08-07,13.06,13.14,12.82,13.12,699300.0
2019-08-06,13.16,13.23,13.06,13.2,515700.0
2019-08-05,13.0991,13.27,13.01,13.09,1094800.0
2019-08-02,13.26,13.32,13.15,13.3,713100.0
2019-08-01,13.42,13.58,13.31,13.34,685400.0
2019-07-31,13.64,14.07,13.4,13.46,695600.0
2019-07-30,13.57,13.69,13.53,13.68,355100.0
2019-07-29,13.66,13.7809,13.53,13.65,390200.0
2019-07-26,13.66,13.73,13.61,13.7,415800.0
2019-07-25,13.84,13.84,13.6,13.66,370700.0
2019-07-24,13.62,13.88,13.55,13.83,835500.0
2019-07-23,13.67,13.73,13.56,13.66,914000.0
2019-07-22,13.49,13.61,13.46,13.59,467300.0
2019-07-19,13.54,13.62,13.369,13.51,392400.0
2019-07-18,13.55,13.69,13.5,13.66,746400.0
2019-07-17,13.87,13.98,13.46,13.53,761300.0
2019-07-16,13.78,13.91,13.77,13.88,740300.0
2019-07-15,13.74,13.76,13.63,13.75,466400.0
2019-07-12,13.6904,13.75,13.6,13.73,670600.0
2019-07-11,13.71,13.75,13.6,13.64,409800.0
2019-07-10,13.74,13.8,13.66,13.69,643300.0
2019-07-09,13.68,13.77,13.63,13.7,386900.0
2019-07-08,13.83,13.95,13.68,13.71,319200.0
2019-07-05,13.87,13.99,13.78,13.91,526600.0
2019-07-03,13.95,13.96,13.83,13.9,269800.0
2019-07-02,13.97,14.08,13.82,13.91,391300.0
2019-07-01,14.17,14.22,13.84,13.99,904700.0
2019-06-28,13.86,14.0,13.7803,13.96,1691600.0
2019-06-27,13.85,13.92,13.8,13.86,598000.0
2019-06-26,13.67,13.8,13.65,13.7,612300.0
2019-06-25,13.78,13.78,13.63,13.66,527500.0
2019-06-24,13.89,13.9,13.7,13.73,779500.0
2019-06-21,13.92,14.07,13.74,13.92,1850200.0
2019-06-20,13.86,13.98,13.72,13.95,1156600.0
2019-06-19,13.25,13.77,13.25,13.72,1296000.0
2019-06-18,12.74,13.33,12.68,13.2,1147200.0
2019-06-17,12.25,12.64,12.23,12.61,974900.0
2019-06-14,12.12,12.24,12.05,12.21,1291800.0
2019-06-13,12.08,12.17,12.04,12.16,533200.0
2019-06-12,12.15,12.2,12.05,12.07,598000.0
2019-06-11,12.2,12.21,12.09,12.13,649400.0
2019-06-10,12.1187,12.15,12.04,12.12,621300.0
2019-06-07,12.08,12.13,11.91,12.07,704000.0
2019-06-06,11.96,12.0,11.88,11.93,822200.0
