,open,high,low,close,volume
2019-10-25,80.85,81.14,80.3,80.88,1632983.0
2019-10-24,80.3,80.9,79.91,80.85,2353700.0
2019-10-23,80.0,80.34,79.57,80.3,1030900.0
2019-10-22,80.0,80.47,79.38,79.72,1036800.0
2019-10-21,79.35,79.97,79.18,79.95,983400.0
2019-10-18,78.61,79.57,78.45,79.47,1221600.0
2019-10-17,78.52,79.05,78.52,78.59,1222400.0
2019-10-16,78.0,78.63,77.5,78.6,1060600.0
2019-10-15,78.05,78.15,77.27,78.08,1167200.0
2019-10-14,78.0,78.08,77.6,77.97,1312900.0
2019-10-11,78.53,78.58,77.84,77.89,1288900.0
2019-10-10,78.59,78.97,78.07,78.73,1637900.0
2019-10-09,78.35,78.71,77.93,78.29,1057200.0
2019-10-08,78.13,78.43,77.4,77.92,1136200.0
2019-10-07,77.98,78.31,77.69,77.82,1201800.0
2019-10-04,77.84,78.46,77.67,78.41,1450600.0
2019-10-03,76.68,78.01,76.58,77.81,1929200.0
2019-10-02,76.76,77.15,76.2,76.73,1096300.0
2019-10-01,76.63,77.04,75.69,76.84,1219700.0
2019-09-30,76.76,77.17,76.47,76.68,1450500.0
2019-09-27,77.3,77.51,76.5,77.13,1153500.0
2019-09-26,76.4,77.47,76.25,77.28,1208100.0
2019-09-25,76.12,76.69,75.72,76.13,1647300.0
2019-09-24,76.18,76.48,75.37,76.1,2320800.0
2019-09-23,75.9,76.52,75.9,76.04,1292500.0
2019-09-20,75.85,76.24,75.41,75.89,3401000.0
2019-09-19,75.6,76.02,75.45,75.62,1300400.0
2019-09-18,76.07,76.17,74.78,75.37,1308900.0
2019-09-17,74.4,75.79,74.38,75.77,1813600.0
2019-09-16,72.74,74.0,72.74,73.97,1336400.0
2019-09-13,73.98,74.75,72.39,72.63,1915000.0
2019-09-12,74.36,74.92,73.9,74.49,1588700.0
2019-09-11,73.45,74.15,72.95,73.62,2167100.0
2019-09-10,74.77,75.04,73.11,73.7,2054100.0
2019-09-09,75.72,75.9,75.09,75.25,1394300.0
2019-09-06,75.16,76.14,75.08,75.95,1677100.0
2019-09-05,75.81,75.95,74.88,75.0,2273400.0
2019-09-04,75.85,76.73,75.69,76.49,2062200.0
2019-09-03,73.75,75.49,73.72,75.46,1674200.0
2019-08-30,73.87,74.04,73.5,73.81,837200.0
2019-08-29,73.63,74.01,73.25,73.93,941900.0
2019-08-28,73.24,73.57,73.03,73.39,1133200.0
2019-08-27,73.55,74.17,73.13,73.13,2311800.0
2019-08-26,72.92,73.29,72.48,73.18,1180700.0
2019-08-23,73.01,73.83,72.27,72.5,1260200.0
2019-08-22,72.5,73.27,72.36,73.07,882600.0
2019-08-21,72.76,72.84,72.1,72.65,741200.0
2019-08-20,73.62,73.73,72.48,72.52,926600.0
2019-08-19,72.82,73.49,72.42,73.39,849600.0
2019-08-16,72.4,73.04,71.62,72.81,1304900.0
2019-08-15,71.84,72.57,71.62,72.21,1054600.0
2019-08-14,72.32,72.46,71.52,71.77,1385500.0
2019-08-13,72.81,73.04,71.79,72.28,1148500.0
2019-08-12,72.62,73.12,72.22,72.74,1438900.0
2019-08-09,71.92,72.75,71.63,72.68,1369200.0
2019-08-08,71.21,72.19,70.51,71.99,1783600.0
2019-08-07,69.82,71.93,69.73,71.32,2441900.0
2019-08-06,68.39,70.27,68.3906,69.87,1734800.0
2019-08-05,70.13,70.69,68.27,68.96,2038300.0
2019-08-02,69.6,70.55,69.29,70.05,1699000.0
2019-08-01,69.26,69.96,68.8,69.67,1598500.0
2019-07-31,69.76,70.08,68.99,69.21,2745000.0
2019-07-30,70.18,70.89,69.47,70.02,1367500.0
2019-07-29,69.78,70.44,69.56,70.18,2191400.0
2019-07-26,68.9799,69.57,68.75,69.54,1189200.0
2019-07-25,69.31,69.4,68.3,68.88,1609400.0
2019-07-24,69.7,69.82,69.14,69.3,1025500.0
2019-07-23,68.56,69.62,68.33,69.6,1105900.0
2019-07-22,68.82,69.04,68.1726,68.5,1241800.0
2019-07-19,70.14,70.23,68.7009,68.74,1350500.0
2019-07-18,69.73,70.3516,69.26,70.1,1051400.0
2019-07-17,70.14,70.5,69.47,69.92,1073300.0
2019-07-16,70.01,70.13,69.22,69.86,1751900.0
2019-07-15,70.82,71.24,70.23,70.39,1059400.0
2019-07-12,70.58,70.96,70.2,70.73,1771300.0
2019-07-11,71.41,71.4457,70.17,70.66,1411900.0
2019-07-10,71.09,71.36,70.48,71.24,1216600.0
2019-07-09,70.11,70.89,69.8538,70.71,2045500.0
2019-07-08,70.0,70.44,69.72,70.11,1282000.0
2019-07-05,69.97,70.26,68.79,69.99,946900.0
2019-07-03,69.32,70.68,69.32,70.66,907600.0
2019-07-02,68.35,69.36,68.22,69.1,2198900.0
2019-07-01,69.13,69.17,67.7,68.03,2140100.0
2019-06-28,69.34,69.58,68.64,68.97,3014100.0
2019-06-27,68.9,69.49,68.83,69.42,1319800.0
2019-06-26,70.42,70.42,68.3,68.5,2206600.0
2019-06-25,71.89,72.18,70.39,70.41,1808400.0
2019-06-24,72.5884,72.85,71.62,71.78,1741300.0
2019-06-21,73.06,73.09,72.075,72.25,5512000.0
2019-06-20,73.47,73.76,73.09,73.29,1975700.0
2019-06-19,72.33,73.48,72.06,73.22,2042600.0
2019-06-18,73.72,73.9,72.19,72.6,2001100.0
2019-06-17,73.49,73.97,73.0,73.28,1394900.0
2019-06-14,72.73,73.671,72.73,73.27,1415100.0
2019-06-13,73.1,73.3,72.27,72.7,1477500.0
2019-06-12,72.53,73.205,72.35,73.07,1352900.0
2019-06-11,71.75,72.41,71.7,72.23,1201900.0
2019-06-10,72.61,72.66,71.37,71.77,1386400.0
2019-06-07,72.9851,73.48,72.54,72.65,1116500.0
2019-06-06,72.6,72.82,72.16,72.61,1151700.0
