,open,high,low,close,volume
2019-10-25,71.33,71.69,70.75,71.55,1094581.0
2019-10-24,71.47,72.01,71.08,71.29,1674900.0
2019-10-23,70.04,70.97,69.53,70.91,1687800.0
2019-10-22,69.82,71.66,69.71,70.33,2900600.0
2019-10-21,69.34,69.67,69.08,69.6,1314400.0
2019-10-18,68.73,69.58,68.67,69.2,1772900.0
2019-10-17,68.51,68.92,68.07,68.67,1324600.0
2019-10-16,68.82,69.11,68.2,68.45,1915300.0
2019-10-15,69.06,70.08,69.04,69.25,1844200.0
2019-10-14,69.13,69.32,68.33,69.14,1387400.0
2019-10-11,69.53,70.06,69.15,69.51,1960500.0
2019-10-10,68.73,69.34,68.16,68.97,1697600.0
2019-10-09,68.9,69.46,68.5,68.61,1902900.0
2019-10-08,70.2,70.51,68.08,68.2,2990000.0
2019-10-07,72.05,72.11,70.72,70.72,1398600.0
2019-10-04,71.99,72.44,71.63,72.03,1400900.0
2019-10-03,71.18,72.31,70.66,71.99,1448100.0
2019-10-02,72.36,72.44,71.57,71.63,1873300.0
2019-10-01,73.95,74.22,72.69,72.71,1618600.0
2019-09-30,73.1,73.74,73.1,73.69,1775300.0
2019-09-27,73.32,73.85,73.04,73.3,1651600.0
2019-09-26,73.32,73.67,72.84,73.49,3012200.0
2019-09-25,73.77,74.05,73.31,73.63,3102600.0
2019-09-24,74.98,75.19,73.46,74.14,2426400.0
2019-09-23,75.34,75.89,74.77,74.81,2261000.0
2019-09-20,75.34,75.85,74.76,75.77,3109600.0
2019-09-19,76.93,76.95,74.53,75.09,2716700.0
2019-09-18,75.78,76.54,75.5,76.5,2020000.0
2019-09-17,75.97,76.78,75.27,76.2,2132700.0
2019-09-16,76.14,77.21,75.43,75.83,2866900.0
2019-09-13,74.15,74.97,74.11,74.48,1797700.0
2019-09-12,73.64,74.65,73.64,73.93,1726800.0
2019-09-11,73.63,74.18,73.21,74.06,1777600.0
2019-09-10,73.66,74.38,73.03,73.52,2057600.0
2019-09-09,72.2,73.96,72.06,73.67,2353200.0
2019-09-06,70.7,71.87,70.16,71.83,1767200.0
2019-09-05,71.62,71.89,70.89,71.02,1810400.0
2019-09-04,71.28,71.45,70.87,71.04,1571700.0
2019-09-03,70.31,70.97,70.06,70.61,2154600.0
2019-08-30,71.25,71.53,70.28,71.28,1868100.0
2019-08-29,70.02,70.91,69.81,70.82,1672600.0
2019-08-28,68.69,69.74,68.53,69.53,1672200.0
2019-08-27,68.49,69.22,67.8,68.32,1481700.0
2019-08-26,68.22,68.56,67.89,68.2,1395800.0
2019-08-23,69.55,69.82,67.16,67.41,2500800.0
2019-08-22,71.36,71.44,70.14,70.28,1809600.0
2019-08-21,71.57,71.9,70.91,71.18,1971000.0
2019-08-20,70.89,72.09,70.56,71.06,1579000.0
2019-08-19,70.08,71.08,69.58,70.91,1677800.0
2019-08-16,68.15,69.4925,67.56,69.3,2117100.0
2019-08-15,67.64,68.5865,67.56,67.95,1300000.0
2019-08-14,68.67,69.01,67.52,67.71,2742300.0
2019-08-13,69.16,69.81,68.78,69.64,2069000.0
2019-08-12,69.75,70.35,68.89,69.27,2253800.0
2019-08-09,69.0522,69.96,68.71,69.05,1750900.0
2019-08-08,67.18,68.95,66.85,68.94,2434300.0
2019-08-07,67.0,67.43,65.97,66.76,2850400.0
2019-08-06,68.17,68.49,67.31,68.1,1895500.0
2019-08-05,69.0,69.16,67.04,67.67,2560900.0
2019-08-02,71.4,72.02,70.35,70.99,2183500.0
2019-08-01,69.93,72.38,69.77,70.99,3845600.0
2019-07-31,67.53,71.4708,67.24,70.08,4271100.0
2019-07-30,66.544,67.28,66.15,67.21,1923200.0
2019-07-29,68.56,68.56,66.67,66.8,2474700.0
2019-07-26,68.69,68.79,68.02,68.49,1496600.0
2019-07-25,69.0,69.0,68.25,68.57,1697100.0
2019-07-24,68.3383,68.58,67.51,68.43,1255900.0
2019-07-23,69.06,69.2042,68.37,68.51,1203700.0
2019-07-22,68.59,69.23,68.36,69.14,1552600.0
2019-07-19,69.18,69.42,68.52,68.53,1881500.0
2019-07-18,69.34,69.42,68.81,69.16,1908200.0
2019-07-17,70.32,70.32,69.5,69.64,1995700.0
2019-07-16,70.9,70.9,69.77,70.15,1925600.0
2019-07-15,71.39,71.43,70.71,70.98,1542400.0
2019-07-12,71.26,71.41,70.91,71.3,1376800.0
2019-07-11,70.73,71.16,70.49,71.06,1951100.0
2019-07-10,70.08,70.72,69.88,70.45,1686200.0
2019-07-09,69.63,69.93,69.19,69.82,1770900.0
2019-07-08,70.16,70.32,69.3,69.57,1688500.0
2019-07-05,69.98,70.29,69.5297,70.28,1287000.0
2019-07-03,69.48,70.23,69.2937,70.2,1226400.0
2019-07-02,69.43,69.59,68.7634,69.36,2044600.0
2019-07-01,69.64,69.9946,69.3,69.59,2278300.0
2019-06-28,67.53,68.84,67.46,68.81,2657200.0
2019-06-27,67.28,67.5533,67.1,67.4,1261000.0
2019-06-26,67.28,67.844,66.836,67.35,1483700.0
2019-06-25,67.25,67.29,66.653,66.72,1389200.0
2019-06-24,69.0039,69.305,67.02,67.29,2389200.0
2019-06-21,67.6,68.96,67.6,68.94,3847100.0
2019-06-20,67.03,67.88,66.91,67.76,2536900.0
2019-06-19,65.72,66.4577,65.4,66.25,2100900.0
2019-06-18,65.37,65.83,65.06,65.67,1844600.0
2019-06-17,64.35,65.07,64.19,64.81,1775700.0
2019-06-14,65.04,65.14,64.05,64.46,1573900.0
2019-06-13,65.04,65.15,64.63,65.03,1874400.0
2019-06-12,65.34,65.89,64.11,64.45,2187200.0
2019-06-11,66.21,66.25,65.59,65.72,1376700.0
2019-06-10,66.12,66.305,65.64,65.82,1355300.0
2019-06-07,66.11,66.87,65.875,65.99,1730200.0
2019-06-06,65.45,66.71,65.21,65.98,2790700.0
