,open,high,low,close,volume
2019-10-25,54.04,54.42,54.01,54.17,5741404.0
2019-10-24,54.47,54.65,53.94,54.26,6449200.0
2019-10-23,54.0,54.63,53.87,54.13,10491000.0
2019-10-22,55.22,55.43,54.02,54.11,7777100.0
2019-10-21,55.06,55.3,54.82,55.13,8256600.0
2019-10-18,54.95,55.26,54.18,54.55,12562900.0
2019-10-17,56.01,56.24,54.99,55.06,9917700.0
2019-10-16,55.79,56.01,55.55,55.88,8912300.0
2019-10-15,56.63,56.82,56.35,56.35,9150100.0
2019-10-14,56.83,57.21,56.41,56.46,11079600.0
2019-10-11,55.92,57.33,55.71,56.89,18675200.0
2019-10-10,54.45,55.6,54.35,55.49,13789000.0
2019-10-09,54.15,54.99,54.06,54.53,12803100.0
2019-10-08,54.29,54.71,53.77,54.05,14771500.0
2019-10-07,55.07,55.36,54.75,54.8,12352100.0
2019-10-04,54.0,55.18,53.84,55.14,13659500.0
2019-10-03,53.06,53.88,52.94,53.86,11268500.0
2019-10-02,53.5,53.56,52.68,53.15,15923700.0
2019-10-01,55.04,55.64,53.75,53.8,16443200.0
2019-09-30,54.25,55.28,54.05,55.03,17445100.0
2019-09-27,54.19,54.6,53.62,54.09,12391100.0
2019-09-26,54.11,54.33,53.47,53.96,13324300.0
2019-09-25,53.31,53.95,52.89,53.84,11607200.0
2019-09-24,54.14,54.49,53.12,53.35,15354800.0
2019-09-23,53.17,54.17,53.06,54.02,13863100.0
2019-09-20,53.71,54.25,53.42,53.47,59517000.0
2019-09-19,52.39,53.67,52.39,53.37,14855000.0
2019-09-18,52.82,52.84,51.86,52.56,8911800.0
2019-09-17,53.18,53.2,52.35,52.87,11111400.0
2019-09-16,53.4,53.57,52.79,53.14,15204200.0
2019-09-13,54.0,54.72,53.33,53.75,14736700.0
2019-09-12,54.34,54.88,52.9,53.89,28184400.0
2019-09-11,55.27,56.29,55.16,56.29,16749400.0
2019-09-10,54.54,55.47,54.14,55.47,19976400.0
2019-09-09,53.62,54.68,53.45,54.54,17803800.0
2019-09-06,54.1,54.14,53.14,53.16,11636100.0
2019-09-05,53.73,54.33,53.63,53.84,10414500.0
2019-09-04,52.35,53.13,52.22,52.97,10558300.0
2019-09-03,51.94,52.0,51.55,51.89,10128000.0
2019-08-30,52.5,52.55,51.75,52.06,7920000.0
2019-08-29,52.65,52.81,52.09,52.16,6858000.0
2019-08-28,52.2,52.2,51.62,51.95,7499000.0
2019-08-27,52.44,52.62,52.22,52.39,13853100.0
2019-08-26,52.14,52.32,51.83,52.13,8582300.0
2019-08-23,53.06,53.32,51.25,51.58,11374500.0
2019-08-22,53.58,53.72,52.89,53.19,6744900.0
2019-08-21,53.53,53.93,53.17,53.24,6113100.0
2019-08-20,53.52,53.84,52.9,52.98,7577800.0
2019-08-19,54.22,54.37,53.76,53.87,8273100.0
2019-08-16,53.18,53.7,51.96,53.59,9913100.0
2019-08-15,52.65,52.72,51.96,52.59,11257000.0
2019-08-14,53.35,53.37,52.24,52.32,12489200.0
2019-08-13,53.14,54.24,53.0004,53.97,11014800.0
2019-08-12,53.68,53.79,53.0,53.25,6580100.0
2019-08-09,54.24,54.47,53.52,53.9,8471300.0
2019-08-08,53.72,54.75,53.72,54.65,12460700.0
2019-08-07,53.13,54.065,52.97,53.34,16344100.0
2019-08-06,54.2,54.45,53.61,53.96,13149500.0
2019-08-05,55.1,55.1,53.69,53.76,16204600.0
2019-08-02,56.19,56.19,55.0,55.84,12644400.0
2019-08-01,56.3,56.85,55.52,55.88,10215200.0
2019-07-31,57.88,57.88,55.62,56.3,11966700.0
2019-07-30,57.76,58.15,57.43,57.49,6367200.0
2019-07-29,58.792,58.79,57.8,58.06,7439300.0
2019-07-26,58.34,58.65,58.2,58.5,6057200.0
2019-07-25,58.3692,58.63,58.08,58.29,8175900.0
2019-07-24,57.45,58.22,57.38,58.11,10778700.0
2019-07-23,58.06,58.14,57.45,57.45,8141100.0
2019-07-22,57.88,58.0791,57.55,57.6,8761700.0
2019-07-19,58.31,58.53,57.52,57.54,11663500.0
2019-07-18,57.69,58.14,57.6,58.12,11882300.0
2019-07-17,58.8,58.95,57.99,57.99,9090900.0
2019-07-16,59.17,59.48,58.59,58.61,9698900.0
2019-07-15,59.85,59.85,59.25,59.53,10721600.0
2019-07-12,60.09,60.09,59.3,59.81,11234300.0
2019-07-11,60.18,60.21,59.4,59.99,11150200.0
2019-07-10,59.94,60.5,59.75,60.15,16059100.0
2019-07-09,59.2,59.63,59.01,59.6,14348600.0
2019-07-08,59.19,59.67,59.01,59.53,16105600.0
2019-07-05,58.53,59.52,58.34,59.28,13838900.0
2019-07-03,58.45,58.95,58.38,58.86,9989100.0
2019-07-02,57.88,58.56,57.77,58.46,17569600.0
2019-07-01,57.15,58.09,57.03,58.01,20413000.0
2019-06-28,56.9,57.08,56.36,56.97,42570500.0
2019-06-27,57.0,57.39,56.76,56.77,12605800.0
2019-06-26,56.43,56.85,56.24,56.66,15045200.0
2019-06-25,56.87,57.18,56.06,56.07,25462100.0
2019-06-24,56.25,57.3,55.9,56.74,19544200.0
2019-06-21,57.14,57.15,56.06,56.12,45169000.0
2019-06-20,55.98,57.47,55.53,56.99,54173900.0
2019-06-19,52.75,53.13,52.25,52.68,35449500.0
2019-06-18,52.86,53.6,52.41,52.9,20999700.0
2019-06-17,53.34,53.55,52.95,53.13,15207900.0
2019-06-14,53.6106,53.83,53.28,53.28,12973000.0
2019-06-13,53.98,53.98,53.44,53.84,11289100.0
2019-06-12,53.68,54.05,53.43,53.62,10235400.0
2019-06-11,54.5,54.61,53.84,53.94,11288400.0
2019-06-10,53.6798,54.41,53.57,54.01,12984600.0
2019-06-07,52.8012,53.42,52.78,53.26,11591800.0
2019-06-06,52.09,52.74,51.86,52.59,10266900.0
