,open,high,low,close,volume
2019-10-25,75.28,77.18,75.14,76.895,1800230.0
2019-10-24,75.38,75.62,74.16,75.3,1829700.0
2019-10-23,75.36,76.0,74.3,75.11,2936800.0
2019-10-22,74.05,76.39,73.0,76.37,4237700.0
2019-10-21,72.54,74.45,72.49,73.0,3501500.0
2019-10-18,70.87,72.42,70.3,72.04,2584600.0
2019-10-17,70.5,70.9,70.07,70.78,1698800.0
2019-10-16,70.13,70.86,69.84,70.07,1630800.0
2019-10-15,69.09,70.71,68.79,70.35,1421300.0
2019-10-14,68.66,69.59,68.28,69.48,1505000.0
2019-10-11,68.51,69.87,68.51,69.1,2574100.0
2019-10-10,67.47,68.09,66.99,67.32,1092200.0
2019-10-09,67.28,67.29,66.18,66.89,1279200.0
2019-10-08,66.82,67.39,66.31,66.56,1479100.0
2019-10-07,67.51,68.67,67.05,67.73,1479900.0
2019-10-04,66.94,67.94,66.84,67.84,1096300.0
2019-10-03,66.19,67.0,65.17,66.99,1473900.0
2019-10-02,67.18,67.21,65.59,66.22,1792300.0
2019-10-01,70.14,70.88,67.16,67.54,1975600.0
2019-09-30,69.44,70.22,69.02,70.01,1500900.0
2019-09-27,68.85,69.47,68.29,69.01,1304100.0
2019-09-26,67.78,68.8,67.78,68.76,1383900.0
2019-09-25,68.19,68.66,67.34,68.41,3289000.0
2019-09-24,70.42,70.7,67.81,68.19,2866300.0
2019-09-23,69.75,70.97,69.06,70.38,1289000.0
2019-09-20,70.25,71.35,70.11,70.32,2261800.0
2019-09-19,71.94,71.94,70.29,70.35,1192200.0
2019-09-18,70.72,70.86,69.98,70.75,1077500.0
2019-09-17,70.91,71.04,69.89,70.89,1452800.0
2019-09-16,71.03,71.4,70.75,70.95,1010500.0
2019-09-13,71.8,72.06,70.38,71.53,1122500.0
2019-09-12,72.0,72.0,70.7,71.19,1889400.0
2019-09-11,71.57,72.43,70.51,72.32,2093200.0
2019-09-10,70.43,72.03,70.21,71.91,2171200.0
2019-09-09,68.7,70.67,68.43,70.47,2030100.0
2019-09-06,68.67,69.13,68.14,68.34,1599800.0
2019-09-05,66.31,68.6,66.31,68.2,2514900.0
2019-09-04,64.94,65.73,64.72,65.46,1878600.0
2019-09-03,65.08,65.45,63.54,64.24,2178600.0
2019-08-30,65.81,66.33,65.26,65.56,1750600.0
2019-08-29,64.75,65.49,64.38,65.38,2216000.0
2019-08-28,63.15,64.28,62.57,63.89,2414000.0
2019-08-27,63.69,64.18,63.23,63.43,1311000.0
2019-08-26,63.32,63.55,62.41,63.19,1279100.0
2019-08-23,64.09,64.39,62.13,62.53,1747500.0
2019-08-22,65.23,65.88,64.19,64.44,1247200.0
2019-08-21,65.04,65.46,64.71,65.04,1098500.0
2019-08-20,64.81,65.08,64.17,64.38,1777100.0
2019-08-19,65.69,65.97,64.64,64.88,1184800.0
2019-08-16,64.2512,64.89,63.91,64.48,1477600.0
2019-08-15,63.51,64.03,63.09,63.7,1221500.0
2019-08-14,65.15,65.42,63.22,63.34,1848000.0
2019-08-13,64.27,67.45,64.07,66.34,1837900.0
2019-08-12,64.69,65.14,64.32,64.78,1561900.0
2019-08-09,66.17,66.17,64.69,65.21,1294600.0
2019-08-08,65.46,66.54,65.46,66.5,1316000.0
2019-08-07,64.54,65.48,64.01,65.26,1730100.0
2019-08-06,64.71,65.86,64.68,65.53,1841500.0
2019-08-05,66.16,66.55,63.95,64.43,2733300.0
2019-08-02,68.08,68.26,66.33,67.22,2206300.0
2019-08-01,70.04,70.89,67.79,68.14,1766500.0
2019-07-31,70.94,71.36,69.41,70.14,2056200.0
2019-07-30,70.54,71.0312,69.2,70.97,1241800.0
2019-07-29,71.71,72.31,71.36,71.51,1219000.0
2019-07-26,71.63,72.04,70.9,71.67,1471300.0
2019-07-25,72.43,72.43,70.9724,71.67,1710800.0
2019-07-24,69.36,72.41,69.36,72.14,2505900.0
2019-07-23,67.01,69.76,67.0,69.23,3492200.0
2019-07-22,69.53,70.14,68.9933,69.16,2302600.0
2019-07-19,69.59,70.25,69.08,69.33,2923200.0
2019-07-18,70.02,70.17,68.26,69.08,2424500.0
2019-07-17,72.53,72.53,70.14,70.14,1996800.0
2019-07-16,71.5088,72.68,71.13,72.57,1707900.0
