,open,high,low,close,volume
2019-10-25,36.4,36.88,36.31,36.77,16471507.0
2019-10-24,36.75,36.84,36.26,36.39,18973800.0
2019-10-23,36.31,36.78,36.22,36.77,13283300.0
2019-10-22,36.41,36.7,36.25,36.43,13804000.0
2019-10-21,36.65,36.68,36.36,36.46,12558900.0
2019-10-18,36.43,36.7,36.35,36.46,13490700.0
2019-10-17,36.49,36.81,36.37,36.46,14527600.0
2019-10-16,36.63,36.75,36.32,36.34,13696200.0
2019-10-15,36.45,36.74,36.41,36.5,14400600.0
2019-10-14,36.16,36.35,35.98,36.3,8255200.0
2019-10-11,36.14,36.58,36.07,36.11,17501000.0
2019-10-10,35.67,36.01,35.6,35.79,11573700.0
2019-10-09,35.65,35.89,35.53,35.69,12935800.0
2019-10-08,35.65,35.88,35.42,35.43,14005000.0
2019-10-07,35.82,36.26,35.8,35.83,11156900.0
2019-10-04,35.49,35.98,35.45,35.93,17139800.0
2019-10-03,34.71,35.47,34.6,35.45,20945100.0
2019-10-02,35.26,35.27,34.66,34.7,21307400.0
2019-10-01,35.93,36.02,35.43,35.43,20885200.0
2019-09-30,36.28,36.31,35.92,35.93,16323900.0
2019-09-27,35.86,36.34,35.72,36.22,16682800.0
2019-09-26,36.07,36.24,35.57,35.78,16185700.0
2019-09-25,35.91,36.35,35.7,35.9,19231200.0
2019-09-24,36.27,36.58,35.98,36.01,22947400.0
2019-09-23,36.38,36.59,36.23,36.24,16409100.0
2019-09-20,36.89,37.25,36.48,36.69,43634400.0
2019-09-19,36.42,36.77,36.34,36.51,16837200.0
2019-09-18,36.57,36.72,36.26,36.38,18671300.0
2019-09-17,36.79,36.8,36.35,36.5,20960100.0
2019-09-16,36.46,37.02,36.35,36.83,18858700.0
2019-09-13,37.39,37.6,36.61,36.91,22864900.0
2019-09-12,37.57,37.62,37.06,37.28,15837100.0
2019-09-11,37.74,37.76,36.9,37.41,16094100.0
2019-09-10,36.59,37.38,36.02,37.38,30598100.0
2019-09-09,36.59,36.84,36.13,36.83,23411400.0
2019-09-06,36.36,36.57,36.11,36.5,19804000.0
2019-09-05,36.11,36.48,35.89,36.34,20964700.0
2019-09-04,36.3,36.4,35.7,35.83,19591500.0
2019-09-03,35.61,36.28,35.51,36.12,25260900.0
2019-08-30,35.62,35.72,35.28,35.55,17906400.0
2019-08-29,35.79,35.79,35.23,35.33,18605600.0
2019-08-28,34.36,35.15,34.28,35.08,24713400.0
2019-08-27,35.01,35.09,34.31,34.34,23449100.0
2019-08-26,34.62,34.86,34.48,34.84,16573700.0
2019-08-23,35.21,35.35,34.17,34.34,26342800.0
2019-08-22,34.96,35.23,34.8,35.08,16065600.0
2019-08-21,34.94,35.12,34.82,34.87,18224600.0
2019-08-20,35.1,35.16,34.57,34.61,18911300.0
2019-08-19,34.88,35.32,34.83,35.18,20870300.0
2019-08-16,34.72,35.01,33.9719,34.65,28474700.0
2019-08-15,34.3,34.58,33.97,34.48,29140100.0
2019-08-14,34.9305,34.98,34.2,34.24,36654100.0
2019-08-13,35.43,35.81,35.15,35.2,43215800.0
2019-08-12,36.31,36.32,34.78,35.39,41947500.0
2019-08-09,36.77,36.83,36.11,36.35,24090800.0
2019-08-08,36.7,36.95,36.6,36.87,22159800.0
2019-08-07,36.65,36.785,35.86,36.58,30376900.0
