,open,high,low,close,volume
2019-10-25,80.85,82.125,80.55,81.98,2734707.0
2019-10-24,81.89,82.07,81.02,81.45,3665500.0
2019-10-23,81.34,82.12,81.18,81.78,3015300.0
2019-10-22,81.54,81.97,81.17,81.17,4396900.0
2019-10-21,80.34,81.9,80.3,81.8,4174900.0
2019-10-18,79.95,81.96,79.95,80.55,8444700.0
2019-10-17,80.3,80.42,77.91,79.85,8730300.0
2019-10-16,78.43,79.79,78.43,79.1,7488400.0
2019-10-15,78.06,78.35,77.61,78.32,4085900.0
2019-10-14,76.93,78.05,76.15,78.03,4137500.0
2019-10-11,78.48,78.63,77.15,77.95,6289000.0
2019-10-10,78.04,78.29,77.01,77.75,3885800.0
2019-10-09,76.91,77.52,76.58,77.45,3831200.0
2019-10-08,76.71,77.38,76.04,76.37,5773900.0
2019-10-07,78.1,78.37,77.17,77.17,5370900.0
2019-10-04,76.43,78.37,76.32,78.28,4381300.0
2019-10-03,76.3,77.25,75.81,76.77,3550900.0
2019-10-02,77.83,78.1,76.19,76.72,7000600.0
2019-10-01,76.21,77.99,76.06,77.83,7555000.0
2019-09-30,75.16,76.18,75.03,75.93,4908900.0
2019-09-27,75.16,75.65,74.65,75.13,4142900.0
2019-09-26,74.91,75.82,74.29,75.29,5954400.0
2019-09-25,76.93,77.88,75.08,75.28,20435300.0
2019-09-24,71.16,71.88,70.9,71.56,8846900.0
2019-09-23,71.0,72.77,70.57,72.0,6967500.0
2019-09-20,71.21,72.83,71.0,71.2,15987500.0
2019-09-19,71.5,72.2,71.1,71.71,8374200.0
2019-09-18,71.87,72.33,71.06,71.56,7359600.0
2019-09-17,73.45,73.46,71.87,72.02,7752700.0
2019-09-16,72.18,72.72,71.77,72.6,10547300.0
2019-09-13,74.31,74.78,73.0,73.05,10572800.0
2019-09-12,75.21,75.4,74.05,74.9,6242900.0
2019-09-11,74.54,75.48,74.12,75.07,8443100.0
2019-09-10,72.7,74.56,72.5,74.5,7401900.0
2019-09-09,73.0,73.39,72.42,73.3,5528100.0
2019-09-06,72.26,73.42,71.98,72.97,6130000.0
2019-09-05,73.4,73.42,71.88,71.95,6613400.0
2019-09-04,72.69,73.25,71.52,73.02,5386700.0
2019-09-03,72.0,72.79,71.11,72.66,4466900.0
2019-08-30,72.83,73.22,71.75,72.09,9045000.0
2019-08-29,75.28,75.65,71.61,72.72,13238200.0
2019-08-28,71.92,75.67,71.9,74.32,18953200.0
2019-08-27,75.1,75.4,69.27,71.7,41583100.0
2019-08-26,81.0,81.57,76.41,77.73,11518000.0
2019-08-23,82.79,83.35,80.66,81.22,4263800.0
2019-08-22,82.55,83.86,82.42,82.95,3681200.0
2019-08-21,83.42,83.6,82.08,83.05,3311100.0
2019-08-20,84.91,84.98,82.29,83.0,3656000.0
2019-08-19,85.65,86.05,84.78,85.01,3108100.0
2019-08-16,84.73,85.51,83.1082,84.91,3302500.0
2019-08-15,83.93,84.69,83.11,84.49,3980200.0
2019-08-14,83.51,83.77,83.02,83.33,6642500.0
2019-08-13,81.64,84.1,81.644,83.95,4476900.0
2019-08-12,82.45,83.04,81.72,82.38,2172500.0
2019-08-09,82.43,82.993,81.79,82.59,3068500.0
2019-08-08,81.43,82.721,81.31,82.48,3266600.0
2019-08-07,80.36,81.66,79.35,81.36,6434700.0
2019-08-06,81.12,81.65,80.56,81.32,6313100.0
2019-08-05,83.57,83.82,79.49,80.26,6849300.0
2019-08-02,82.7,84.55,81.88,84.17,6109100.0
2019-08-01,84.3,85.21,82.41,82.45,6385200.0
2019-07-31,85.94,86.4,82.18,83.61,6793000.0
2019-07-30,86.02,86.57,85.17,86.3,3952800.0
2019-07-29,86.29,87.03,85.84,86.76,4461400.0
2019-07-26,85.84,86.48,85.23,85.98,3348300.0
2019-07-25,85.27,86.29,84.75,85.63,3715600.0
2019-07-24,86.42,86.63,84.75,85.02,4316500.0
2019-07-23,87.48,87.59,86.1684,86.75,4758400.0
2019-07-22,88.97,89.05,86.8783,86.95,5366100.0
2019-07-19,88.36,89.98,87.86,88.73,7561700.0
2019-07-18,84.7,89.45,84.5,87.71,13397100.0
2019-07-17,81.5,81.9343,80.85,81.05,2929600.0
2019-07-16,81.27,81.68,80.95,81.58,3071400.0
2019-07-15,82.0,82.19,81.08,81.47,5325300.0
2019-07-12,81.55,82.11,81.43,81.89,4257100.0
2019-07-11,80.43,81.78,80.11,81.26,4381000.0
2019-07-10,79.36,80.3843,79.27,80.28,4297100.0
2019-07-09,79.64,80.21,78.94,79.44,3579300.0
2019-07-08,80.25,80.8679,79.52,79.61,3203300.0
2019-07-05,80.35,80.419,78.46,80.12,3425200.0
2019-07-03,79.98,80.66,79.43,80.63,3860900.0
2019-07-02,78.36,79.82,77.957,79.75,4015200.0
2019-07-01,78.8,78.95,77.83,77.98,4227600.0
2019-06-28,78.22,78.57,77.65,78.53,8436200.0
2019-06-27,77.5,78.26,77.28,77.92,3951500.0
2019-06-26,78.9,78.9,77.2,77.38,6268500.0
2019-06-25,78.0,79.045,77.415,78.82,5568500.0
2019-06-24,78.6,79.36,77.7,77.83,6912100.0
2019-06-21,77.25,79.22,76.3881,79.22,17187700.0
2019-06-20,76.13,77.415,75.58,77.18,7404800.0
2019-06-19,77.58,77.6,76.08,76.65,5512300.0
2019-06-18,78.26,78.36,76.24,77.11,5186100.0
2019-06-17,77.01,78.63,76.92,77.99,4917100.0
2019-06-14,77.8,78.3662,77.04,77.2,5521300.0
2019-06-13,77.28,77.78,77.07,77.59,3555700.0
2019-06-12,77.74,78.41,77.0,77.21,3147000.0
2019-06-11,77.17,78.55,77.0,78.14,4607100.0
2019-06-10,78.15,78.39,76.64,76.96,4617000.0
2019-06-07,77.82,78.77,77.57,78.17,4590000.0
2019-06-06,77.55,78.68,77.11,77.2,4730500.0
