,open,high,low,close,volume
2019-10-25,145.29,147.86,145.29,146.67,1059947.0
2019-10-24,146.2,146.69,144.69,145.6,1143800.0
2019-10-23,144.98,146.43,144.7,146.37,1106400.0
2019-10-22,145.55,146.88,144.54,145.46,1697700.0
2019-10-21,145.0,146.39,144.71,145.53,1747100.0
2019-10-18,142.45,144.7,142.09,143.52,1901000.0
2019-10-17,142.45,144.1,142.05,142.66,1748700.0
2019-10-16,142.66,143.27,139.92,141.46,2692800.0
2019-10-15,140.67,142.85,140.04,141.87,2297700.0
2019-10-14,139.7,140.77,139.36,140.52,1444200.0
2019-10-11,140.86,142.48,140.27,140.4,2416300.0
2019-10-10,137.14,139.62,136.88,138.42,1283600.0
2019-10-09,137.33,137.68,136.33,136.56,1459400.0
2019-10-08,138.18,138.46,136.04,136.18,2221100.0
2019-10-07,140.69,141.72,139.1,139.95,1778100.0
2019-10-04,136.88,140.69,136.75,140.47,2087400.0
2019-10-03,134.82,136.75,133.37,136.73,2057200.0
2019-10-02,136.47,136.65,134.78,135.7,1776200.0
2019-10-01,141.15,141.55,137.07,137.2,1518100.0
2019-09-30,141.17,141.17,139.36,140.16,1726300.0
2019-09-27,141.51,142.23,139.78,140.39,1368600.0
2019-09-26,139.92,140.65,139.57,140.1,1041600.0
2019-09-25,140.91,141.69,139.71,140.31,1454800.0
2019-09-24,140.75,141.83,139.65,140.27,2842500.0
2019-09-23,139.71,141.75,139.68,141.2,2475700.0
2019-09-20,141.28,142.26,140.25,140.88,4212400.0
2019-09-19,139.76,142.09,139.76,141.0,2248500.0
2019-09-18,138.75,141.31,138.08,141.2,2073200.0
2019-09-17,139.6,140.04,138.0,139.24,2290300.0
2019-09-16,137.95,140.52,137.36,140.5,2180200.0
2019-09-13,139.0,140.29,138.02,139.28,2902800.0
2019-09-12,134.85,137.38,133.54,137.17,3076900.0
2019-09-11,138.0,138.05,135.48,136.0,3444900.0
2019-09-10,137.25,138.96,136.71,137.89,1893200.0
2019-09-09,132.95,136.93,132.34,136.29,2027800.0
2019-09-06,131.46,132.19,130.67,131.72,1357400.0
2019-09-05,130.89,132.94,130.68,131.56,1185300.0
2019-09-04,128.1,129.0,127.5,128.57,1662500.0
2019-09-03,127.61,127.77,125.23,126.76,2002900.0
2019-08-30,129.29,130.67,128.74,128.93,1457900.0
2019-08-29,127.52,129.26,127.5,128.3,1568900.0
2019-08-28,123.18,127.23,123.18,126.56,1462800.0
2019-08-27,124.66,125.12,123.4,124.13,1744600.0
2019-08-26,123.95,124.25,123.27,124.1,2431800.0
2019-08-23,126.13,126.99,122.37,123.09,1912900.0
2019-08-22,127.17,127.61,125.74,126.42,1321400.0
2019-08-21,127.44,127.48,125.73,126.0,1547000.0
2019-08-20,127.08,127.77,126.1,126.2,1888000.0
2019-08-19,129.12,129.67,127.66,128.36,2481400.0
2019-08-16,125.88,127.41,123.3473,127.0,1850200.0
2019-08-15,125.37,126.1,123.3422,124.74,2354900.0
2019-08-14,126.93,128.3034,124.16,124.62,3142000.0
2019-08-13,128.87,132.151,127.83,130.75,2218200.0
2019-08-12,130.91,131.03,128.44,128.64,2657300.0
2019-08-09,131.21,133.172,129.84,132.34,2066300.0
2019-08-08,131.24,132.34,130.26,131.59,2033500.0
2019-08-07,131.13,131.95,128.12,129.76,4324200.0
2019-08-06,134.46,134.64,132.08,134.38,1380300.0
2019-08-05,135.1,135.63,131.84,132.92,2306100.0
2019-08-02,138.33,138.7,135.43,137.96,1859000.0
2019-08-01,142.41,143.54,138.01,138.26,2973900.0
2019-07-31,141.99,143.84,141.08,142.9,2394600.0
2019-07-30,140.84,142.64,140.69,141.92,1063600.0
2019-07-29,142.26,144.32,141.88,141.96,1273100.0
2019-07-26,140.95,143.18,140.92,142.8,1233100.0
2019-07-25,142.04,142.32,140.2794,140.84,1557000.0
