,open,high,low,close,volume
2019-10-25,123.16,124.32,122.53,124.04,1091348.0
2019-10-24,125.06,125.1,123.04,123.58,1144700.0
2019-10-23,125.12,126.08,124.24,124.47,1670400.0
2019-10-22,124.97,125.63,123.28,125.27,1505600.0
2019-10-21,125.0,125.61,124.25,124.68,1688300.0
2019-10-18,123.0,124.9,122.74,124.23,3015800.0
2019-10-17,119.07,121.46,118.93,121.24,1784000.0
2019-10-16,118.13,120.03,117.85,118.96,1338900.0
2019-10-15,117.84,118.6,116.89,118.21,1275300.0
2019-10-14,118.58,119.73,117.12,117.21,1168700.0
2019-10-11,117.5,119.87,117.1,119.17,1313300.0
2019-10-10,114.35,115.88,114.28,115.66,734400.0
2019-10-09,113.5,115.03,113.26,114.58,1481800.0
2019-10-08,114.91,114.95,112.31,112.35,1146000.0
2019-10-07,116.14,116.96,115.71,115.71,996100.0
2019-10-04,114.75,116.91,114.75,116.62,997500.0
2019-10-03,114.1,114.61,112.02,114.6,674600.0
2019-10-02,115.35,115.88,113.55,114.41,1167500.0
2019-10-01,119.07,120.17,116.54,116.87,1004700.0
2019-09-30,118.64,119.15,117.53,118.51,840700.0
2019-09-27,116.72,118.81,116.49,118.22,1136700.0
2019-09-26,116.5,117.11,115.52,116.66,995900.0
2019-09-25,116.7,117.15,116.25,116.66,675100.0
2019-09-24,118.51,118.73,116.02,116.23,1139900.0
2019-09-23,118.41,119.2,117.99,118.35,933900.0
2019-09-20,120.73,121.0,119.0,119.26,1486500.0
2019-09-19,119.5,120.96,119.17,120.69,1215800.0
2019-09-18,117.28,119.57,116.8,119.43,1078700.0
2019-09-17,115.47,117.21,114.62,117.21,1448400.0
2019-09-16,118.14,118.19,114.98,115.36,1246800.0
2019-09-13,118.65,119.9,118.64,119.38,843900.0
2019-09-12,118.1,118.39,117.0,118.21,851900.0
2019-09-11,117.25,117.88,116.48,117.68,892900.0
2019-09-10,116.41,117.27,115.74,117.27,938800.0
2019-09-09,116.2,116.59,114.86,116.51,1174600.0
2019-09-06,114.2,116.12,113.72,115.78,1058000.0
2019-09-05,112.91,114.18,112.47,113.34,1047100.0
2019-09-04,111.42,111.9,110.82,111.52,958100.0
2019-09-03,109.78,110.61,108.95,110.43,848500.0
2019-08-30,111.15,111.51,110.47,110.79,762500.0
2019-08-29,110.39,111.08,110.07,110.14,586200.0
2019-08-28,107.08,109.29,106.76,109.03,1090800.0
2019-08-27,108.16,108.38,106.96,107.41,1861700.0
2019-08-26,107.39,108.0,106.41,107.17,1168800.0
2019-08-23,109.66,109.93,105.99,106.54,974300.0
2019-08-22,110.87,111.23,109.45,110.1,602200.0
2019-08-21,111.41,111.91,110.5,110.7,697700.0
2019-08-20,111.2,111.2,109.78,110.3,1249400.0
2019-08-19,111.98,112.71,111.36,111.62,737200.0
2019-08-16,109.14,111.44,108.95,110.72,855600.0
2019-08-15,110.33,110.86,108.95,109.62,890900.0
2019-08-14,111.26,111.98,109.86,110.22,1249000.0
2019-08-13,112.23,114.77,111.74,113.09,986800.0
2019-08-12,114.83,115.18,112.316,112.55,1221700.0
2019-08-09,115.42,116.2,114.66,115.33,1098600.0
2019-08-08,114.58,116.76,114.38,116.65,1807900.0
2019-08-07,110.05,113.24,109.62,112.86,2167300.0
2019-08-06,111.49,111.49,109.39,110.98,1052600.0
2019-08-05,112.92,113.09,109.7,110.96,1080200.0
2019-08-02,115.65,115.65,112.4,114.17,1124600.0
2019-08-01,117.39,118.24,114.99,115.67,1094500.0
2019-07-31,118.89,119.41,116.49,117.39,815300.0
2019-07-30,117.8,119.35,117.3505,118.96,785600.0
