,open,high,low,close,volume
2019-10-25,53.84,54.6,53.55,54.05,390960.0
2019-10-24,54.39,54.39,53.33,53.99,475200.0
2019-10-23,54.58,54.63,53.75,54.35,703900.0
2019-10-22,54.09,54.5,53.91,54.14,821400.0
2019-10-21,54.3,54.65,53.78,53.91,569500.0
2019-10-18,54.24,54.43,53.26,53.9,590500.0
2019-10-17,54.3,54.76,54.12,54.39,569800.0
2019-10-16,54.03,54.53,53.52,53.93,720300.0
2019-10-15,53.2,54.34,52.63,53.81,619700.0
2019-10-14,53.52,53.63,52.67,53.05,443300.0
2019-10-11,53.0,53.87,52.79,53.44,1019300.0
2019-10-10,52.07,52.73,51.51,52.0,949800.0
2019-10-09,52.42,52.42,50.88,51.92,1049900.0
2019-10-08,53.29,53.64,51.72,51.94,1021600.0
2019-10-07,53.15,54.15,52.74,53.51,658600.0
2019-10-04,53.35,54.02,52.71,53.59,787900.0
2019-10-03,53.8,53.8,50.76,53.19,2183800.0
2019-10-02,54.83,54.85,53.87,54.16,747400.0
2019-10-01,55.96,56.93,54.53,55.21,908000.0
2019-09-30,55.19,56.09,55.13,55.89,647000.0
2019-09-27,54.27,55.36,53.97,54.98,657900.0
2019-09-26,55.4,55.4,53.74,53.97,764800.0
2019-09-25,54.26,55.45,54.16,55.22,768300.0
2019-09-24,54.66,54.86,53.59,54.25,722000.0
2019-09-23,54.89,55.43,54.23,54.68,674900.0
2019-09-20,54.58,56.1,54.5,55.24,2993000.0
2019-09-19,55.25,55.48,54.12,54.3,983200.0
2019-09-18,55.79,56.0,54.75,55.32,1063300.0
2019-09-17,56.38,56.55,55.27,55.72,830800.0
2019-09-16,55.65,56.9,55.65,56.7,799100.0
2019-09-13,56.48,57.5,54.87,55.96,1340300.0
2019-09-12,55.18,56.68,54.56,55.96,1651400.0
2019-09-11,52.68,55.29,52.27,55.26,1843100.0
2019-09-10,50.69,52.93,50.69,52.77,1375700.0
2019-09-09,50.09,51.15,49.25,50.89,1131100.0
2019-09-06,48.35,50.13,48.16,49.92,1202200.0
2019-09-05,47.18,48.49,46.97,48.16,2972800.0
2019-09-04,46.82,46.96,46.34,46.61,1989100.0
2019-09-03,46.81,46.9,45.83,46.22,1114300.0
2019-08-30,47.28,47.35,46.4,46.78,948600.0
2019-08-29,47.12,47.24,46.65,46.91,826400.0
2019-08-28,45.51,46.85,45.4,46.74,757100.0
2019-08-27,47.0,47.05,45.22,45.43,750200.0
2019-08-26,46.3,46.72,46.1,46.56,631700.0
2019-08-23,47.59,47.89,46.21,46.34,1007200.0
2019-08-22,47.86,48.42,47.56,47.77,587900.0
2019-08-21,47.78,48.16,46.95,47.92,757400.0
2019-08-20,47.21,47.75,46.82,47.13,983300.0
2019-08-19,45.34,47.39,45.29,47.07,1131500.0
2019-08-16,46.17,47.36,45.52,46.18,1694900.0
2019-08-15,47.1273,47.36,45.52,45.67,1093800.0
2019-08-14,47.12,47.3,45.83,46.8,2070500.0
2019-08-13,47.14,48.4,46.58,47.76,2685500.0
2019-08-12,47.01,47.02,46.21,46.83,1709300.0
2019-08-09,46.97,47.67,46.31,46.9,2275300.0
2019-08-08,50.25,50.26,45.6395,47.04,3353000.0
2019-08-07,50.37,50.58,49.27,50.47,1703000.0
2019-08-06,52.47,52.47,48.93,50.42,1511300.0
2019-08-05,51.92,52.03,50.49,51.14,1205500.0
2019-08-02,52.7,53.08,51.31,52.41,1039700.0
2019-08-01,53.93,54.4,52.25,52.59,1523800.0
2019-07-31,54.35,55.15,53.65,54.01,1120000.0
2019-07-30,54.04,54.41,53.81,54.24,1222200.0
2019-07-29,53.75,54.41,53.28,54.24,1022500.0
2019-07-26,53.39,53.72,53.11,53.54,861300.0
2019-07-25,54.86,55.09,52.96,53.19,1462100.0
2019-07-24,54.0018,55.63,53.84,55.11,1651600.0
2019-07-23,52.68,54.03,52.63,53.84,1451500.0
2019-07-22,51.71,52.71,51.52,52.28,1133300.0
2019-07-19,51.55,51.9023,51.32,51.56,986800.0
2019-07-18,50.38,51.55,50.08,51.41,963800.0
2019-07-17,50.1,50.62,49.56,50.37,1253900.0
2019-07-16,51.45,51.4485,50.36,50.37,980300.0
2019-07-15,51.68,51.91,51.11,51.5,749900.0
2019-07-12,50.83,51.79,50.45,51.76,785600.0
2019-07-11,50.0,50.86,49.84,50.72,804900.0
2019-07-10,51.09,51.19,49.88,50.51,1016700.0
2019-07-09,50.01,51.41,49.98,51.01,1044600.0
2019-07-08,50.13,51.01,50.0,50.6,926500.0
2019-07-05,50.47,51.02,50.0,50.17,644800.0
2019-07-03,50.08,50.6,49.585,50.47,1188600.0
2019-07-02,49.2,49.86,48.39,49.38,1051000.0
2019-07-01,48.49,49.16,48.34,48.49,1036000.0
2019-06-28,46.8,47.67,46.74,47.62,1721500.0
2019-06-27,46.11,46.91,45.865,46.6,1220000.0
2019-06-26,45.5364,46.22,45.23,45.67,1049200.0
2019-06-25,44.84,45.6,43.8706,45.5,1482300.0
2019-06-24,44.29,44.48,43.63,44.16,859200.0
2019-06-21,43.54,44.7,42.9,44.5,1851800.0
2019-06-20,45.11,45.84,43.26,43.48,1944400.0
2019-06-19,44.15,44.5,43.44,44.37,1529500.0
2019-06-18,44.06,44.6526,43.565,43.87,843400.0
2019-06-17,43.21,43.93,42.99,43.75,975900.0
2019-06-14,44.09,44.09,42.96,43.18,671700.0
2019-06-13,43.39,44.0463,43.25,44.01,652400.0
2019-06-12,43.83,44.11,43.16,43.44,750300.0
2019-06-11,44.17,44.69,43.92,43.99,702500.0
2019-06-10,44.22,44.82,43.81,43.81,716100.0
2019-06-07,43.48,44.265,43.31,44.02,674100.0
2019-06-06,44.16,44.52,43.2,43.45,801000.0
