,open,high,low,close,volume
2019-10-25,240.06,240.29,233.92,234.0,868665.0
2019-10-24,240.6,241.98,239.58,241.37,523800.0
2019-10-23,241.01,241.95,238.24,240.42,822500.0
2019-10-22,244.14,245.59,240.44,240.54,774100.0
2019-10-21,241.98,243.86,241.0,243.79,931700.0
2019-10-18,240.52,242.14,238.66,241.55,1609300.0
2019-10-17,242.52,243.69,240.63,240.69,659800.0
2019-10-16,242.99,243.03,240.63,242.05,1417700.0
2019-10-15,245.77,246.73,242.0,242.89,1161200.0
2019-10-14,246.48,246.48,245.08,245.33,523000.0
2019-10-11,246.99,247.92,245.73,245.96,481100.0
2019-10-10,247.05,248.23,245.62,246.7,555400.0
2019-10-09,246.82,249.03,246.65,247.33,505400.0
2019-10-08,246.97,248.29,244.89,246.82,1065400.0
2019-10-07,245.83,247.67,244.98,246.62,707000.0
2019-10-04,246.11,248.48,244.8,246.82,783900.0
2019-10-03,242.28,246.47,242.28,245.86,840100.0
2019-10-02,241.26,243.34,240.81,242.28,1350500.0
2019-10-01,242.99,243.73,237.21,240.22,1208200.0
2019-09-30,245.26,247.28,244.9,245.27,893100.0
2019-09-27,246.69,247.26,244.44,245.01,847600.0
2019-09-26,246.78,247.58,244.82,246.47,974300.0
2019-09-25,248.2,248.62,245.89,246.0,619800.0
2019-09-24,246.01,248.37,245.34,247.79,1364600.0
2019-09-23,247.97,248.45,245.23,245.45,922500.0
2019-09-20,250.48,251.93,247.73,247.8,1251300.0
2019-09-19,251.43,252.78,249.75,250.39,707100.0
2019-09-18,251.55,251.89,247.86,250.47,1059500.0
2019-09-17,248.0,251.03,246.8,250.83,1091800.0
2019-09-16,245.45,247.5,243.8,247.35,972600.0
2019-09-13,248.42,248.93,243.41,243.45,1225700.0
2019-09-12,251.79,253.89,248.69,249.58,952300.0
2019-09-11,248.22,249.72,245.75,249.69,972800.0
2019-09-10,254.5,254.74,248.1,250.0,1613700.0
2019-09-09,257.64,257.94,254.22,254.81,1579200.0
2019-09-06,258.52,259.35,256.33,257.5,831500.0
2019-09-05,263.29,263.29,257.83,258.26,990200.0
2019-09-04,262.14,264.19,260.7,264.07,1153600.0
2019-09-03,264.12,266.76,261.92,262.15,1221900.0
2019-08-30,262.78,265.3,262.37,264.74,781300.0
2019-08-29,262.02,263.06,260.73,262.24,604400.0
2019-08-28,262.29,264.16,261.15,261.94,615400.0
2019-08-27,261.98,264.63,261.5,262.23,727800.0
2019-08-26,259.13,261.56,259.03,261.29,375300.0
2019-08-23,262.15,264.56,258.32,259.5,768600.0
2019-08-22,261.23,262.5,260.55,261.89,522400.0
2019-08-21,261.27,262.84,259.18,261.06,461100.0
2019-08-20,262.41,262.97,260.21,260.54,611100.0
2019-08-19,259.25,261.72,257.59,261.06,810200.0
2019-08-16,259.9903,261.06,255.21,258.78,699500.0
2019-08-15,255.88,260.3,255.21,259.95,695200.0
2019-08-14,258.96,260.1588,255.23,255.64,997400.0
2019-08-13,257.89,259.16,255.2251,258.28,838800.0
2019-08-12,256.59,259.2744,255.99,258.69,637500.0
2019-08-09,256.6825,258.71,254.95,257.05,890400.0
2019-08-08,253.33,256.395,252.01,256.0,714400.0
2019-08-07,250.13,256.053,248.84,254.22,1256400.0
2019-08-06,245.02,251.98,243.78,250.08,805800.0
2019-08-05,249.57,250.7657,242.84,245.75,740600.0
2019-08-02,247.38,251.3867,246.39,249.54,736200.0
2019-08-01,242.69,247.82,242.0,246.37,886300.0
2019-07-31,243.99,247.3212,242.09,242.76,1166600.0
2019-07-30,242.74,244.99,240.83,243.1,952600.0
2019-07-29,240.43,243.55,239.98,242.75,1138000.0
2019-07-26,242.45,242.99,238.29,239.43,952000.0
2019-07-25,241.0,242.57,239.17,242.1,722400.0
2019-07-24,244.79,244.79,241.63,242.21,695900.0
2019-07-23,242.94,244.74,241.99,244.28,759800.0
2019-07-22,244.8,244.8,242.36,242.61,701100.0
2019-07-19,249.0,249.41,243.99,244.08,922800.0
2019-07-18,247.91,249.05,246.28,247.55,767900.0
2019-07-17,250.2257,250.24,247.0,248.72,516200.0
2019-07-16,249.7,250.67,248.38,248.98,603400.0
2019-07-15,249.68,251.28,248.26,249.63,568800.0
2019-07-12,249.22,249.38,247.39,248.68,421800.0
2019-07-11,248.96,250.39,246.93,248.63,944100.0
2019-07-10,248.24,249.8763,246.66,249.57,706800.0
2019-07-09,247.16,248.37,246.34,247.51,646900.0
2019-07-08,245.5469,248.09,244.85,246.64,919800.0
2019-07-05,245.0,247.17,242.35,245.22,833800.0
2019-07-03,243.61,247.92,243.04,247.59,941400.0
2019-07-02,238.4804,244.15,238.5,242.51,1525900.0
2019-07-01,239.37,239.37,233.77,236.45,686300.0
2019-06-28,236.87,239.52,236.87,238.17,1327300.0
2019-06-27,234.96,237.09,234.96,237.04,555100.0
2019-06-26,238.05,238.235,232.38,234.12,772900.0
2019-06-25,240.84,241.42,238.105,238.42,630000.0
2019-06-24,241.0,241.8,239.27,239.86,666400.0
2019-06-21,241.79,241.79,238.86,240.5,1237200.0
2019-06-20,243.3754,244.82,242.21,242.48,631400.0
2019-06-19,241.25,243.33,237.965,242.32,680600.0
2019-06-18,244.93,246.0907,240.02,241.49,735200.0
2019-06-17,243.9009,245.37,242.83,244.2,654000.0
2019-06-14,242.15,243.87,241.1,243.31,549900.0
2019-06-13,241.7259,242.46,240.475,242.26,427700.0
2019-06-12,242.01,244.2707,241.2,241.93,487800.0
2019-06-11,242.62,242.92,238.91,240.85,699100.0
2019-06-10,245.4,245.4,242.06,243.72,736500.0
2019-06-07,245.87,247.63,244.94,245.21,641200.0
2019-06-06,244.54,245.43,242.6563,244.72,759800.0
