,open,high,low,close,volume
2019-10-25,112.23,117.0,111.9,114.42,5529829.0
2019-10-24,109.51,110.97,109.18,110.63,3471800.0
2019-10-23,108.77,109.2,108.33,109.0,2329600.0
2019-10-22,108.69,109.83,108.07,108.77,1571400.0
2019-10-21,108.0,108.57,107.57,108.2,1638800.0
2019-10-18,107.0,107.98,106.71,107.2,3015900.0
2019-10-17,107.0,107.26,106.39,107.21,1767600.0
2019-10-16,106.79,107.77,105.94,106.26,1865400.0
2019-10-15,106.5,108.12,106.16,107.3,1606400.0
2019-10-14,106.0,107.19,105.78,106.65,1409000.0
2019-10-11,107.0,108.2,106.42,106.53,2388900.0
2019-10-10,103.62,106.71,103.45,106.6,3782100.0
2019-10-09,101.96,103.57,101.76,102.71,1827300.0
2019-10-08,100.88,101.55,100.39,100.82,1904300.0
2019-10-07,101.26,102.25,100.73,101.36,2377200.0
2019-10-04,99.27,100.98,99.21,100.86,2097300.0
2019-10-03,97.76,98.89,96.95,98.87,1639800.0
2019-10-02,100.4,100.46,97.2,98.24,2066700.0
2019-10-01,103.16,103.51,100.83,101.03,1897900.0
2019-09-30,103.4,103.95,102.34,102.4,1801600.0
2019-09-27,104.81,105.48,102.98,103.66,2297000.0
2019-09-26,104.63,105.05,103.11,104.56,1762600.0
2019-09-25,103.39,105.52,102.9,105.06,3043400.0
2019-09-24,104.2,104.39,102.33,103.62,2599700.0
2019-09-23,103.01,104.82,103.01,104.26,2413000.0
2019-09-20,103.42,104.04,102.87,103.27,9381800.0
2019-09-19,103.47,103.99,102.59,103.08,1332700.0
2019-09-18,101.65,103.15,101.15,102.99,1814700.0
2019-09-17,103.73,103.93,101.96,102.2,2464500.0
2019-09-16,102.11,105.0,102.02,104.03,4654400.0
2019-09-13,102.93,103.43,102.09,102.77,1688400.0
2019-09-12,101.44,102.61,100.7,102.19,1868500.0
2019-09-11,103.29,104.22,102.1,102.47,1924500.0
2019-09-10,102.42,103.91,102.25,102.96,2367200.0
2019-09-09,101.55,102.74,101.01,102.17,2396100.0
2019-09-06,100.13,101.38,99.42,100.91,2117500.0
2019-09-05,100.6,101.5,99.75,99.8,2668700.0
2019-09-04,100.34,100.61,99.11,99.69,1664100.0
2019-09-03,97.28,99.61,97.03,99.47,2140100.0
2019-08-30,98.67,99.75,98.13,98.63,1932500.0
2019-08-29,97.11,98.46,97.04,98.12,2372500.0
2019-08-28,94.54,96.86,94.54,96.17,2318100.0
2019-08-27,96.98,97.49,94.35,94.52,2586000.0
2019-08-26,96.03,96.4,95.1,96.31,1568100.0
2019-08-23,97.48,98.87,94.73,95.18,3305100.0
2019-08-22,99.25,99.93,98.21,98.46,1946100.0
2019-08-21,99.61,100.0,98.28,99.3,1988300.0
2019-08-20,98.8,99.69,98.06,98.68,1904500.0
2019-08-19,99.29,99.72,98.1,98.76,2747900.0
2019-08-16,98.04,99.1,96.38,98.83,2118400.0
2019-08-15,97.92,98.45,96.38,97.47,2089900.0
2019-08-14,97.61,98.7,97.13,97.53,2529800.0
2019-08-13,97.92,101.15,97.1,99.74,2267800.0
2019-08-12,100.07,100.14,97.81,98.31,2069700.0
2019-08-09,100.53,100.96,99.56,100.44,2005600.0
2019-08-08,98.31,100.74,97.88,100.71,2311900.0
2019-08-07,95.63,97.725,95.06,97.33,2349800.0
2019-08-06,96.56,97.54,96.04,97.41,2164500.0
2019-08-05,97.9,98.35,94.99,95.64,3034800.0
2019-08-02,101.76,101.9,99.4358,99.52,2075600.0
2019-08-01,101.95,103.6,101.41,101.99,2153200.0
2019-07-31,103.63,104.46,101.48,102.56,2415900.0
2019-07-30,102.36,103.65,101.59,103.61,1465900.0
2019-07-29,101.91,103.22,101.33,102.81,2275200.0
2019-07-26,102.35,102.64,100.47,102.32,2267300.0
2019-07-25,102.71,102.8382,99.98,101.57,3649000.0
2019-07-24,102.04,102.82,101.36,102.42,2924400.0
2019-07-23,103.0,103.26,101.98,102.32,1873800.0
2019-07-22,102.61,103.15,101.53,102.55,1966800.0
2019-07-19,102.33,102.87,101.8,101.96,3972900.0
2019-07-18,100.2,101.93,99.83,101.92,2468000.0
2019-07-17,101.39,102.04,100.28,100.79,2254400.0
2019-07-16,101.0,101.77,99.81,101.38,2625600.0
2019-07-15,100.35,101.15,99.39,101.01,3089500.0
2019-07-12,99.25,100.65,99.25,100.33,1842400.0
2019-07-11,98.66,99.65,97.96,99.59,2446600.0
2019-07-10,98.22,98.96,97.51,98.11,1954600.0
2019-07-09,96.99,98.34,96.59,97.72,2369900.0
2019-07-08,96.5457,98.54,96.55,96.96,3044500.0
2019-07-05,96.68,97.35,95.68,96.8,1956000.0
2019-07-03,96.0,97.04,95.86,97.02,2035500.0
2019-07-02,93.72,96.15,93.06,95.72,4112200.0
2019-07-01,94.86,95.325,93.62,94.06,2668700.0
2019-06-28,92.13,93.64,92.01,93.54,4442600.0
2019-06-27,92.66,92.95,91.54,91.75,2086400.0
2019-06-26,91.0,93.51,90.53,92.76,3816200.0
2019-06-25,89.42,90.6,89.06,89.83,3343800.0
2019-06-24,90.36,91.24,89.34,89.76,2360800.0
2019-06-21,91.4,91.92,90.0,90.58,6129800.0
2019-06-20,89.07,91.28,88.6,90.83,4082600.0
2019-06-19,86.92,87.98,86.35,87.6,2901700.0
2019-06-18,86.34,87.71,86.3356,86.8,2336600.0
2019-06-17,85.49,86.49,85.49,85.91,2003400.0
2019-06-14,85.2305,85.88,84.6,85.59,1830500.0
2019-06-13,84.09,85.7378,84.02,85.24,3029700.0
2019-06-12,84.34,85.405,82.94,83.25,3232800.0
2019-06-11,86.56,87.185,84.71,84.71,2736700.0
2019-06-10,85.8,86.77,85.67,85.9,3026700.0
2019-06-07,85.35,85.94,84.4861,85.52,2623700.0
2019-06-06,84.7711,85.95,83.92,84.9,2837200.0
