,open,high,low,close,volume
2019-10-25,89.02,93.3307,89.02,92.77,742531.0
2019-10-24,92.13,92.42,89.58,90.84,654700.0
2019-10-23,92.29,92.47,90.71,91.75,888600.0
2019-10-22,89.48,92.74,88.97,92.39,1141400.0
2019-10-21,88.47,90.33,88.47,89.35,888400.0
2019-10-18,86.07,87.57,85.52,87.39,797600.0
2019-10-17,88.5,88.99,86.71,87.38,939500.0
2019-10-16,87.43,88.75,87.36,87.65,634100.0
2019-10-15,87.17,88.67,86.54,87.56,583200.0
2019-10-14,86.92,87.72,85.28,86.94,823200.0
2019-10-11,85.22,88.71,85.22,87.72,1194600.0
2019-10-10,83.01,84.86,82.57,83.8,1124700.0
2019-10-09,81.94,83.25,81.63,82.76,913300.0
2019-10-08,82.46,82.76,80.43,80.81,1070500.0
2019-10-07,84.27,84.76,83.52,83.71,978500.0
2019-10-04,83.93,84.68,82.78,84.48,1359500.0
2019-10-03,82.88,84.02,81.12,83.87,1222900.0
2019-10-02,84.59,85.09,82.64,82.9,1213500.0
2019-10-01,88.7,89.7,85.66,85.66,1580200.0
2019-09-30,88.02,88.68,87.46,88.23,733000.0
2019-09-27,87.1,89.07,86.88,87.72,764500.0
2019-09-26,87.37,87.62,86.41,86.78,917100.0
2019-09-25,85.96,87.74,85.6,87.26,917100.0
2019-09-24,87.53,87.53,84.77,85.75,845000.0
2019-09-23,85.26,87.72,84.43,87.0,1078600.0
2019-09-20,87.36,88.75,86.01,86.11,1428500.0
2019-09-19,89.16,89.16,86.13,86.74,1055200.0
2019-09-18,87.8,89.12,87.26,89.02,977000.0
2019-09-17,90.31,90.31,87.41,88.45,1378900.0
2019-09-16,89.36,91.27,88.75,90.62,1221900.0
2019-09-13,91.06,92.8,90.39,90.61,1030500.0
2019-09-12,89.79,90.91,87.71,90.39,1405300.0
2019-09-11,90.37,91.02,87.54,90.4,1459600.0
2019-09-10,88.83,90.78,88.61,90.54,2017900.0
2019-09-09,85.73,89.31,85.5,89.19,1972000.0
2019-09-06,84.98,85.95,84.0,85.39,1916300.0
2019-09-05,82.52,84.74,82.52,84.56,2163300.0
2019-09-04,79.06,81.77,78.55,81.08,3310000.0
2019-09-03,75.55,76.01,74.08,74.3,2436000.0
2019-08-30,76.5,78.63,75.73,75.8,1878800.0
2019-08-29,77.57,79.36,73.41,76.0,3998200.0
2019-08-28,69.31,71.92,69.0,71.57,1450200.0
2019-08-27,71.08,71.5,69.63,69.81,1113400.0
2019-08-26,69.88,70.81,69.12,70.48,1136300.0
2019-08-23,71.56,72.37,68.76,69.01,2124300.0
2019-08-22,72.0,73.34,71.74,72.74,1322400.0
2019-08-21,72.58,72.75,71.33,71.99,730000.0
2019-08-20,71.4,72.02,70.77,71.84,871800.0
2019-08-19,72.25,72.95,71.91,71.96,1135500.0
2019-08-16,69.59,71.44,67.4023,70.72,1361200.0
2019-08-15,69.55,69.97,67.41,69.19,2416200.0
2019-08-14,72.0,72.0,68.6,69.36,1876500.0
2019-08-13,71.73,77.17,71.5,74.67,2110200.0
2019-08-12,74.02,74.25,71.47,72.1,1318600.0
2019-08-09,78.0624,78.15,74.61,74.66,1104000.0
2019-08-08,78.37,79.02,77.78,78.58,1352600.0
2019-08-07,77.3,78.21,76.42,77.86,1386000.0
2019-08-06,76.99,78.27,76.17,77.86,1418400.0
2019-08-05,78.92,78.98,75.6,76.6,2211100.0
2019-08-02,82.63,84.4,80.49,80.5,2198200.0
2019-08-01,88.47,88.92,80.8,82.8,1807300.0
2019-07-31,88.97,89.52,87.31,88.92,1417600.0
2019-07-30,88.9,89.53,87.06,89.08,1481800.0
2019-07-29,88.9,89.52,87.62,89.08,971400.0
2019-07-26,89.58,90.05,88.04,89.31,938100.0
2019-07-25,89.36,90.93,89.14,89.38,1068900.0
2019-07-24,88.5,90.28,87.93,89.21,925500.0
