,open,high,low,close,volume
2019-10-25,129.25,131.48,128.41,129.83,791681.0
2019-10-24,131.0,131.74,128.14,129.27,1176000.0
2019-10-23,129.81,131.76,128.51,130.6,1411300.0
2019-10-22,126.14,132.27,125.79,130.42,1727100.0
2019-10-21,123.4,126.32,123.07,125.39,1749000.0
2019-10-18,128.0,128.24,123.15,123.36,1700900.0
2019-10-17,128.66,128.87,126.4,127.7,1353900.0
2019-10-16,130.04,131.4,128.34,128.41,911900.0
2019-10-15,129.19,131.8,128.71,130.41,939700.0
2019-10-14,130.04,131.9,128.51,129.89,1323800.0
2019-10-11,131.4,133.89,129.78,132.51,1542000.0
2019-10-10,128.09,131.06,127.56,129.35,1994000.0
2019-10-09,125.0,127.25,124.96,126.51,1670200.0
2019-10-08,123.02,125.68,122.5,123.46,1628900.0
2019-10-07,125.69,126.51,123.94,124.54,1601200.0
2019-10-04,124.57,126.5,123.94,125.45,1831200.0
2019-10-03,119.86,125.13,119.5,124.69,1846300.0
2019-10-02,121.64,123.75,119.02,120.98,1739500.0
2019-10-01,126.92,128.69,121.55,121.73,1925000.0
2019-09-30,125.79,127.55,125.11,125.77,1560600.0
2019-09-27,124.89,129.06,124.89,126.32,1115400.0
2019-09-26,126.25,127.1,124.78,126.35,1258200.0
2019-09-25,129.23,130.64,127.22,128.16,1547400.0
2019-09-24,133.73,133.73,130.57,130.83,1657900.0
2019-09-23,133.26,134.7,132.26,133.75,900000.0
2019-09-20,136.34,136.48,132.6,134.34,2543300.0
2019-09-19,138.93,139.49,135.03,135.93,1020300.0
2019-09-18,137.15,139.97,136.5,137.77,1617800.0
2019-09-17,143.02,143.02,137.37,139.01,2338400.0
2019-09-16,141.66,145.67,138.7,144.24,5396400.0
2019-09-13,132.31,135.97,131.35,135.43,1985100.0
2019-09-12,130.25,132.37,129.35,130.35,1744200.0
2019-09-11,135.61,137.99,132.74,133.41,1255700.0
2019-09-10,132.79,136.54,132.69,134.75,1663900.0
2019-09-09,130.57,132.88,130.17,132.0,1776300.0
2019-09-06,126.98,129.03,125.0,128.87,1173300.0
2019-09-05,125.31,129.91,125.31,128.54,1572000.0
2019-09-04,124.4,124.78,123.31,124.18,1531100.0
2019-09-03,120.45,122.68,119.57,122.46,1115100.0
2019-08-30,123.37,125.26,122.46,123.42,1006600.0
2019-08-29,122.46,124.82,122.19,123.36,1189800.0
2019-08-28,118.91,121.29,118.17,120.79,1039000.0
2019-08-27,121.01,121.14,116.89,118.02,1935600.0
2019-08-26,122.45,122.84,119.6,120.25,1123500.0
2019-08-23,123.98,125.0,120.01,120.65,1440200.0
2019-08-22,127.53,127.75,125.72,126.07,821700.0
2019-08-21,128.0,129.14,125.94,126.94,1291400.0
2019-08-20,126.99,127.58,125.57,126.6,1001800.0
2019-08-19,126.87,128.6,126.0,128.22,1218400.0
2019-08-16,123.51,125.06,120.93,124.61,1223200.0
2019-08-15,122.56,123.65,120.93,123.01,1179200.0
2019-08-14,125.34,126.37,122.5,122.72,1910400.0
2019-08-13,125.56,129.57,125.08,128.36,2017400.0
2019-08-12,125.39,127.78,124.21,126.75,2164300.0
2019-08-09,126.0,127.885,124.86,126.17,1401900.0
2019-08-08,122.5,126.85,120.635,126.78,2450600.0
2019-08-07,114.79,124.75,114.79,122.13,4047800.0
2019-08-06,122.51,123.49,118.62,120.23,2390800.0
2019-08-05,124.16,124.49,121.27,121.84,2128100.0
2019-08-02,128.44,130.71,124.4492,127.27,2218700.0
2019-08-01,136.0,135.9973,125.29,127.56,3794600.0
2019-07-31,137.68,139.4,136.0,138.04,1629200.0
2019-07-30,133.0,138.35,132.8,137.89,1420000.0
2019-07-29,135.39,135.44,131.92,133.56,1403000.0
2019-07-26,135.66,136.8689,134.76,135.68,1453900.0
2019-07-25,137.87,139.7147,135.5,135.91,1487700.0
2019-07-24,139.58,142.7,139.41,139.64,791200.0
2019-07-23,138.17,140.3,137.03,139.97,1008100.0
2019-07-22,138.1338,139.66,136.85,138.23,1350600.0
2019-07-19,136.37,138.23,135.5,138.07,1117500.0
2019-07-18,135.84,136.8,134.8271,136.1,1570800.0
2019-07-17,140.03,140.64,136.33,136.34,987000.0
2019-07-16,141.38,142.12,139.2,140.06,1347800.0
2019-07-15,144.55,145.66,140.48,140.69,1061400.0
2019-07-12,144.63,145.66,143.2574,144.29,1033100.0
2019-07-11,147.24,147.31,144.59,144.86,1126500.0
2019-07-10,144.32,147.4,144.32,146.6,1200700.0
2019-07-09,145.08,145.28,142.17,143.36,1653400.0
2019-07-08,145.0,147.87,144.01,145.8,1116500.0
2019-07-05,145.0,146.54,144.33,146.52,1155000.0
2019-07-03,145.79,146.12,144.5,145.55,1001800.0
2019-07-02,150.5027,150.51,143.5,144.5,2079400.0
2019-07-01,156.39,156.8,150.56,151.28,1474200.0
2019-06-28,151.09,154.29,150.48,153.86,3007000.0
2019-06-27,151.73,152.59,150.5,150.81,985100.0
2019-06-26,150.26,153.04,149.62,151.24,1415400.0
2019-06-25,150.82,151.37,148.06,148.19,1054500.0
2019-06-24,155.35,156.04,150.74,151.28,1174900.0
2019-06-21,155.0,157.307,154.47,155.21,1819500.0
2019-06-20,152.6,154.78,149.36,154.34,1784200.0
