,open,high,low,close,volume
2019-10-25,79.0,80.23,78.91,80.17,5950509.0
2019-10-24,78.06,79.02,77.59,78.99,5271200.0
2019-10-23,77.21,78.13,76.87,77.24,5785700.0
2019-10-22,78.93,79.07,78.24,78.47,4944500.0
2019-10-21,78.38,79.09,78.01,78.98,5119800.0
2019-10-18,78.62,79.22,77.67,77.68,6107000.0
2019-10-17,78.7,79.96,78.4,78.97,5916700.0
2019-10-16,77.49,78.32,77.28,78.23,6218000.0
2019-10-15,76.88,77.98,76.28,77.82,5222500.0
2019-10-14,76.65,77.37,76.28,76.3,4545300.0
2019-10-11,76.19,77.82,76.01,76.7,7280800.0
2019-10-10,74.35,75.97,74.17,74.97,5580600.0
2019-10-09,73.91,74.8,73.56,74.35,5137500.0
2019-10-08,75.52,75.82,72.81,72.85,8489600.0
2019-10-07,77.01,77.55,76.27,76.34,4215500.0
2019-10-04,76.32,77.56,75.84,77.49,4893600.0
2019-10-03,73.93,75.83,73.16,75.73,5419400.0
2019-10-02,75.26,75.71,73.77,73.99,5997500.0
2019-10-01,77.06,78.06,74.97,75.47,7043700.0
2019-09-30,76.89,76.95,76.02,76.28,4775800.0
2019-09-27,77.01,78.2,76.21,76.63,5013200.0
2019-09-26,77.16,77.69,75.94,77.35,3760300.0
2019-09-25,75.03,77.49,74.88,77.26,5571600.0
2019-09-24,78.08,78.3,74.63,75.23,10177800.0
2019-09-23,76.67,77.91,76.06,77.24,5815700.0
2019-09-20,78.2,78.7,76.17,76.44,9122000.0
2019-09-19,79.24,80.0,78.21,78.23,5180900.0
2019-09-18,78.69,79.07,77.64,78.9,5147500.0
2019-09-17,77.61,78.79,77.51,78.69,4400800.0
2019-09-16,77.58,78.49,76.91,78.04,3756500.0
2019-09-13,79.18,79.54,78.37,78.41,5343700.0
2019-09-12,80.05,80.05,78.58,79.08,5847100.0
2019-09-11,78.17,79.91,78.12,79.9,6575700.0
2019-09-10,78.03,78.88,77.34,78.71,9373900.0
2019-09-09,79.04,79.45,77.97,78.21,6885100.0
2019-09-06,78.96,79.08,78.44,78.84,5128000.0
2019-09-05,77.89,80.44,77.89,78.99,13480300.0
2019-09-04,75.99,77.12,75.63,77.09,4923700.0
2019-09-03,76.77,76.99,74.7,75.12,7580700.0
2019-08-30,77.18,78.05,77.0,77.77,8465300.0
2019-08-29,75.22,77.03,75.22,76.45,7348400.0
2019-08-28,73.79,74.88,72.91,74.35,5678500.0
2019-08-27,73.68,74.38,73.2,73.97,7303100.0
2019-08-26,74.9,75.09,72.52,72.91,11153800.0
2019-08-23,76.12,79.1,73.22,73.52,16479400.0
2019-08-22,76.91,77.95,76.6,77.15,7198800.0
2019-08-21,76.5,77.19,75.99,76.7,11004100.0
2019-08-20,74.57,76.44,74.33,76.07,9387300.0
2019-08-19,74.58,75.53,74.14,74.87,9688400.0
2019-08-16,71.8489,73.41,71.73,73.28,10090600.0
2019-08-15,71.44,72.19,70.59,71.16,9107000.0
2019-08-14,70.6392,71.89,70.55,70.88,10336900.0
2019-08-13,69.8935,72.47,69.31,72.18,10134800.0
2019-08-12,71.0,71.4773,69.73,69.8,7364300.0
2019-08-09,70.51,72.185,70.19,71.5,8702200.0
2019-08-08,69.56,71.35,69.35,71.26,8367900.0
2019-08-07,67.26,69.6,67.12,69.4,8934900.0
2019-08-06,69.52,69.93,67.38,68.17,13189900.0
2019-08-05,69.97,70.84,68.56,68.8,13071800.0
2019-08-02,70.44,71.5278,70.01,71.15,12649400.0
2019-08-01,68.88,73.71,68.25,71.2,29729800.0
2019-07-31,74.83,75.28,72.76,73.16,14052800.0
2019-07-30,74.58,75.07,74.36,74.81,7397900.0
2019-07-29,75.16,76.32,74.67,74.97,8237500.0
2019-07-26,75.11,75.85,74.8531,75.22,8262500.0
2019-07-25,75.84,76.14,75.1,75.35,7299500.0
2019-07-24,74.01,76.42,73.6758,75.87,14012700.0
2019-07-23,75.34,75.59,73.31,74.12,14420400.0
2019-07-22,75.06,76.62,75.06,75.95,9645800.0
2019-07-19,74.42,75.71,74.42,75.0,14477400.0
2019-07-18,74.97,75.35,74.05,74.37,12580800.0
2019-07-17,78.57,79.4,75.71,75.76,20602300.0
2019-07-16,75.11,76.5,74.55,75.67,9909600.0
2019-07-15,75.15,75.9,74.79,75.43,8898200.0
2019-07-12,74.25,74.98,73.66,74.9,8028100.0
2019-07-11,74.52,75.78,73.3,73.71,14298400.0
2019-07-10,76.83,76.91,74.08,74.36,15075700.0
2019-07-09,76.44,76.8367,75.84,76.55,7506500.0
2019-07-08,75.98,77.03,75.93,76.63,7924900.0
2019-07-05,74.2,76.72,74.1,76.66,9220800.0
2019-07-03,77.07,77.23,76.05,76.63,5290400.0
2019-07-02,77.28,77.48,76.62,77.01,7075600.0
2019-07-01,80.67,80.76,77.08,77.52,17693000.0
2019-06-28,75.66,76.44,74.81,76.07,29217500.0
2019-06-27,75.34,75.9,75.17,75.43,11151900.0
2019-06-26,73.76,75.695,73.65,74.95,13808000.0
2019-06-25,73.23,74.135,72.52,72.55,8953400.0
2019-06-24,72.97,73.45,72.2,73.16,8893000.0
2019-06-21,72.31,73.17,72.31,72.72,15244500.0
2019-06-20,73.1921,73.67,72.228,72.74,9871800.0
2019-06-19,72.3731,72.62,70.8,71.8,11999300.0
2019-06-18,69.69,72.3943,69.67,71.96,14508000.0
2019-06-17,69.09,69.98,68.9,69.11,9411100.0
2019-06-14,68.35,69.12,67.9001,68.72,12119500.0
2019-06-13,69.97,70.49,69.38,69.93,6790500.0
2019-06-12,69.53,70.37,69.2,69.59,9396200.0
2019-06-11,71.58,72.22,70.273,71.24,11839500.0
2019-06-10,69.0,71.46,69.0,70.54,15229200.0
2019-06-07,67.69,68.7757,67.3,68.69,10495600.0
2019-06-06,66.92,67.97,66.265,67.59,10781700.0
