,open,high,low,close,volume
2019-10-25,249.41,250.56,247.21,248.59,140765.0
2019-10-24,249.53,250.88,248.05,249.67,155000.0
2019-10-23,248.76,250.65,248.46,249.3,247800.0
2019-10-22,252.22,252.22,245.59,248.51,285000.0
2019-10-21,252.52,254.46,251.45,253.02,151800.0
2019-10-18,249.12,252.92,249.12,251.08,226300.0
2019-10-17,252.93,252.93,249.36,249.46,162300.0
2019-10-16,250.1,254.73,246.23,252.72,274900.0
2019-10-15,251.47,254.88,251.14,251.54,183300.0
2019-10-14,250.25,250.93,248.36,250.61,249400.0
2019-10-11,251.27,252.96,249.19,250.5,282100.0
2019-10-10,249.84,252.52,248.38,249.5,270600.0
2019-10-09,251.49,251.69,249.82,250.48,191800.0
2019-10-08,253.66,253.66,250.09,250.45,378600.0
2019-10-07,258.87,259.03,254.53,254.66,281500.0
2019-10-04,257.89,260.13,256.91,259.7,351000.0
2019-10-03,259.1,259.35,256.18,257.61,311600.0
2019-10-02,263.81,265.37,258.14,259.2,326900.0
2019-10-01,266.41,266.65,263.68,263.85,229000.0
2019-09-30,266.31,268.08,264.93,266.09,212300.0
2019-09-27,267.54,267.54,264.3,265.98,320300.0
2019-09-26,263.46,266.94,263.07,266.36,214700.0
2019-09-25,265.53,266.86,262.66,263.06,309200.0
2019-09-24,265.6,268.95,264.97,266.76,464100.0
2019-09-23,262.98,265.82,262.42,265.0,297500.0
2019-09-20,263.0,264.61,261.74,264.5,572600.0
2019-09-19,262.26,264.01,260.96,262.29,469200.0
2019-09-18,260.05,262.15,258.96,261.75,333300.0
2019-09-17,254.41,260.5,254.41,260.44,472700.0
2019-09-16,254.39,255.36,251.92,254.95,228700.0
2019-09-13,252.36,257.06,251.37,256.39,351000.0
2019-09-12,255.05,255.84,247.82,251.7,553800.0
2019-09-11,250.84,254.88,250.63,254.82,303000.0
2019-09-10,252.06,252.06,248.72,251.02,342000.0
2019-09-09,250.18,251.86,248.67,251.77,282200.0
2019-09-06,249.02,250.79,247.89,249.0,270200.0
2019-09-05,248.12,250.61,247.66,248.74,326800.0
2019-09-04,240.75,246.46,240.75,246.36,300900.0
2019-09-03,237.15,246.89,235.88,241.67,463900.0
2019-08-30,240.39,240.78,231.57,235.88,621600.0
2019-08-29,240.22,241.71,234.09,239.89,312600.0
2019-08-28,244.27,245.32,235.21,239.51,325600.0
2019-08-27,248.47,248.62,245.06,245.55,301800.0
2019-08-26,245.94,247.3,244.48,247.17,160400.0
2019-08-23,247.74,250.89,244.04,244.88,261800.0
2019-08-22,248.74,250.55,247.16,248.85,184700.0
2019-08-21,247.64,248.68,245.9,247.85,121800.0
2019-08-20,249.36,249.36,246.59,246.79,177700.0
2019-08-19,251.02,251.84,248.95,249.92,190100.0
2019-08-16,247.79,249.93,245.78,249.29,169900.0
2019-08-15,246.93,248.31,245.78,246.75,184900.0
2019-08-14,250.79,252.77,246.295,246.56,317300.0
2019-08-13,250.73,252.81,249.28,252.64,237200.0
2019-08-12,251.53,253.82,249.27,250.05,205400.0
2019-08-09,251.02,253.13,250.18,251.84,154900.0
2019-08-08,248.78,251.8219,248.78,251.6,272300.0
2019-08-07,242.72,249.86,241.685,248.2,340400.0
2019-08-06,238.88,245.81,237.43,244.85,329900.0
2019-08-05,241.49,243.56,237.63,239.15,389400.0
2019-08-02,243.97,245.11,241.12,243.12,245700.0
2019-08-01,246.6,247.89,243.9579,244.33,298700.0
2019-07-31,250.92,252.8,245.06,246.64,336000.0
2019-07-30,258.22,260.36,250.71,251.69,576400.0
2019-07-29,259.37,260.29,255.84,256.8,272200.0
2019-07-26,255.47,259.53,254.46,259.52,208700.0
2019-07-25,254.64,257.45,254.57,255.52,210100.0
2019-07-24,253.54,255.76,253.25,255.0,196900.0
2019-07-23,253.31,254.3024,251.32,253.21,154200.0
2019-07-22,252.3,254.4601,251.7,253.41,195900.0
2019-07-19,252.85,254.43,250.11,252.01,286100.0
2019-07-18,251.49,253.07,250.37,252.06,212200.0
2019-07-17,254.56,254.56,249.76,251.21,387400.0
2019-07-16,258.33,258.71,253.84,255.27,300500.0
2019-07-15,258.15,260.51,257.12,258.3,215400.0
2019-07-12,257.4,258.26,255.69,257.72,157000.0
2019-07-11,258.37,259.61,255.63,256.88,204500.0
2019-07-10,257.7,260.02,256.87,258.27,235000.0
2019-07-09,254.42,257.46,254.01,257.39,320100.0
2019-07-08,253.84,255.38,253.23,254.51,220200.0
2019-07-05,254.54,255.09,252.44,254.51,172800.0
