,open,high,low,close,volume
2019-10-25,68.7,69.16,68.365,68.5,642465.0
2019-10-24,69.49,69.49,68.43,68.92,519400.0
2019-10-23,69.71,69.79,68.15,69.29,1471700.0
2019-10-22,69.45,70.0,69.37,69.65,618300.0
2019-10-21,68.6,69.58,68.27,69.5,704300.0
2019-10-18,68.43,68.87,68.06,68.82,1105700.0
2019-10-17,68.45,68.82,68.29,68.47,784100.0
2019-10-16,68.38,68.57,68.02,68.47,820600.0
2019-10-15,68.73,69.04,68.28,68.6,586600.0
2019-10-14,68.26,68.47,67.8,68.44,854500.0
2019-10-11,68.55,69.09,68.16,68.49,493200.0
2019-10-10,68.3,68.64,68.1,68.3,681600.0
2019-10-09,68.8,68.84,67.15,68.22,534300.0
2019-10-08,68.83,69.01,68.05,68.37,781200.0
2019-10-07,68.67,69.47,68.6,68.87,583000.0
2019-10-04,68.28,69.04,68.28,69.02,458800.0
2019-10-03,68.4,69.14,67.87,68.3,937200.0
2019-10-02,69.07,69.29,68.36,68.48,834600.0
2019-10-01,69.44,69.88,68.36,69.24,861300.0
2019-09-30,69.23,69.72,68.88,69.49,1015400.0
2019-09-27,69.02,69.27,68.55,69.08,883900.0
2019-09-26,67.82,68.95,67.61,68.85,711400.0
2019-09-25,67.55,67.82,67.07,67.55,1138400.0
2019-09-24,67.78,67.86,67.3,67.62,897400.0
2019-09-23,67.26,68.1,67.17,67.67,581200.0
2019-09-20,67.84,68.3,67.45,67.73,1777300.0
2019-09-19,68.07,68.49,67.93,68.0,615100.0
2019-09-18,68.13,68.41,67.25,67.89,961000.0
2019-09-17,68.41,68.75,67.74,68.11,963600.0
2019-09-16,68.29,68.41,67.78,68.23,1079800.0
2019-09-13,68.95,69.59,67.79,68.06,1704800.0
2019-09-12,68.82,69.26,68.25,69.07,824300.0
2019-09-11,68.08,68.74,67.61,68.72,2184300.0
2019-09-10,68.22,68.88,67.86,68.22,1435600.0
2019-09-09,66.89,68.45,66.47,68.39,999400.0
2019-09-06,66.73,67.13,66.56,66.92,657600.0
2019-09-05,66.48,66.74,65.98,66.58,932600.0
2019-09-04,65.88,66.58,65.56,66.48,781700.0
2019-09-03,64.17,65.57,64.12,65.33,768200.0
2019-08-30,64.54,64.73,64.08,64.51,537200.0
2019-08-29,63.58,64.47,63.47,64.43,596000.0
2019-08-28,63.03,63.47,62.79,63.32,819100.0
2019-08-27,63.95,64.1,62.74,62.83,1008800.0
2019-08-26,63.83,63.83,63.0,63.61,724200.0
2019-08-23,64.72,65.47,62.97,63.34,1050200.0
2019-08-22,65.6,65.67,64.79,65.16,845100.0
2019-08-21,65.08,65.6,64.88,65.36,860800.0
2019-08-20,65.84,65.84,64.96,65.0,527900.0
2019-08-19,65.4,65.81,65.06,65.73,632800.0
2019-08-16,65.74,65.74,64.88,65.19,914400.0
2019-08-15,64.76,65.49,64.64,65.04,744200.0
2019-08-14,65.27,65.27,64.55,64.71,1217600.0
2019-08-13,64.68,65.32,64.48,65.2,897800.0
2019-08-12,64.72,65.12,64.46,64.84,804400.0
2019-08-09,65.16,65.41,64.48,64.98,586700.0
2019-08-08,64.67,65.64,64.19,65.6,1127800.0
2019-08-07,63.96,65.35,63.1119,64.7,1074600.0
2019-08-06,64.0,64.63,63.27,64.21,1032200.0
2019-08-05,65.6235,65.64,62.9,63.84,986500.0
2019-08-02,65.99,67.44,65.23,65.76,1183700.0
2019-08-01,66.5236,66.81,65.88,65.96,1040300.0
2019-07-31,67.0,67.44,66.09,66.7,938900.0
2019-07-30,66.6804,67.35,66.47,66.93,618700.0
2019-07-29,66.46,67.07,66.36,66.74,467700.0
2019-07-26,66.25,66.5178,65.31,66.2,660000.0
2019-07-25,66.2,66.53,65.42,66.12,1009400.0
2019-07-24,65.68,66.25,65.1503,66.15,867100.0
2019-07-23,64.7,65.72,64.46,65.55,751000.0
2019-07-22,65.1099,65.22,64.59,64.63,680400.0
2019-07-19,66.53,66.66,64.98,65.01,767600.0
2019-07-18,66.43,66.79,65.79,66.54,593200.0
2019-07-17,67.48,67.7,66.27,66.54,759700.0
2019-07-16,68.05,68.07,67.13,67.23,822700.0
2019-07-15,68.62,68.9055,68.09,68.14,613800.0
2019-07-12,68.7634,68.88,68.33,68.54,478100.0
2019-07-11,69.44,69.58,68.18,68.6,751700.0
2019-07-10,69.44,69.83,68.79,69.42,555100.0
2019-07-09,68.87,69.52,68.63,69.41,572000.0
2019-07-08,68.43,69.02,68.34,68.82,598300.0
2019-07-05,68.22,68.68,67.505,68.48,357500.0
2019-07-03,67.89,68.82,67.89,68.81,313700.0
2019-07-02,66.84,67.82,66.53,67.75,579600.0
2019-07-01,67.22,67.305,65.56,66.72,793800.0
2019-06-28,66.97,67.61,66.575,66.74,1872300.0
2019-06-27,66.3309,67.13,66.33,66.9,816300.0
2019-06-26,67.91,68.36,66.19,66.23,1023800.0
2019-06-25,68.93,69.59,67.94,68.02,993500.0
2019-06-24,69.5477,69.975,68.6,68.86,1241500.0
2019-06-21,69.73,69.73,68.45,69.52,2922500.0
2019-06-20,70.15,70.1517,69.68,69.9,937500.0
2019-06-19,69.09,70.045,65.592,69.74,913400.0
2019-06-18,69.86,70.26,68.8,69.19,886500.0
2019-06-17,69.06,69.73,69.06,69.56,928000.0
2019-06-14,68.5,68.9628,68.42,68.87,632900.0
2019-06-13,68.01,68.66,67.77,68.51,779200.0
2019-06-12,67.76,68.05,67.35,67.8,837600.0
2019-06-11,67.5494,67.91,66.069,67.53,854300.0
2019-06-10,67.56,67.72,67.13,67.48,724900.0
2019-06-07,68.22,68.37,67.42,67.47,610600.0
2019-06-06,67.69,68.49,67.3,67.89,503100.0
