,open,high,low,close,volume
2019-10-25,16.13,16.42,16.12,16.4,6110296.0
2019-10-24,16.29,16.35,16.07,16.18,6594900.0
2019-10-23,16.19,16.35,16.08,16.28,7876300.0
2019-10-22,15.79,16.48,15.36,16.22,18679000.0
2019-10-21,15.95,16.13,15.95,16.07,8952200.0
2019-10-18,15.54,15.85,15.49,15.77,14813500.0
2019-10-17,15.67,15.69,15.45,15.54,7941700.0
2019-10-16,15.68,15.79,15.49,15.53,7695000.0
2019-10-15,15.46,15.73,15.36,15.61,8491300.0
2019-10-14,15.29,15.45,15.24,15.39,6940100.0
2019-10-11,15.49,15.65,15.41,15.43,9809600.0
2019-10-10,15.03,15.22,14.99,15.11,10244000.0
2019-10-09,15.03,15.04,14.81,14.91,10402800.0
2019-10-08,15.07,15.13,14.88,14.89,10580000.0
2019-10-07,15.39,15.59,15.31,15.38,6924500.0
2019-10-04,15.24,15.41,15.1,15.39,9279700.0
2019-10-03,15.08,15.24,14.77,15.23,11667000.0
2019-10-02,15.28,15.39,15.07,15.16,8322800.0
2019-10-01,15.95,16.08,15.33,15.43,11021400.0
2019-09-30,15.98,16.05,15.81,15.82,7161900.0
2019-09-27,16.02,16.29,15.86,15.96,7700700.0
2019-09-26,15.99,16.06,15.87,15.89,6678000.0
2019-09-25,15.91,16.13,15.85,16.04,5653000.0
2019-09-24,16.02,16.08,15.74,15.85,8465500.0
2019-09-23,15.79,16.15,15.77,16.05,6054900.0
2019-09-20,16.17,16.24,15.94,15.96,14487000.0
2019-09-19,16.3,16.39,16.11,16.12,8220600.0
2019-09-18,16.11,16.45,16.03,16.35,12906000.0
2019-09-17,16.28,16.33,16.0,16.26,8389200.0
2019-09-16,16.11,16.47,16.11,16.44,7587600.0
2019-09-13,16.5,16.68,16.3,16.35,9920900.0
2019-09-12,16.03,16.4,15.81,16.25,11308900.0
2019-09-11,16.02,16.32,15.74,16.24,14678700.0
2019-09-10,15.54,16.06,15.51,16.01,16533900.0
2019-09-09,15.0,15.61,14.97,15.45,15609900.0
2019-09-06,14.78,14.99,14.77,14.85,8471500.0
2019-09-05,14.6,14.96,14.57,14.81,10269400.0
2019-09-04,14.46,14.5,14.34,14.44,8039500.0
2019-09-03,14.49,14.49,14.13,14.26,11341900.0
2019-08-30,14.59,14.8,14.55,14.62,10389800.0
2019-08-29,14.26,14.57,14.25,14.47,11275200.0
2019-08-28,13.75,14.2,13.75,14.1,8031900.0
