,open,high,low,close,volume
2019-10-25,57.84,58.09,57.28,57.92,758099.0
2019-10-24,57.27,59.13,57.06,58.08,1509700.0
2019-10-23,56.0,56.08,55.39,55.89,1276000.0
2019-10-22,56.04,56.29,55.31,55.95,1213100.0
2019-10-21,55.74,56.37,55.46,55.94,931500.0
2019-10-18,54.23,55.68,53.93,55.09,1148500.0
2019-10-17,54.78,55.35,54.38,54.46,673800.0
2019-10-16,55.08,55.5,54.42,54.57,1445500.0
2019-10-15,54.71,55.79,54.7,55.45,1144800.0
2019-10-14,53.9,54.64,53.9,54.41,922600.0
2019-10-11,54.24,54.9,54.18,54.36,1219000.0
2019-10-10,52.19,53.17,52.19,53.04,622600.0
2019-10-09,53.3,53.57,52.31,52.35,1138500.0
2019-10-08,53.4,53.52,52.73,52.74,1532000.0
2019-10-07,53.73,54.29,53.48,54.01,1082500.0
2019-10-04,53.0,54.18,52.85,54.09,859100.0
2019-10-03,53.54,54.07,52.1,52.76,1383500.0
2019-10-02,53.51,54.66,53.06,53.83,1692000.0
2019-10-01,56.25,56.8,53.63,53.99,1324900.0
2019-09-30,54.9,56.01,54.78,55.66,867700.0
2019-09-27,55.25,55.68,54.47,54.62,941800.0
2019-09-26,55.02,55.52,54.74,54.97,659600.0
2019-09-25,54.43,55.55,54.17,55.12,584400.0
2019-09-24,55.04,55.26,54.03,54.26,1266200.0
2019-09-23,54.8,55.25,54.15,54.9,872400.0
2019-09-20,54.68,55.6,54.68,55.08,1386900.0
2019-09-19,55.5,55.91,54.49,54.63,1069800.0
2019-09-18,55.72,55.91,55.14,55.5,1272800.0
2019-09-17,56.78,56.78,55.76,55.88,1081600.0
2019-09-16,56.42,57.14,56.22,57.12,769700.0
2019-09-13,56.24,57.3,56.03,56.76,1145700.0
2019-09-12,56.74,57.0,55.27,55.63,1205400.0
2019-09-11,56.33,56.88,55.63,56.87,1077000.0
2019-09-10,55.16,56.44,55.07,56.02,1491900.0
2019-09-09,53.91,55.35,53.46,55.22,1161600.0
2019-09-06,54.26,54.43,53.37,53.41,632800.0
2019-09-05,53.8,54.5,53.7,54.17,817000.0
2019-09-04,52.84,53.46,52.54,52.9,1664300.0
2019-09-03,53.1,53.17,51.9,52.13,1058700.0
2019-08-30,53.7,54.15,53.23,53.47,884000.0
2019-08-29,53.7,54.06,53.29,53.41,653700.0
2019-08-28,52.65,53.47,52.33,53.15,694600.0
2019-08-27,53.41,53.56,52.47,52.9,886600.0
2019-08-26,53.67,53.78,52.8,53.17,620500.0
2019-08-23,54.39,54.76,52.89,53.08,956700.0
2019-08-22,55.08,55.34,54.44,54.55,654100.0
2019-08-21,55.81,55.96,55.14,55.22,642600.0
2019-08-20,55.65,55.73,55.02,55.2,871900.0
2019-08-19,55.91,56.12,55.39,55.76,1047700.0
2019-08-16,54.2,55.17,53.44,55.04,617700.0
2019-08-15,54.16,54.35,53.4393,53.66,1164900.0
2019-08-14,55.5,55.5,53.91,53.93,1025000.0
2019-08-13,55.88,57.57,55.6964,56.6,739000.0
2019-08-12,56.23,56.4,55.83,56.08,496900.0
2019-08-09,57.46,57.46,56.621,56.77,742100.0
2019-08-08,56.86,57.84,56.53,57.63,625300.0
2019-08-07,55.1,56.41,54.72,56.17,929900.0
2019-08-06,56.58,56.68,55.5,55.95,1511800.0
2019-08-05,56.55,56.67,55.55,55.99,2045400.0
2019-08-02,58.94,58.94,57.6765,57.83,1283600.0
2019-08-01,60.43,61.0774,58.93,59.07,1299000.0
2019-07-31,61.15,61.4531,59.92,60.41,981900.0
2019-07-30,60.07,61.26,59.58,61.23,920600.0
2019-07-29,60.73,60.97,60.04,60.36,1019000.0
2019-07-26,61.03,61.35,60.75,61.11,1407000.0
2019-07-25,62.49,62.74,60.6489,60.76,2449900.0
2019-07-24,61.19,63.97,60.89,62.71,3488200.0
2019-07-23,57.71,58.94,57.65,58.8,2069700.0
2019-07-22,57.82,58.27,57.33,57.37,1066200.0
2019-07-19,58.46,59.1027,57.62,57.64,1469000.0
2019-07-18,58.173,58.47,57.94,58.16,1288400.0
2019-07-17,58.77,58.97,58.2358,58.26,1231600.0
2019-07-16,58.99,59.46,58.82,59.07,2391300.0
2019-07-15,58.63,58.77,58.09,58.77,1208400.0
2019-07-12,57.5,59.11,57.48,58.59,1163200.0
2019-07-11,57.46,57.46,56.84,57.28,1396700.0
2019-07-10,57.42,57.62,57.05,57.28,1791900.0
2019-07-09,56.98,57.49,56.64,57.44,2100900.0
2019-07-08,57.67,57.95,57.15,57.35,1786400.0
2019-07-05,58.06,58.33,57.5,57.91,1289300.0
2019-07-03,58.33,58.65,57.64,58.0,1889200.0
2019-07-02,57.82,58.9,57.36,58.12,5649900.0
2019-07-01,57.78,58.09,56.94,57.03,1027200.0
2019-06-28,56.74,57.37,56.4,57.01,1515400.0
2019-06-27,56.08,56.7,56.08,56.48,996500.0
2019-06-26,55.59,56.24,55.59,55.86,1187500.0
2019-06-25,55.74,56.125,55.23,55.47,1205700.0
2019-06-24,56.21,56.43,55.64,55.68,798300.0
2019-06-21,57.18,57.24,56.05,56.21,2209800.0
2019-06-20,57.38,57.5,56.74,57.32,1194300.0
2019-06-19,57.1,57.235,56.69,56.81,1036900.0
2019-06-18,55.91,57.08,55.77,56.98,1296800.0
2019-06-17,56.2167,56.48,55.42,55.57,812800.0
