,open,high,low,close,volume
2019-10-25,83.19,84.95,82.93,84.48,797405.0
2019-10-24,88.11,88.11,82.31,83.93,1556500.0
2019-10-23,82.79,84.01,82.24,83.91,1084700.0
2019-10-22,84.11,84.31,83.04,83.1,1129800.0
2019-10-21,83.0,84.67,83.0,84.13,1044100.0
2019-10-18,82.13,82.88,81.91,82.69,1673200.0
2019-10-17,82.37,82.88,81.83,82.44,826800.0
2019-10-16,82.68,83.21,81.66,81.7,815300.0
2019-10-15,81.26,82.92,80.52,82.8,924400.0
2019-10-14,79.95,80.92,79.37,80.86,1912400.0
2019-10-11,80.01,81.36,80.0,80.58,793200.0
2019-10-10,78.12,79.05,78.12,78.35,805200.0
2019-10-09,77.48,78.05,77.06,77.57,775800.0
2019-10-08,77.03,77.33,76.33,76.44,950100.0
2019-10-07,78.22,78.84,77.76,78.13,830300.0
2019-10-04,77.63,78.71,77.63,78.62,769600.0
2019-10-03,77.82,78.3,75.44,77.63,1668900.0
2019-10-02,78.27,78.9,77.26,78.2,1804700.0
2019-10-01,81.74,82.09,78.33,79.4,1662600.0
2019-09-30,83.8,83.8,82.26,82.46,877400.0
2019-09-27,85.2,85.57,83.19,83.87,1431900.0
2019-09-26,84.64,85.18,83.88,84.67,719400.0
2019-09-25,83.88,85.0,83.58,84.79,778800.0
2019-09-24,84.47,84.73,82.67,83.81,1026000.0
2019-09-23,83.42,84.75,83.02,84.29,592000.0
2019-09-20,85.36,85.59,84.12,84.2,1444900.0
2019-09-19,85.32,85.59,84.49,85.16,955500.0
2019-09-18,85.91,86.13,84.71,85.86,733900.0
2019-09-17,86.78,87.07,85.95,86.35,825200.0
2019-09-16,86.1,87.4,85.88,87.35,1055400.0
2019-09-13,87.28,87.9,86.85,87.11,1024800.0
2019-09-12,85.09,86.82,84.65,86.41,995600.0
2019-09-11,84.37,85.81,82.48,85.78,704700.0
2019-09-10,82.75,84.34,82.41,84.29,895400.0
2019-09-09,81.22,82.65,81.1,82.27,935600.0
2019-09-06,80.19,80.99,79.55,80.56,689600.0
2019-09-05,79.73,80.95,79.62,79.95,619500.0
2019-09-04,77.71,78.08,77.4,78.03,544100.0
2019-09-03,77.72,77.8,76.19,76.92,770600.0
2019-08-30,78.98,79.27,78.18,78.51,531900.0
2019-08-29,77.18,78.49,77.18,78.28,518500.0
2019-08-28,75.06,76.33,74.87,76.24,743000.0
2019-08-27,76.89,77.19,75.38,75.66,839100.0
2019-08-26,77.17,77.34,76.04,76.55,590400.0
2019-08-23,78.03,78.62,75.78,76.2,926600.0
2019-08-22,78.2,79.21,77.9,78.56,1481800.0
2019-08-21,77.19,77.8,76.97,77.66,815400.0
2019-08-20,76.64,77.05,76.0,76.63,921400.0
2019-08-19,77.14,77.38,76.08,76.93,746700.0
2019-08-16,74.49,76.23,73.23,75.75,717600.0
2019-08-15,73.72,74.1,73.23,73.75,954800.0
2019-08-14,73.94,74.83,72.94,73.31,1380900.0
2019-08-13,74.7,77.17,74.0556,75.96,611800.0
2019-08-12,75.6433,76.11,74.43,74.56,910600.0
2019-08-09,76.6,77.51,75.93,76.73,949100.0
2019-08-08,76.73,77.87,76.25,77.1,697500.0
2019-08-07,74.65,76.37,73.5,75.98,1213700.0
2019-08-06,75.77,76.82,74.61,76.6,863200.0
2019-08-05,75.85,76.64,74.27,75.01,1535600.0
2019-08-02,77.9,78.31,76.56,77.75,1170300.0
2019-08-01,80.45,81.1,77.58,78.3,1112100.0
2019-07-31,81.82,81.84,80.08,80.67,1013500.0
2019-07-30,81.81,81.81,80.8253,81.78,933700.0
2019-07-29,84.5196,84.58,81.78,81.86,950000.0
