,open,high,low,close,volume
2019-10-25,145.0,147.37,141.29,144.26,1538974.0
2019-10-24,127.45,129.24,126.42,127.73,514800.0
2019-10-23,127.0,127.8,126.26,126.74,385000.0
2019-10-22,131.09,131.46,126.32,126.52,538900.0
2019-10-21,131.81,131.83,130.12,130.52,477100.0
2019-10-18,130.99,131.92,129.95,131.21,492300.0
2019-10-17,131.2,132.72,131.2,131.63,407900.0
2019-10-16,131.58,132.0,130.34,131.16,624600.0
2019-10-15,130.01,131.03,129.87,130.45,419600.0
2019-10-14,129.95,130.19,128.99,129.22,351200.0
2019-10-11,130.99,131.86,129.59,129.66,515800.0
2019-10-10,131.56,131.56,128.89,130.47,483200.0
2019-10-09,131.8,132.65,131.64,132.18,322100.0
2019-10-08,131.52,131.77,129.84,130.23,427100.0
2019-10-07,131.73,132.96,131.63,132.18,355100.0
2019-10-04,131.33,132.44,130.85,132.4,343800.0
2019-10-03,128.62,130.53,127.4,130.29,664000.0
2019-10-02,132.59,133.13,128.07,128.88,593900.0
2019-10-01,135.13,135.88,132.94,133.59,510400.0
2019-09-30,134.14,136.23,133.68,135.11,460700.0
2019-09-27,134.83,135.54,133.07,133.6,400400.0
2019-09-26,136.58,136.61,134.43,134.61,358400.0
2019-09-25,136.12,136.29,134.76,136.01,325200.0
2019-09-24,136.43,137.93,135.29,135.62,445600.0
2019-09-23,134.47,136.66,134.27,135.51,578800.0
2019-09-20,133.41,135.1,132.3,134.53,758600.0
2019-09-19,133.01,134.09,132.4,133.51,580000.0
2019-09-18,133.9,134.04,131.06,132.58,717100.0
2019-09-17,131.4,134.37,131.15,133.93,731100.0
2019-09-16,131.63,132.76,130.53,130.71,587900.0
2019-09-13,133.72,133.79,131.24,132.19,637600.0
2019-09-12,134.95,136.2,133.79,133.96,683800.0
2019-09-11,133.41,135.22,132.77,133.69,625600.0
2019-09-10,134.1,134.72,130.75,134.36,632200.0
2019-09-09,140.07,140.07,134.86,135.11,625700.0
2019-09-06,140.7,141.25,139.6,140.3,431100.0
2019-09-05,139.21,140.6,138.08,140.33,476600.0
2019-09-04,138.6,138.99,137.18,137.83,378700.0
2019-09-03,138.11,138.55,136.57,137.77,411400.0
2019-08-30,139.21,139.76,137.47,139.3,619600.0
2019-08-29,138.0,138.81,136.91,138.38,383700.0
2019-08-28,135.63,137.12,135.63,137.03,354700.0
