,open,high,low,close,volume
2019-10-25,174.99,177.82,173.83,177.38,619956.0
2019-10-24,173.24,174.45,171.87,173.63,551600.0
2019-10-23,171.68,173.99,170.32,172.24,760400.0
2019-10-22,171.38,173.52,169.81,170.98,811300.0
2019-10-21,169.86,171.74,169.75,171.62,533800.0
2019-10-18,166.64,169.76,166.48,169.19,971700.0
2019-10-17,166.64,169.09,166.03,166.36,691100.0
2019-10-16,166.32,167.82,164.86,164.95,780200.0
2019-10-15,164.7,168.3,163.93,167.37,875700.0
2019-10-14,162.4,164.69,160.69,164.13,469700.0
2019-10-11,158.07,166.26,158.07,164.1,1504600.0
2019-10-10,153.57,156.56,152.61,154.8,667900.0
2019-10-09,154.99,154.99,152.96,153.91,760200.0
2019-10-08,154.8,155.29,152.67,153.28,593700.0
2019-10-07,159.23,159.39,156.82,156.94,664900.0
2019-10-04,158.41,159.43,156.89,159.37,486800.0
2019-10-03,155.1,158.48,153.06,158.37,815000.0
2019-10-02,160.59,160.59,153.79,155.83,1651600.0
2019-10-01,166.37,167.94,162.08,162.29,959500.0
2019-09-30,162.0,165.2,160.01,164.8,1149700.0
2019-09-27,164.79,166.49,163.0,166.25,757700.0
2019-09-26,162.23,164.91,162.23,163.49,986800.0
2019-09-25,160.73,163.03,158.59,162.42,888000.0
2019-09-24,164.37,164.68,160.62,161.14,1241300.0
2019-09-23,160.95,164.79,160.02,164.17,1009700.0
2019-09-20,164.24,165.02,161.83,162.06,1625100.0
2019-09-19,163.67,165.12,162.96,163.01,1044200.0
2019-09-18,163.04,164.5,161.5,163.58,1203100.0
2019-09-17,164.41,164.79,161.74,164.06,791000.0
2019-09-16,166.08,167.15,164.84,165.8,1150100.0
2019-09-13,167.58,170.1,165.91,166.75,997800.0
2019-09-12,165.0,167.74,163.51,166.13,1071000.0
2019-09-11,161.77,163.87,160.04,163.78,917600.0
2019-09-10,161.97,163.87,160.45,163.87,857200.0
2019-09-09,162.01,163.42,161.4,161.99,852700.0
2019-09-06,158.66,161.7,157.86,161.04,1034600.0
2019-09-05,153.13,160.11,152.84,158.7,1086300.0
2019-09-04,150.1,150.65,148.83,149.83,665100.0
2019-09-03,150.95,151.0,145.93,148.23,722400.0
2019-08-30,152.89,153.7,152.53,152.79,728200.0
2019-08-29,149.92,151.79,149.92,151.24,630300.0
2019-08-28,145.65,148.28,144.66,147.89,547600.0
2019-08-27,146.0,146.75,145.06,146.25,582700.0
2019-08-26,148.88,150.31,143.91,144.55,1258500.0
2019-08-23,151.21,152.07,146.92,147.87,793500.0
2019-08-22,152.51,153.43,150.72,152.51,504600.0
2019-08-21,153.02,153.36,151.08,151.88,433600.0
2019-08-20,152.99,152.99,150.4,150.7,512300.0
2019-08-19,152.86,153.54,151.54,153.24,621400.0
2019-08-16,147.32,150.66,145.17,150.31,853100.0
2019-08-15,147.34,147.34,145.17,145.93,782700.0
2019-08-14,150.0,150.52,146.62,146.92,931800.0
2019-08-13,149.4836,155.92,149.19,153.04,1001700.0
2019-08-12,152.7237,153.01,149.48,149.9,769800.0
2019-08-09,154.35,154.989,152.385,153.49,851800.0
2019-08-08,153.0637,156.64,152.83,156.39,1159400.0
2019-08-07,150.3,152.06,148.14,151.93,1052300.0
2019-08-06,151.83,153.33,151.1,153.13,928900.0
2019-08-05,151.01,152.26,149.39,150.8,1243800.0
2019-08-02,155.07,155.47,152.7163,153.8,1118700.0
2019-08-01,160.33,162.83,154.9601,155.76,1557400.0
2019-07-31,165.3189,165.33,158.85,160.78,1270500.0
2019-07-30,161.93,165.75,161.31,165.39,1157900.0
2019-07-29,164.47,165.3,162.51,163.25,1096700.0
2019-07-26,167.26,167.45,163.51,164.62,1087700.0
2019-07-25,160.55,169.0479,160.41,167.22,2440000.0
2019-07-24,165.3,169.77,163.31,168.88,1911200.0
2019-07-23,160.2527,167.05,160.01,166.72,1253800.0
2019-07-22,159.99,161.81,159.1,159.31,770100.0
2019-07-19,159.54,161.66,158.99,159.95,1077500.0
2019-07-18,159.47,160.22,158.0,159.15,668900.0
2019-07-17,161.99,162.43,159.56,159.94,1061000.0
2019-07-16,158.93,165.46,157.59,162.57,1842800.0
2019-07-15,160.35,161.03,158.8,159.29,903900.0
2019-07-12,157.25,161.03,156.25,160.36,1107700.0
2019-07-11,154.11,156.32,152.38,156.2,1073200.0
2019-07-10,155.95,156.64,152.92,153.57,1177900.0
2019-07-09,156.12,157.28,154.63,155.15,1164700.0
2019-07-08,158.59,160.6,157.39,157.44,780900.0
2019-07-05,162.59,162.59,156.939,159.39,1047300.0
2019-07-03,163.0,164.06,162.725,164.06,423900.0
2019-07-02,164.26,164.52,161.45,162.86,687100.0
2019-07-01,166.05,166.87,163.44,164.6,714500.0
2019-06-28,162.74,164.62,162.35,163.83,955500.0
2019-06-27,162.37,164.15,161.36,162.13,432500.0
2019-06-26,161.8275,163.09,161.38,162.37,571100.0
2019-06-25,162.94,163.33,160.94,161.16,567200.0
2019-06-24,162.08,163.8,161.24,162.17,443200.0
2019-06-21,163.52,164.07,161.65,162.72,1051800.0
2019-06-20,161.0781,163.95,159.555,163.05,988700.0
2019-06-19,159.4708,159.68,156.92,158.7,777500.0
2019-06-18,157.27,160.592,156.19,158.77,846700.0
2019-06-17,156.62,157.97,155.66,155.85,577300.0
2019-06-14,158.36,158.91,155.35,156.53,478200.0
2019-06-13,159.01,159.34,157.87,159.31,374200.0
2019-06-12,158.85,159.505,156.78,157.98,591700.0
2019-06-11,161.02,161.43,158.85,159.08,1018000.0
2019-06-10,158.06,160.5,158.06,158.81,798200.0
2019-06-07,157.31,158.11,155.29,157.13,905700.0
2019-06-06,157.53,158.5,154.4,156.18,825200.0
