,open,high,low,close,volume
2019-10-25,110.1,111.61,109.655,110.69,893699.0
2019-10-24,110.22,110.69,109.18,110.44,1362700.0
2019-10-23,111.98,112.22,109.67,109.89,1484700.0
2019-10-22,111.28,112.98,111.03,111.9,1377300.0
2019-10-21,111.49,113.22,109.07,110.98,2832700.0
2019-10-18,112.81,114.83,112.5,114.13,1595700.0
2019-10-17,112.98,113.69,112.59,113.03,1025400.0
2019-10-16,111.95,112.68,111.5,112.26,1824700.0
2019-10-15,111.65,112.5,111.64,111.94,1629500.0
2019-10-14,112.43,112.84,111.33,111.4,852900.0
2019-10-11,112.0,113.51,111.66,112.46,1962300.0
2019-10-10,108.87,111.19,108.52,111.01,1461300.0
2019-10-09,108.5,109.43,108.03,109.17,1458400.0
2019-10-08,107.46,109.31,106.8,107.88,1695300.0
2019-10-07,108.21,108.97,107.75,108.14,1618300.0
2019-10-04,107.32,109.27,107.26,108.93,1570200.0
2019-10-03,107.05,107.24,104.82,106.93,1338800.0
2019-10-02,108.87,108.89,106.94,107.53,1724600.0
2019-10-01,110.37,111.42,109.24,109.3,1975400.0
2019-09-30,109.14,110.39,109.14,109.85,1582800.0
2019-09-27,108.61,109.43,108.14,109.05,1944600.0
2019-09-26,108.71,109.0,106.99,107.85,1390000.0
2019-09-25,107.69,109.13,107.69,108.24,1721200.0
2019-09-24,108.3,109.12,106.77,107.64,2176400.0
2019-09-23,105.36,107.31,105.28,107.03,2167000.0
2019-09-20,108.57,109.54,104.57,104.75,4592900.0
2019-09-19,108.81,109.64,108.39,108.61,1206900.0
2019-09-18,108.09,108.81,107.32,108.71,1984600.0
2019-09-17,107.81,108.98,107.4,108.14,1857100.0
2019-09-16,108.58,108.58,107.5,107.59,1518600.0
2019-09-13,109.61,110.26,109.02,109.13,1576100.0
2019-09-12,109.26,110.88,109.0,109.36,2242100.0
2019-09-11,107.38,108.6,106.67,108.31,2020600.0
2019-09-10,108.55,108.69,106.43,108.16,2081500.0
2019-09-09,109.31,109.69,107.68,108.49,1443300.0
2019-09-06,109.65,110.67,109.04,109.18,1436400.0
2019-09-05,107.0,109.48,106.74,109.36,2440900.0
2019-09-04,105.48,106.0,104.81,105.97,1612200.0
2019-09-03,105.17,106.09,104.07,105.02,2095800.0
2019-08-30,107.43,108.48,105.78,106.01,2290600.0
2019-08-29,105.99,107.56,105.99,107.11,1927100.0
2019-08-28,102.3,104.82,102.0,104.56,2095100.0
2019-08-27,105.11,105.13,102.54,102.58,2355000.0
2019-08-26,103.35,104.76,103.3,104.56,1787500.0
2019-08-23,105.64,106.37,102.41,102.95,3917000.0
2019-08-22,106.87,107.94,105.7,107.4,3922400.0
2019-08-21,105.71,106.62,104.26,105.7,1686300.0
2019-08-20,103.02,105.08,102.6,104.19,2308000.0
2019-08-19,104.89,105.4,103.33,104.09,1721500.0
2019-08-16,102.58,103.65,102.27,103.18,1900300.0
2019-08-15,103.19,103.45,100.68,101.41,1979500.0
2019-08-14,104.54,104.54,102.07,102.17,2413600.0
2019-08-13,103.24,108.04,102.26,106.44,1669000.0
2019-08-12,105.18,105.45,102.92,103.28,1743900.0
2019-08-09,106.9,107.1212,104.96,105.5,1549800.0
2019-08-08,104.68,107.233,104.47,107.04,1861700.0
2019-08-07,102.07,104.22,101.5517,103.91,1767600.0
2019-08-06,101.56,103.61,101.06,103.38,1664400.0
2019-08-05,102.32,103.07,100.16,101.22,2184900.0
2019-08-02,103.53,104.45,102.94,103.49,1563800.0
2019-08-01,106.69,107.08,102.49,103.57,1588900.0
2019-07-31,106.19,107.04,104.42,106.03,1485000.0
2019-07-30,106.15,106.48,105.47,106.34,1216200.0
2019-07-29,106.55,106.92,106.0,106.51,1060900.0
2019-07-26,105.85,107.06,105.09,106.83,1261500.0
2019-07-25,104.28,105.99,104.28,105.52,1705200.0
2019-07-24,105.94,106.61,105.5,105.95,1578800.0
2019-07-23,106.11,106.6237,105.32,106.11,1303600.0
2019-07-22,107.06,107.48,105.66,105.94,1905700.0
2019-07-19,107.77,108.2,106.51,106.61,2738200.0
2019-07-18,107.38,107.63,106.37,107.04,2218800.0
2019-07-17,106.9036,107.93,106.57,107.29,1774200.0
2019-07-16,106.55,107.45,106.0,106.81,2025100.0
2019-07-15,106.17,107.24,104.94,106.35,2448500.0
2019-07-12,103.51,106.78,103.0706,106.02,3693700.0
2019-07-11,103.0,103.256,102.37,102.9,1722900.0
2019-07-10,102.59,102.96,101.38,102.61,1540800.0
