,open,high,low,close,volume
2019-10-25,3.75,4.2565,3.75,4.22,19339623.0
2019-10-24,3.95,3.96,3.49,3.81,18459600.0
2019-10-23,3.73,4.0,3.64,3.84,11664300.0
2019-10-22,3.8,3.86,3.61,3.75,9983100.0
2019-10-21,3.77,3.84,3.59,3.81,9161100.0
2019-10-18,3.78,3.9,3.64,3.68,8912800.0
2019-10-17,3.6,3.81,3.49,3.8,7979900.0
2019-10-16,3.52,3.75,3.52,3.59,13558600.0
2019-10-15,3.43,3.68,3.33,3.5,8121900.0
2019-10-14,3.6,3.6,3.32,3.47,7671200.0
2019-10-11,3.5,3.67,3.5,3.59,8692600.0
2019-10-10,3.39,3.49,3.28,3.42,7627600.0
2019-10-09,3.39,3.46,3.26,3.33,8691300.0
2019-10-08,3.57,3.57,3.32,3.34,12926200.0
2019-10-07,3.64,3.74,3.52,3.63,8644600.0
2019-10-04,3.52,3.7,3.42,3.66,11544700.0
2019-10-03,3.42,3.67,3.33,3.62,14534700.0
2019-10-02,3.52,3.72,3.4,3.42,14789000.0
2019-10-01,3.82,4.0,3.46,3.52,15611600.0
2019-09-30,3.92,4.03,3.74,3.82,11748100.0
2019-09-27,4.02,4.14,3.83,4.02,13304300.0
2019-09-26,4.35,4.42,4.0,4.1,11008000.0
2019-09-25,4.29,4.47,4.21,4.44,7165400.0
2019-09-24,4.62,4.65,4.29,4.4,12761800.0
2019-09-23,4.69,4.79,4.42,4.65,14666800.0
2019-09-20,4.7,4.86,4.57,4.74,47868600.0
2019-09-19,5.05,5.17,4.61,4.66,17869500.0
2019-09-18,5.09,5.27,4.96,5.0,16588600.0
2019-09-17,5.05,5.61,4.88,5.18,25060200.0
2019-09-16,5.26,5.76,4.75,5.17,28607400.0
2019-09-13,4.42,4.7,4.26,4.63,12824600.0
2019-09-12,4.54,4.74,4.36,4.38,13359900.0
2019-09-11,4.55,5.08,4.51,4.72,17649000.0
2019-09-10,4.79,5.19,4.47,4.51,20921900.0
2019-09-09,4.01,4.62,4.0,4.58,22531200.0
2019-09-06,4.1,4.15,3.8,3.93,16308200.0
2019-09-05,4.0,4.36,3.98,4.17,11204600.0
2019-09-04,3.78,4.0,3.7,3.96,12137800.0
2019-09-03,3.53,3.73,3.36,3.69,8409600.0
2019-08-30,3.74,3.78,3.39,3.56,8504600.0
2019-08-29,3.55,3.86,3.52,3.77,13119000.0
2019-08-28,3.42,3.64,3.41,3.52,12060800.0
2019-08-27,3.6,3.63,3.39,3.39,12506500.0
2019-08-26,3.78,3.85,3.57,3.62,14270300.0
2019-08-23,3.87,3.93,3.73,3.76,14135600.0
2019-08-22,4.13,4.3,3.93,3.94,10445500.0
2019-08-21,4.31,4.38,4.11,4.11,7565600.0
2019-08-20,4.51,4.64,4.17,4.28,8542000.0
2019-08-19,4.19,4.54,4.19,4.53,12232100.0
2019-08-16,4.03,4.23,3.7602,4.1,10994100.0
2019-08-15,4.16,4.2299,4.0,4.03,9733200.0
2019-08-14,4.27,4.28,3.96,4.15,10631900.0
2019-08-13,4.35,4.56,4.27,4.34,9389600.0
2019-08-12,4.35,4.45,4.19,4.44,7016800.0
2019-08-09,4.47,4.625,4.29,4.34,9088600.0
2019-08-08,4.51,4.61,4.26,4.45,10809000.0
2019-08-07,4.22,4.52,4.09,4.42,13102900.0
2019-08-06,4.67,4.74,4.24,4.31,13534400.0
2019-08-05,4.83,4.83,4.57,4.64,16714000.0
2019-08-02,5.1,5.23,4.9,5.0,8473000.0
2019-08-01,5.59,5.62,5.04,5.15,14340000.0
2019-07-31,5.6,5.94,5.53,5.69,18257800.0
2019-07-30,4.73,5.59,4.57,5.57,26460100.0
2019-07-29,5.15,5.16,4.66,4.78,21228100.0
2019-07-26,5.23,5.3298,4.92,5.17,15529400.0
2019-07-25,5.63,5.67,5.12,5.13,11490800.0
2019-07-24,5.41,5.73,5.41,5.56,10731900.0
2019-07-23,5.46,5.58,5.32,5.48,10334400.0
2019-07-22,5.33,5.5,5.25,5.46,10212800.0
2019-07-19,5.59,5.65,5.19,5.29,23033200.0
2019-07-18,5.19,5.28,4.96,5.14,16657000.0
2019-07-17,5.58,5.6102,5.19,5.23,16588900.0
2019-07-16,5.95,5.97,5.44,5.59,18828700.0
2019-07-15,6.19,6.28,5.99,6.01,8685400.0
2019-07-12,6.12,6.33,6.05,6.28,7308200.0
2019-07-11,6.41,6.53,6.09,6.11,7711100.0
2019-07-10,6.29,6.47,6.19,6.42,8248900.0
2019-07-09,6.1,6.25,5.98,6.22,10063500.0
2019-07-08,6.25,6.36,6.11,6.13,7045900.0
2019-07-05,6.1304,6.4,6.109,6.29,11876100.0
2019-07-03,6.22,6.25,6.03,6.1,5873800.0
2019-07-02,6.75,6.75,6.17,6.18,10938700.0
2019-07-01,7.09,7.137,6.67,6.75,8574600.0
2019-06-28,6.92,7.1,6.87,6.98,6689600.0
2019-06-27,6.89,7.07,6.78,6.89,5322100.0
2019-06-26,6.78,7.03,6.73,6.91,5274600.0
2019-06-25,7.04,7.08,6.74,6.76,8571700.0
2019-06-24,7.03,7.23,6.99,7.09,8525900.0
2019-06-21,6.88,7.05,6.82,7.03,10565700.0
2019-06-20,6.97,7.295,6.81,6.86,12896400.0
2019-06-19,6.83,7.005,6.691,6.8,11639100.0
2019-06-18,6.71,6.97,6.71,6.83,5441100.0
2019-06-17,6.5,6.82,6.425,6.69,7208800.0
2019-06-14,6.69,6.79,6.51,6.53,9075600.0
2019-06-13,6.75,6.79,6.59,6.74,7084900.0
2019-06-12,6.78,6.8,6.525,6.58,10487100.0
2019-06-11,7.15,7.16,6.82,6.85,11597900.0
2019-06-10,7.29,7.49,7.0296,7.09,9542400.0
2019-06-07,7.42,7.51,7.09,7.29,11526600.0
