,open,high,low,close,volume
2019-10-25,246.42,246.42,240.09,244.15,404732.0
2019-10-24,247.72,248.79,245.23,246.56,728200.0
2019-10-23,245.65,248.41,244.43,247.98,762900.0
2019-10-22,247.31,250.85,244.84,244.98,788300.0
2019-10-21,244.47,246.08,242.08,245.83,506600.0
2019-10-18,239.47,246.3,239.47,244.1,931500.0
2019-10-17,233.13,241.37,233.13,240.04,803300.0
2019-10-16,238.77,238.98,229.29,232.94,839700.0
2019-10-15,240.18,240.76,236.2,239.01,352900.0
2019-10-14,241.96,243.97,239.12,240.86,298400.0
2019-10-11,242.72,244.76,241.18,241.47,504500.0
2019-10-10,237.16,243.16,235.16,242.82,599200.0
2019-10-09,237.99,238.91,236.42,238.64,375900.0
2019-10-08,236.27,240.31,234.68,237.16,740500.0
2019-10-07,235.92,237.08,232.78,236.35,414700.0
2019-10-04,237.5,239.98,236.4,236.58,449100.0
2019-10-03,233.42,238.42,233.34,237.28,818500.0
2019-10-02,236.1,237.53,232.39,233.78,622900.0
2019-10-01,240.84,241.86,236.96,237.08,704400.0
2019-09-30,242.41,242.41,238.05,241.15,806900.0
2019-09-27,244.87,246.4,234.83,236.83,1157300.0
2019-09-26,246.45,248.2,245.58,245.97,1075900.0
2019-09-25,255.72,255.91,245.02,246.01,1238500.0
2019-09-24,256.48,259.0,254.34,254.77,781500.0
2019-09-23,256.89,259.65,255.46,255.57,517400.0
2019-09-20,252.44,257.51,250.74,256.77,941900.0
2019-09-19,250.99,252.5,249.08,251.21,737500.0
2019-09-18,252.7,254.98,249.03,253.39,647600.0
2019-09-17,248.07,253.73,246.61,252.99,654800.0
2019-09-16,243.56,246.73,242.51,246.29,512900.0
2019-09-13,245.05,246.07,241.12,243.52,742500.0
2019-09-12,243.32,248.34,243.1,245.9,858200.0
2019-09-11,239.67,244.5,237.57,242.24,1059800.0
2019-09-10,250.35,250.5,238.64,241.09,1373200.0
2019-09-09,261.76,262.38,251.61,252.0,869100.0
2019-09-06,263.7,264.72,262.1,262.38,413200.0
2019-09-05,270.0,270.42,262.85,263.2,632200.0
2019-09-04,266.9,269.65,265.59,269.28,610700.0
2019-09-03,262.87,266.35,261.72,265.87,552100.0
2019-08-30,264.56,264.7,261.63,262.43,497800.0
2019-08-29,265.0,265.0,261.34,262.52,421100.0
2019-08-28,264.01,266.13,261.34,263.15,409300.0
2019-08-27,266.3,266.58,264.26,264.84,464600.0
2019-08-26,261.35,265.0,260.0,264.99,480400.0
2019-08-23,261.69,263.91,258.77,260.8,713500.0
2019-08-22,260.71,261.15,257.5,260.53,414700.0
2019-08-21,260.65,261.85,259.48,260.42,384700.0
2019-08-20,261.22,262.95,258.8,260.05,342600.0
2019-08-19,261.0,263.04,258.31,260.84,642700.0
2019-08-16,260.87,261.72,257.78,260.29,1251800.0
2019-08-15,255.51,260.64,254.0195,259.85,457900.0
2019-08-14,258.81,259.74,254.68,254.75,676700.0
2019-08-13,255.61,260.5,254.03,259.77,623100.0
2019-08-12,254.0,256.0,253.39,254.84,385500.0
2019-08-09,252.48,254.68,250.75,254.29,315100.0
2019-08-08,248.85,252.735,247.39,252.56,468200.0
2019-08-07,247.35,249.71,243.94,247.73,532800.0
2019-08-06,245.56,248.68,244.73,247.98,569200.0
2019-08-05,246.05,249.16,241.01,244.98,530600.0
2019-08-02,247.58,249.96,244.93,248.62,708900.0
2019-08-01,245.0,247.94,239.6454,246.79,723800.0
2019-07-31,248.6597,248.66,243.16,245.41,814500.0
2019-07-30,248.86,249.05,238.18,248.43,1014600.0
2019-07-29,236.99,238.84,235.4016,236.98,901500.0
2019-07-26,233.74,237.09,232.98,236.82,412800.0
2019-07-25,234.05,234.46,231.58,233.79,340300.0
2019-07-24,232.71,234.64,227.89,234.08,602400.0
2019-07-23,230.8386,233.25,229.66,233.17,393700.0
2019-07-22,228.86,232.04,227.61,230.3,578600.0
2019-07-19,231.84,233.51,228.18,228.4,445200.0
2019-07-18,229.43,232.83,228.04,231.8,845300.0
2019-07-17,233.53,234.65,230.06,231.85,432500.0
2019-07-16,235.22,235.67,231.84,232.31,465500.0
2019-07-15,233.67,235.53,232.94,235.27,538900.0
2019-07-12,236.31,236.42,231.79,233.97,374900.0
2019-07-11,235.65,236.9,233.54,235.18,429600.0
2019-07-10,235.21,236.48,233.77,235.97,509100.0
2019-07-09,233.23,235.33,233.22,234.75,564700.0
2019-07-08,231.0,234.67,231.0,233.42,360200.0
2019-07-05,232.58,234.015,229.03,232.61,381100.0
2019-07-03,230.52,234.82,230.3,234.29,313500.0
2019-07-02,226.26,230.7242,225.76,230.42,639300.0
2019-07-01,227.48,227.48,221.1,224.99,616100.0
2019-06-28,225.01,225.01,222.6,224.84,832700.0
2019-06-27,223.06,225.8517,223.06,224.83,364400.0
2019-06-26,227.88,227.88,222.48,223.5,607800.0
2019-06-25,233.19,233.8402,228.08,228.33,437800.0
2019-06-24,232.73,235.0,230.8,232.52,441200.0
2019-06-21,232.25,233.3,230.52,231.91,837600.0
2019-06-20,234.9,236.56,232.8199,233.68,524100.0
2019-06-19,229.79,234.33,229.61,233.48,596100.0
2019-06-18,228.75,230.945,228.51,229.55,782500.0
2019-06-17,226.8,228.73,225.68,227.75,926300.0
2019-06-14,225.07,227.98,223.638,226.5,788600.0
2019-06-13,226.4906,227.47,223.37,224.5,855100.0
2019-06-12,223.17,227.0,223.17,226.85,791600.0
2019-06-11,222.33,223.6,219.89,223.27,410800.0
2019-06-10,220.16,221.75,217.9656,221.54,460900.0
2019-06-07,221.99,223.31,220.4,220.5,462700.0
2019-06-06,221.0,222.29,218.505,221.48,465400.0
