,open,high,low,close,volume
2019-10-25,108.61,108.98,107.28,108.28,571097.0
2019-10-24,107.84,108.89,107.47,108.37,846400.0
2019-10-23,106.58,107.97,106.56,107.81,641200.0
2019-10-22,108.28,108.49,106.47,106.76,624200.0
2019-10-21,107.71,108.58,107.55,108.27,376200.0
2019-10-18,108.16,108.43,107.62,107.62,479700.0
2019-10-17,107.65,108.84,107.07,108.29,526800.0
2019-10-16,107.65,108.45,107.11,107.55,583500.0
2019-10-15,106.91,107.57,106.43,107.33,481500.0
2019-10-14,107.47,107.47,106.09,106.9,434000.0
2019-10-11,107.46,107.77,106.28,107.02,660900.0
2019-10-10,105.98,107.42,105.79,107.02,431000.0
2019-10-09,106.1,106.51,105.26,106.28,577200.0
2019-10-08,107.11,107.11,105.82,105.95,412100.0
2019-10-07,107.65,108.75,107.11,107.36,547000.0
2019-10-04,106.58,107.72,105.88,107.68,491700.0
2019-10-03,107.0,107.38,105.9,106.33,671700.0
2019-10-02,107.62,107.64,105.69,106.79,574000.0
2019-10-01,110.05,110.42,107.79,107.96,592500.0
2019-09-30,109.23,110.49,109.07,110.02,576200.0
2019-09-27,109.29,109.3,107.94,109.04,443300.0
2019-09-26,108.6,109.47,107.75,109.15,459900.0
2019-09-25,108.03,108.57,107.38,107.97,546900.0
2019-09-24,107.26,107.88,106.81,107.76,628100.0
2019-09-23,108.0,108.66,106.91,107.03,472400.0
2019-09-20,108.01,108.36,107.06,107.81,1000700.0
2019-09-19,108.75,108.85,107.53,107.64,690500.0
2019-09-18,109.16,109.81,108.13,108.83,919600.0
2019-09-17,106.9,108.74,106.73,108.72,689200.0
2019-09-16,106.69,108.15,106.38,107.18,572100.0
2019-09-13,105.21,106.97,105.21,106.51,796900.0
2019-09-12,108.7,108.84,105.77,105.85,510600.0
2019-09-11,106.19,108.32,105.87,108.2,913900.0
2019-09-10,104.82,107.4,104.49,106.69,1142000.0
2019-09-09,104.88,105.47,103.93,105.12,754000.0
2019-09-06,105.11,105.99,105.1,105.21,881500.0
2019-09-05,106.15,106.39,104.62,104.68,1005900.0
2019-09-04,107.0,107.81,105.63,106.28,918400.0
2019-09-03,104.81,107.04,103.33,106.98,1219200.0
2019-08-30,103.98,105.95,103.78,105.16,1209000.0
2019-08-29,105.23,105.65,102.38,102.83,1359000.0
2019-08-28,102.78,105.86,102.59,104.37,1772500.0
2019-08-27,107.0,107.65,101.75,103.69,5696800.0
2019-08-26,111.67,113.27,111.67,112.93,1194900.0
2019-08-23,113.55,114.0,110.71,111.2,837000.0
2019-08-22,113.39,114.81,112.59,113.9,625100.0
2019-08-21,114.82,115.11,112.68,113.34,742200.0
2019-08-20,116.12,116.2,114.44,114.58,836900.0
2019-08-19,114.62,116.37,114.44,116.26,787400.0
2019-08-16,114.13,114.6681,112.42,114.35,583800.0
2019-08-15,112.84,113.95,112.42,113.53,505700.0
2019-08-14,114.0,115.14,112.93,113.36,892700.0
2019-08-13,113.13,115.185,113.0,114.0,787700.0
2019-08-12,111.8,113.7,111.42,113.52,637400.0
2019-08-09,113.83,114.05,111.28,111.84,675500.0
2019-08-08,110.66,113.62,110.56,113.54,692200.0
2019-08-07,110.5389,111.73,109.01,111.42,779400.0
2019-08-06,110.35,111.3,109.07,110.67,892200.0
2019-08-05,112.17,113.08,109.41,110.37,796300.0
2019-08-02,112.2,112.83,111.56,112.15,625300.0
2019-08-01,111.71,114.03,111.52,111.73,893100.0
2019-07-31,113.1,113.71,110.08,111.19,1001100.0
2019-07-30,114.6,115.45,112.58,113.13,659400.0
2019-07-29,114.36,114.74,112.81,114.35,703100.0
2019-07-26,113.28,114.55,113.02,114.26,596800.0
2019-07-25,112.19,113.78,111.55,113.05,552200.0
2019-07-24,112.88,113.34,111.82,112.1,687600.0
2019-07-23,111.98,112.86,111.18,112.64,707100.0
2019-07-22,114.09,114.26,111.76,112.12,772000.0
2019-07-19,115.9843,116.86,114.28,114.3,880600.0
2019-07-18,116.33,116.34,115.12,115.89,554500.0
2019-07-17,115.44,116.6,114.97,116.01,633100.0
2019-07-16,115.16,115.97,114.96,115.46,697500.0
2019-07-15,114.27,115.96,113.91,115.09,580000.0
2019-07-12,114.61,114.86,113.81,114.2,1021200.0
2019-07-11,117.63,117.66,114.09,114.51,1313600.0
2019-07-10,118.69,119.1,117.5,118.14,897100.0
2019-07-09,119.09,119.27,117.84,118.77,1102300.0
2019-07-08,119.8,120.2173,118.68,119.21,716300.0
2019-07-05,119.39,119.58,117.6,119.49,674100.0
2019-07-03,118.0429,120.38,117.81,119.73,714300.0
2019-07-02,116.6,117.6,115.45,117.58,1111700.0
2019-07-01,115.92,117.66,115.55,116.51,941300.0
2019-06-28,117.02,117.545,114.76,115.19,1340900.0
2019-06-27,115.41,117.18,114.45,116.89,1101500.0
2019-06-26,119.3,119.71,115.76,116.0,1595800.0
2019-06-25,121.41,121.41,119.9,120.57,974700.0
2019-06-24,122.03,122.34,121.15,121.31,829400.0
2019-06-21,121.35,122.71,120.72,121.52,1807100.0
2019-06-20,120.82,121.26,119.5015,121.1,739100.0
2019-06-19,120.31,121.16,119.19,120.87,862600.0
2019-06-18,122.93,122.93,120.2,120.6,1153500.0
2019-06-17,123.342,123.75,122.01,122.4,639400.0
2019-06-14,123.54,124.36,123.205,123.31,502800.0
2019-06-13,123.73,124.685,122.675,123.51,604700.0
2019-06-12,123.54,124.58,123.24,123.86,754400.0
2019-06-11,122.71,124.27,122.355,123.11,888000.0
2019-06-10,124.39,125.07,122.24,122.64,775400.0
2019-06-07,122.33,124.91,121.76,124.53,1124900.0
2019-06-06,119.92,125.591,117.65,122.37,1986800.0
