,open,high,low,close,volume
2019-10-25,35.0,35.31,34.59,35.09,11155680.0
2019-10-24,35.4,35.52,34.28,35.11,11551700.0
2019-10-23,34.57,35.65,34.22,35.33,12862300.0
2019-10-22,33.76,35.19,33.46,34.82,17598700.0
2019-10-21,32.22,33.8,32.22,33.59,16441100.0
2019-10-18,32.19,33.2,32.09,32.31,17218300.0
2019-10-17,32.22,32.31,31.77,31.89,15730800.0
2019-10-16,32.8,33.07,31.95,31.95,22004600.0
2019-10-15,32.47,33.51,32.36,32.81,8943600.0
2019-10-14,31.99,32.83,31.74,32.57,9294400.0
2019-10-11,31.5,32.92,31.27,32.48,12652600.0
2019-10-10,31.01,31.39,30.71,31.07,12784900.0
2019-10-09,30.94,31.16,30.72,30.9,12176900.0
2019-10-08,31.49,31.86,30.65,30.71,16807100.0
2019-10-07,32.11,32.62,31.79,31.8,15854500.0
2019-10-04,32.08,32.41,31.69,31.88,10554400.0
2019-10-03,31.59,32.31,31.46,32.05,11557200.0
2019-10-02,32.64,32.75,31.65,31.76,13468900.0
2019-10-01,34.36,34.57,32.67,32.7,12617900.0
2019-09-30,34.15,34.47,33.81,34.17,9583500.0
2019-09-27,34.26,34.93,34.11,34.33,9969900.0
2019-09-26,35.0,35.1,34.29,34.54,12359300.0
2019-09-25,35.3,35.55,34.83,35.24,11344800.0
2019-09-24,37.13,37.22,35.42,35.56,12212700.0
2019-09-23,36.81,37.5,36.6,37.33,5849400.0
2019-09-20,37.88,38.05,37.17,37.3,17917800.0
2019-09-19,38.5,38.58,37.64,37.76,6234900.0
2019-09-18,37.63,38.44,37.54,38.03,6949000.0
2019-09-17,38.92,38.97,37.51,38.17,13493400.0
2019-09-16,40.03,40.25,38.84,39.31,22533100.0
2019-09-13,37.43,38.08,36.8,37.33,8453300.0
2019-09-12,36.53,37.06,35.5,36.9,13089500.0
2019-09-11,37.64,38.83,37.08,37.32,17918600.0
2019-09-10,37.05,38.39,36.83,37.46,19638200.0
2019-09-09,34.5,36.46,34.33,36.23,13461600.0
2019-09-06,33.8,34.48,33.26,34.2,11976700.0
2019-09-05,33.37,34.8,33.28,34.06,12117900.0
2019-09-04,32.28,33.43,31.94,32.98,11018400.0
2019-09-03,31.18,31.86,31.11,31.72,9366900.0
2019-08-30,32.5,33.12,32.13,32.43,12443800.0
2019-08-29,31.97,32.69,31.84,32.26,12614300.0
2019-08-28,31.38,32.1,31.03,31.62,11557000.0
2019-08-27,31.93,32.01,31.15,31.25,10000600.0
2019-08-26,32.51,32.64,31.34,31.59,11611200.0
2019-08-23,33.15,33.33,31.9,32.03,13952100.0
2019-08-22,33.96,34.37,33.67,33.71,6975600.0
2019-08-21,34.24,34.43,33.62,33.69,6427200.0
2019-08-20,33.81,34.17,33.54,33.9,7770100.0
2019-08-19,33.53,34.32,33.44,34.1,11073600.0
2019-08-16,31.64,32.78,31.11,32.72,13561300.0
2019-08-15,32.1,32.15,31.11,31.65,20155700.0
2019-08-14,33.77,33.81,32.2,32.34,12761500.0
2019-08-13,34.1,35.76,33.86,34.63,11075400.0
2019-08-12,34.37,34.53,34.0222,34.27,8030000.0
2019-08-09,35.21,35.29,34.25,34.53,7866600.0
2019-08-08,34.94,35.225,34.36,35.21,10805500.0
2019-08-07,34.62,35.01,33.94,34.74,12162700.0
2019-08-06,36.13,36.39,34.71,35.46,11639900.0
2019-08-05,36.69,36.8,35.9,35.99,10771600.0
2019-08-02,38.512,38.73,37.19,37.42,8738200.0
2019-08-01,39.38,39.45,38.07,38.51,13280000.0
2019-07-31,39.67,40.61,39.31,39.97,10673300.0
2019-07-30,38.99,39.76,38.59,39.55,9256500.0
2019-07-29,39.99,40.0,38.65,39.21,6549500.0
2019-07-26,39.9,40.31,39.68,40.01,6731100.0
2019-07-25,40.59,40.59,39.5623,39.95,7701100.0
2019-07-24,39.64,40.69,39.5809,40.33,10763300.0
2019-07-23,39.55,40.17,39.25,39.75,10610500.0
2019-07-22,39.12,39.76,38.62,39.49,10961200.0
2019-07-19,39.34,39.34,37.29,38.71,12811700.0
2019-07-18,38.19,38.78,37.96,38.78,13563000.0
2019-07-17,39.82,40.07,38.55,38.63,12523600.0
2019-07-16,40.35,40.76,39.88,40.07,9257000.0
2019-07-15,40.85,41.0,40.34,40.47,6903800.0
2019-07-12,41.11,41.4,40.7,40.81,6788100.0
2019-07-11,40.6,41.0,40.07,40.97,9695200.0
2019-07-10,40.6068,40.89,40.29,40.62,7003300.0
2019-07-09,39.78,40.22,39.5491,40.2,8699200.0
2019-07-08,39.43,40.1,39.2802,39.89,10899100.0
2019-07-05,39.2,39.6,39.08,39.57,5885500.0
2019-07-03,39.14,39.51,38.903,39.49,4954500.0
2019-07-02,39.44,39.44,38.63,39.18,8732500.0
2019-07-01,40.42,40.63,39.2612,39.32,13048500.0
2019-06-28,39.23,39.78,39.19,39.74,9742700.0
2019-06-27,39.18,39.3532,38.85,39.11,6417500.0
