,open,high,low,close,volume
2019-10-25,53.14,53.81,52.9263,53.76,539256.0
2019-10-24,53.74,53.78,52.92,53.09,765700.0
2019-10-23,53.72,53.95,53.43,53.65,640600.0
2019-10-22,54.08,54.42,53.64,53.77,1083100.0
2019-10-21,54.27,54.59,53.73,53.96,391300.0
2019-10-18,53.27,54.37,53.0,54.14,666900.0
2019-10-17,52.26,53.45,52.12,53.25,677800.0
2019-10-16,51.05,52.45,50.74,51.94,438800.0
2019-10-15,50.9,51.65,50.42,50.98,459400.0
2019-10-14,50.77,51.0,50.09,50.79,370700.0
2019-10-11,50.2,51.5,50.1,50.99,493400.0
2019-10-10,48.96,49.61,48.62,49.5,539100.0
2019-10-09,48.66,49.29,48.58,49.19,621000.0
2019-10-08,48.53,48.89,47.71,48.47,752400.0
2019-10-07,49.53,49.77,48.92,49.01,475500.0
2019-10-04,49.42,49.81,48.55,49.79,422200.0
2019-10-03,49.58,50.21,49.0,49.37,652300.0
2019-10-02,48.81,50.02,47.07,49.73,1996000.0
2019-10-01,51.17,51.49,49.47,49.56,727700.0
2019-09-30,49.34,51.22,49.22,50.93,707700.0
2019-09-27,48.76,49.57,48.69,49.12,1133000.0
2019-09-26,48.49,48.82,47.53,48.53,583100.0
2019-09-25,48.8,49.42,48.48,48.67,620900.0
2019-09-24,49.93,50.48,48.39,48.99,648600.0
2019-09-23,49.98,50.39,49.64,50.07,555400.0
2019-09-20,49.85,50.73,49.72,50.33,1208600.0
2019-09-19,50.65,51.24,49.75,49.87,664600.0
2019-09-18,50.58,50.94,50.07,50.62,697500.0
2019-09-17,51.81,52.08,50.12,50.62,668400.0
2019-09-16,50.93,52.34,50.54,52.14,818100.0
2019-09-13,52.95,53.1,50.71,50.99,1099200.0
2019-09-12,51.09,53.03,50.72,52.51,1627100.0
2019-09-11,49.06,51.26,48.26,51.12,1386900.0
2019-09-10,47.2,48.79,46.71,48.77,877700.0
2019-09-09,46.08,47.67,45.95,47.34,1080000.0
2019-09-06,46.45,47.06,45.68,45.98,869500.0
2019-09-05,47.21,47.21,46.27,46.39,694500.0
2019-09-04,45.17,46.72,45.07,46.68,571200.0
2019-09-03,44.52,45.07,44.36,44.51,789800.0
2019-08-30,45.38,45.75,44.44,44.89,761700.0
2019-08-29,45.62,46.08,44.67,44.95,917300.0
2019-08-28,43.95,45.2,43.48,45.16,959300.0
2019-08-27,43.79,44.18,42.78,44.07,1841600.0
2019-08-26,43.19,43.93,42.84,43.54,902300.0
2019-08-23,44.33,45.0,42.78,42.84,1519500.0
2019-08-22,44.99,45.27,44.47,44.53,449300.0
2019-08-21,45.0,45.75,44.54,44.82,468000.0
2019-08-20,45.8,45.89,44.61,44.63,760800.0
2019-08-19,45.55,46.21,45.28,45.84,1101700.0
2019-08-16,43.93,45.37,43.61,44.99,784500.0
2019-08-15,43.52,43.87,43.2,43.71,935400.0
2019-08-14,42.88,43.851,42.7,43.34,1235100.0
2019-08-13,43.41,45.49,43.104,43.7,1461500.0
2019-08-12,44.64,44.64,42.54,43.36,1292300.0
2019-08-09,45.13,45.355,43.88,44.77,781400.0
2019-08-08,44.33,45.44,43.99,45.36,982800.0
2019-08-07,42.82,44.17,42.62,44.03,625100.0
2019-08-06,43.95,44.29,42.5,43.54,1289200.0
2019-08-05,44.62,45.0,42.8,43.86,1721000.0
2019-08-02,44.75,46.11,44.26,45.43,2124300.0
