,open,high,low,close,volume
2019-10-25,145.8,152.5,145.83,151.35,885491.0
2019-10-24,150.05,151.22,145.95,146.43,1725500.0
2019-10-23,151.41,153.88,150.81,153.63,1724700.0
2019-10-22,150.33,152.45,148.86,151.36,986600.0
2019-10-21,150.76,151.86,149.67,150.8,768800.0
2019-10-18,148.19,150.87,147.91,149.89,1014600.0
2019-10-17,148.6,150.47,147.85,148.77,820800.0
2019-10-16,148.56,149.37,147.18,147.39,840800.0
2019-10-15,147.0,150.38,146.32,148.74,693100.0
2019-10-14,146.44,148.28,145.96,147.33,958700.0
2019-10-11,142.96,148.44,142.92,146.73,1538900.0
2019-10-10,138.69,141.0,138.1,140.43,804900.0
2019-10-09,136.99,138.7,135.94,137.97,743800.0
2019-10-08,136.97,137.08,134.66,135.09,1154000.0
2019-10-07,140.49,141.31,138.83,138.83,947100.0
2019-10-04,137.98,141.13,136.95,140.97,866800.0
2019-10-03,136.09,137.62,133.59,137.58,687300.0
2019-10-02,137.52,137.75,134.46,136.3,1010400.0
2019-10-01,145.3,146.18,139.27,139.33,718400.0
2019-09-30,143.7,144.97,143.17,144.41,648700.0
2019-09-27,143.27,143.83,141.7,143.09,676400.0
2019-09-26,142.44,143.4,141.73,142.55,606100.0
2019-09-25,138.71,142.42,137.79,142.32,1019400.0
2019-09-24,140.93,141.46,137.8,138.29,1035300.0
2019-09-23,139.97,141.69,139.65,140.85,947000.0
2019-09-20,143.73,144.57,140.32,141.11,1163700.0
2019-09-19,143.8,144.53,142.17,143.04,545400.0
2019-09-18,142.68,143.98,141.92,143.57,604400.0
2019-09-17,142.82,144.55,141.84,144.38,705200.0
2019-09-16,144.94,145.75,143.23,143.63,863900.0
2019-09-13,148.6,149.52,146.17,146.25,1125000.0
2019-09-12,146.5,151.23,146.01,147.12,1273200.0
2019-09-11,147.46,147.74,145.13,147.17,1397500.0
2019-09-10,142.86,147.45,142.86,147.45,1369900.0
2019-09-09,138.6,143.43,138.0,143.14,1485200.0
2019-09-06,137.13,138.24,136.39,137.83,894200.0
2019-09-05,131.71,136.84,131.71,136.32,1262300.0
2019-09-04,130.25,131.26,129.74,130.1,657100.0
2019-09-03,131.49,131.66,127.63,128.85,935700.0
2019-08-30,133.92,135.02,132.77,132.86,899400.0
2019-08-29,132.35,133.75,131.25,133.28,1008000.0
2019-08-28,128.14,130.44,127.73,130.31,955600.0
2019-08-27,132.56,132.73,129.57,129.62,802300.0
2019-08-26,132.88,133.43,130.3,131.44,1063200.0
2019-08-23,137.21,137.47,130.17,131.1,1455200.0
2019-08-22,139.39,139.9,138.32,138.68,770300.0
2019-08-21,137.91,138.84,137.48,138.49,916100.0
2019-08-20,136.35,136.51,135.02,136.03,797500.0
2019-08-19,136.16,136.81,135.58,136.28,759200.0
2019-08-16,132.44,134.22,129.93,133.82,895400.0
2019-08-15,131.89,132.83,129.93,131.45,821600.0
2019-08-14,134.05,134.45,131.02,131.2,665900.0
2019-08-13,134.08,140.45,132.87,137.4,892100.0
2019-08-12,136.38,136.38,133.66,134.16,570500.0
2019-08-09,138.6,138.845,135.93,137.27,534300.0
2019-08-08,138.6,139.72,138.334,139.4,1125500.0
2019-08-07,135.7303,137.52,133.56,137.11,1253600.0
2019-08-06,137.08,137.72,134.75,137.53,785600.0
2019-08-05,137.13,138.01,134.25,135.82,952800.0
2019-08-02,141.34,141.53,139.86,140.81,818900.0
2019-08-01,147.27,148.4,139.06,142.22,1734500.0
2019-07-31,151.26,151.6125,146.74,147.59,983600.0
2019-07-30,149.99,151.71,148.13,151.41,628200.0
2019-07-29,152.06,152.07,150.6,150.92,644200.0
2019-07-26,152.04,152.59,150.5608,152.4,781600.0
2019-07-25,152.37,153.1,150.43,152.2,1458500.0
2019-07-24,150.31,153.71,150.04,152.51,2560700.0
2019-07-23,144.7557,152.0,144.43,151.66,4099100.0
2019-07-22,143.62,143.99,141.23,141.5,1418200.0
2019-07-19,143.5751,145.47,143.21,143.55,924300.0
2019-07-18,142.45,143.44,141.54,142.49,849400.0
2019-07-17,147.1,147.25,142.72,142.84,1049800.0
2019-07-16,146.7,148.04,145.61,147.08,744000.0
2019-07-15,147.11,147.41,146.01,146.66,864000.0
2019-07-12,144.69,147.4737,144.1,147.15,925000.0
2019-07-11,142.91,144.03,142.53,144.0,1422800.0
2019-07-10,145.67,146.62,142.81,142.97,1074500.0
2019-07-09,143.6825,144.33,142.74,144.24,874000.0
2019-07-08,145.87,146.39,144.3,144.9,530800.0
2019-07-05,145.99,146.61,144.2,146.52,515800.0
2019-07-03,147.35,147.74,146.17,147.02,456700.0
2019-07-02,147.02,147.73,146.0765,146.61,832300.0
2019-07-01,146.98,147.92,145.51,147.24,955500.0
2019-06-28,143.0,144.82,142.75,144.61,1355600.0
2019-06-27,143.28,144.37,142.84,143.18,575400.0
2019-06-26,141.7,143.46,141.33,143.05,922500.0
2019-06-25,143.31,143.45,140.7938,141.7,983200.0
2019-06-24,143.7083,144.08,142.66,143.13,896500.0
2019-06-21,144.74,145.53,143.36,143.45,1470900.0
2019-06-20,145.84,146.72,143.59,146.36,742500.0
2019-06-19,145.38,145.52,142.68,143.47,605300.0
2019-06-18,141.92,145.9,141.2,144.56,1133000.0
2019-06-17,141.58,141.735,140.63,140.8,501200.0
2019-06-14,142.82,142.82,139.81,141.51,779100.0
2019-06-13,141.78,143.01,141.005,142.91,718400.0
2019-06-12,140.1946,141.32,139.55,140.98,532000.0
2019-06-11,140.94,141.92,139.83,140.01,792000.0
2019-06-10,139.1,140.45,138.72,139.48,580500.0
2019-06-07,137.21,138.5,136.6,137.69,694900.0
2019-06-06,134.8,136.81,134.08,136.21,1167600.0
