,open,high,low,close,volume
2019-10-25,90.01,90.59,89.69,90.06,1151706.0
2019-10-24,90.3,90.9,89.07,89.69,1589500.0
2019-10-23,87.63,89.66,87.31,89.29,1354600.0
2019-10-22,89.65,89.84,88.94,88.96,1206700.0
2019-10-21,88.21,90.01,88.2,89.89,1676100.0
2019-10-18,87.29,88.27,86.82,87.77,2049300.0
2019-10-17,86.5,87.64,85.88,87.55,2006600.0
2019-10-16,86.47,86.62,85.23,85.66,1349100.0
2019-10-15,85.6,87.08,84.94,86.64,1633000.0
2019-10-14,85.1,85.32,84.6,84.98,1352000.0
2019-10-11,86.05,86.47,83.61,85.4,2565500.0
2019-10-10,83.11,85.49,83.05,84.89,2907100.0
2019-10-09,80.1,81.13,79.58,80.71,1291600.0
2019-10-08,80.21,80.6,78.93,79.0,1827700.0
2019-10-07,80.56,81.71,80.24,80.88,1434700.0
2019-10-04,79.0,80.7,78.8,80.65,1821700.0
2019-10-03,75.75,77.44,74.42,77.27,1453700.0
2019-10-02,76.73,76.98,75.03,75.43,2142000.0
2019-10-01,79.81,81.01,77.35,77.41,1973400.0
2019-09-30,78.19,79.33,77.88,79.25,1911300.0
2019-09-27,80.09,80.74,77.2,77.47,2876400.0
2019-09-26,79.7,80.73,79.39,80.36,2300600.0
2019-09-25,79.23,81.02,78.81,80.99,1249000.0
2019-09-24,80.09,80.74,78.96,79.72,1608000.0
2019-09-23,79.68,80.97,79.4,79.84,949300.0
2019-09-20,79.85,80.96,79.32,79.75,2019400.0
2019-09-19,80.3,81.48,79.23,79.27,1536200.0
2019-09-18,80.82,80.82,78.87,80.24,1405300.0
2019-09-17,81.16,81.61,79.62,80.95,1697400.0
2019-09-16,81.78,82.54,80.61,81.98,1342000.0
2019-09-13,82.15,83.11,82.07,82.14,1676700.0
2019-09-12,83.87,84.35,81.74,82.33,2024600.0
2019-09-11,81.0,83.59,80.65,83.51,2366600.0
2019-09-10,79.5,80.3,78.59,80.3,1344000.0
2019-09-09,80.18,80.83,79.08,79.72,1343100.0
2019-09-06,79.28,80.14,79.0,79.87,1548300.0
2019-09-05,77.58,79.34,77.56,79.33,2298200.0
2019-09-04,75.45,76.28,75.33,76.02,1127900.0
2019-09-03,74.86,75.24,73.63,74.17,1378500.0
2019-08-30,75.48,75.63,74.31,75.27,1254900.0
2019-08-29,74.51,75.53,74.03,74.95,1227800.0
2019-08-28,72.33,73.56,71.51,73.37,1240700.0
2019-08-27,74.23,74.68,72.8,72.87,1405700.0
2019-08-26,74.39,74.49,73.51,73.75,1289300.0
2019-08-23,76.16,76.55,73.32,73.55,2466200.0
2019-08-22,77.79,78.0,76.5,76.92,1088400.0
2019-08-21,78.06,78.19,76.97,77.58,1313900.0
2019-08-20,76.49,77.34,76.1,76.74,1397200.0
2019-08-19,78.25,78.65,76.9,77.09,1260900.0
2019-08-16,76.45,77.02,76.0,76.66,1522000.0
2019-08-15,76.33,76.47,75.31,75.55,1450500.0
2019-08-14,76.51,77.685,75.73,75.99,1914500.0
2019-08-13,75.94,79.73,75.54,78.44,2028300.0
2019-08-12,77.04,77.48,75.88,76.28,1868300.0
2019-08-09,79.4,79.6,76.3631,77.52,2843800.0
2019-08-08,76.74,80.4,75.72,80.27,4937500.0
2019-08-07,76.67,79.9891,76.58,79.9,3364000.0
2019-08-06,76.807,77.86,76.4,77.66,2434300.0
2019-08-05,76.865,77.63,75.15,75.82,3257600.0
2019-08-02,81.91,82.0,78.79,79.33,3396800.0
2019-08-01,85.0,87.7,81.46,82.77,3260400.0
2019-07-31,88.77,88.77,84.5,85.28,1600400.0
2019-07-30,86.08,87.83,85.84,87.75,1421200.0
2019-07-29,85.98,87.15,85.38,86.8,1246800.0
2019-07-26,86.13,86.36,85.47,85.98,974000.0
2019-07-25,86.02,86.17,85.11,85.66,1707400.0
2019-07-24,85.0,86.97,84.8171,86.35,2599000.0
2019-07-23,83.92,84.83,83.47,84.54,2090100.0
2019-07-22,81.78,83.41,81.73,83.27,1893400.0
2019-07-19,81.85,81.85,81.03,81.32,1817000.0
2019-07-18,80.65,81.78,79.88,81.42,2062300.0
2019-07-17,81.99,81.99,80.09,80.17,1614800.0
2019-07-16,82.0,82.08,80.93,81.31,1612600.0
2019-07-15,81.4,82.34,81.2,82.04,1204800.0
2019-07-12,79.34,81.04,79.34,81.01,1178600.0
2019-07-11,80.13,80.35,78.56,79.18,1211000.0
2019-07-10,80.7,81.38,79.85,79.91,1197800.0
2019-07-09,78.68,79.84,78.16,79.76,1254600.0
2019-07-08,79.44,80.0607,78.9,79.35,1269800.0
2019-07-05,79.95,80.7,79.79,80.33,810500.0
2019-07-03,81.41,81.67,79.54,80.69,1014000.0
2019-07-02,81.61,81.77,80.19,80.84,1650500.0
2019-07-01,83.26,84.5,80.96,81.91,3943900.0
2019-06-28,77.49,77.87,77.035,77.27,3397700.0
2019-06-27,76.58,77.84,76.361,76.95,1473000.0
2019-06-26,76.14,77.16,75.73,75.84,1787900.0
2019-06-25,75.96,76.16,74.24,74.32,1664500.0
2019-06-24,75.16,76.39,75.0,75.91,1368700.0
2019-06-21,75.5,75.79,74.741,75.22,3210700.0
2019-06-20,77.22,77.51,75.12,75.84,1687400.0
2019-06-19,75.95,76.38,74.8,75.53,1539200.0
2019-06-18,73.18,76.42,72.79,75.72,2804200.0
2019-06-17,71.65,72.59,70.94,72.44,1968200.0
2019-06-14,71.58,72.271,70.312,71.8,2035800.0
2019-06-13,72.9698,73.74,72.68,73.35,1265400.0
2019-06-12,73.36,73.458,72.34,72.66,1392500.0
2019-06-11,74.21,74.73,73.37,73.97,2894100.0
2019-06-10,70.89,73.469,70.75,73.1,2753600.0
2019-06-07,69.33,70.38,68.68,70.15,2070700.0
2019-06-06,68.05,69.77,67.79,69.43,2565100.0
