,open,high,low,close,volume
2019-10-25,36.94,37.17,36.72,36.91,28591380.0
2019-10-24,37.69,37.77,36.54,36.82,40074000.0
2019-10-23,38.01,38.14,37.63,37.74,24190100.0
2019-10-22,37.82,38.36,37.6,38.17,20153800.0
2019-10-21,38.42,38.62,38.19,38.23,26645100.0
2019-10-18,37.81,38.53,37.79,38.47,37662100.0
2019-10-17,37.86,37.86,37.61,37.81,18520900.0
2019-10-16,37.82,38.0,37.7,37.79,22034100.0
2019-10-15,37.45,38.07,37.42,37.9,22706300.0
2019-10-14,37.58,37.69,37.31,37.47,20775600.0
2019-10-11,37.59,37.8,37.47,37.58,27685600.0
2019-10-10,37.0,37.55,36.97,37.42,23360200.0
2019-10-09,37.21,37.22,36.89,37.05,24560100.0
2019-10-08,37.68,37.71,37.38,37.48,28170700.0
2019-10-07,37.58,37.87,37.52,37.66,21036400.0
2019-10-04,37.22,37.52,37.13,37.51,21914100.0
2019-10-03,37.0,37.2,36.66,37.19,20372600.0
2019-10-02,37.35,37.35,36.92,37.08,26257000.0
2019-10-01,37.95,37.96,37.37,37.41,23038500.0
2019-09-30,37.59,37.92,37.53,37.84,28341900.0
2019-09-27,37.61,37.73,37.18,37.43,24222800.0
2019-09-26,37.4,37.46,37.18,37.38,19252300.0
2019-09-25,37.33,37.56,37.24,37.38,22328800.0
2019-09-24,37.79,37.85,37.34,37.38,27679600.0
2019-09-23,37.62,37.85,37.48,37.6,21595900.0
2019-09-20,37.3,38.01,37.18,37.91,77472800.0
2019-09-19,37.03,37.22,36.8,37.15,27002400.0
2019-09-18,36.76,36.98,36.49,36.76,37481400.0
2019-09-17,37.04,37.25,36.79,37.16,35027000.0
2019-09-16,37.7,37.83,37.11,37.31,49189900.0
2019-09-13,38.01,38.35,37.74,37.91,39225400.0
2019-09-12,38.37,38.48,37.73,38.38,42667000.0
2019-09-11,37.93,38.75,37.71,38.74,55071400.0
2019-09-10,37.21,37.72,36.97,37.58,48019600.0
2019-09-09,37.82,38.14,36.71,36.79,117866000.0
2019-09-06,35.95,36.37,35.91,36.25,29266100.0
2019-09-05,35.9,35.98,35.75,35.89,21740700.0
2019-09-04,35.53,35.82,35.44,35.72,20736900.0
2019-09-03,35.08,35.39,34.92,35.38,20541000.0
2019-08-30,35.18,35.35,35.07,35.26,21609100.0
2019-08-29,35.11,35.33,35.05,35.15,23293500.0
2019-08-28,34.67,34.98,34.53,34.96,24366400.0
2019-08-27,35.01,35.04,34.63,34.72,32081200.0
2019-08-26,34.97,35.14,34.71,34.93,23197300.0
2019-08-23,35.3,35.44,34.64,34.82,33858000.0
2019-08-22,35.24,35.5,35.08,35.39,21459700.0
2019-08-21,35.19,35.25,34.97,35.16,21913600.0
2019-08-20,35.29,35.3,34.9,34.98,21794900.0
2019-08-19,35.01,35.44,34.99,35.38,26135700.0
2019-08-16,34.48,35.0,33.96,34.97,31103000.0
2019-08-15,34.24,34.46,33.96,34.34,24367600.0
2019-08-14,34.6,34.63,34.024,34.09,34615300.0
2019-08-13,34.37,34.9617,34.37,34.86,31218500.0
2019-08-12,34.47,34.58,34.27,34.48,23659200.0
2019-08-09,34.43,34.59,34.15,34.54,22866800.0
2019-08-08,34.25,34.54,34.07,34.54,28498500.0
2019-08-07,33.6,34.16,33.36,34.06,37948500.0
2019-08-06,33.51,33.97,33.29,33.96,31658700.0
2019-08-05,33.7,33.94,33.19,33.49,37067600.0
2019-08-02,33.8,34.34,33.54,34.17,36476300.0
2019-08-01,34.48,34.6,34.02,34.12,41058900.0
2019-07-31,34.05,34.48,33.89,34.05,40633800.0
2019-07-30,34.44,34.64,34.08,34.18,33926800.0
2019-07-29,34.07,34.45,33.94,34.34,30939100.0
2019-07-26,33.74,34.23,33.59,34.15,34149300.0
2019-07-25,33.58,33.99,33.45,33.81,39019200.0
2019-07-24,32.18,33.39,32.18,33.24,48284700.0
2019-07-23,32.15,32.16,31.5206,32.09,45574400.0
