,open,high,low,close,volume
2019-10-25,57.41,57.89,56.06,56.84,3470725.0
2019-10-24,59.55,59.72,58.53,58.9,1582000.0
2019-10-23,58.9,59.56,58.61,59.47,1502100.0
2019-10-22,57.36,59.32,57.12,59.3,2654000.0
2019-10-21,57.18,57.31,56.97,57.16,1352500.0
2019-10-18,57.15,57.15,56.74,56.98,1572300.0
2019-10-17,56.58,57.61,56.37,57.0,1474300.0
2019-10-16,56.95,56.95,56.21,56.32,1260100.0
2019-10-15,56.25,56.83,55.97,56.68,1875200.0
2019-10-14,55.82,56.33,55.57,56.24,805500.0
2019-10-11,55.52,56.54,55.52,56.06,1024800.0
2019-10-10,55.52,56.08,55.22,55.72,976000.0
2019-10-09,55.71,55.88,55.16,55.51,1311000.0
2019-10-08,56.0,56.0,55.07,55.34,1328200.0
2019-10-07,56.73,57.12,56.13,56.17,1192400.0
2019-10-04,56.61,56.88,55.65,56.63,1254700.0
2019-10-03,56.22,56.85,55.18,56.62,1390300.0
2019-10-02,57.6,57.95,56.36,56.72,1341600.0
2019-10-01,57.7,58.36,57.6,58.11,1127900.0
2019-09-30,57.64,58.13,57.38,57.5,1575900.0
2019-09-27,57.34,57.71,56.94,57.47,1687800.0
2019-09-26,56.32,57.3,56.12,57.09,1398600.0
2019-09-25,56.05,56.22,55.53,56.14,1195800.0
2019-09-24,56.2,56.41,55.45,55.85,1122600.0
2019-09-23,56.22,56.52,55.76,56.21,1377300.0
2019-09-20,55.52,56.46,55.36,56.26,2106000.0
2019-09-19,55.05,55.31,54.7,55.04,1239200.0
2019-09-18,55.4,55.56,54.43,55.04,2007300.0
2019-09-17,57.53,57.63,55.56,55.68,2197700.0
2019-09-16,56.99,57.6,56.68,57.55,1476900.0
2019-09-13,56.43,57.24,56.32,57.17,1395300.0
2019-09-12,56.9,56.99,56.0,56.25,1183200.0
2019-09-11,56.37,56.65,55.5,56.38,1694500.0
2019-09-10,55.8,56.8,55.42,56.6,2342000.0
2019-09-09,53.41,55.93,53.41,55.87,2019400.0
2019-09-06,53.38,53.49,53.13,53.42,1464400.0
2019-09-05,53.37,53.69,53.13,53.18,1659000.0
2019-09-04,52.81,53.31,52.67,53.13,927100.0
2019-09-03,51.09,52.61,50.78,52.39,2111300.0
2019-08-30,51.2,51.6,51.07,51.36,1390300.0
2019-08-29,51.11,51.46,50.89,51.05,768600.0
2019-08-28,50.21,51.26,49.92,51.15,923900.0
2019-08-27,50.63,50.79,50.04,50.17,1643700.0
2019-08-26,50.33,50.6,50.09,50.57,1461700.0
2019-08-23,51.56,51.66,49.95,50.07,1643200.0
2019-08-22,51.87,52.3,51.48,51.69,1287900.0
2019-08-21,52.11,52.42,51.52,51.78,1707300.0
2019-08-20,52.52,52.77,51.99,52.16,935300.0
2019-08-19,52.44,52.84,51.95,52.5,1479300.0
2019-08-16,50.98,52.05,50.15,51.88,1504200.0
2019-08-15,50.47,50.95,50.15,50.86,1443400.0
2019-08-14,51.25,51.42,50.29,50.34,2103100.0
2019-08-13,52.21,52.95,51.62,51.68,1912100.0
2019-08-12,52.31,52.4,51.96,52.01,1835100.0
2019-08-09,52.47,52.75,52.13,52.65,1536300.0
2019-08-08,52.41,52.785,51.89,52.72,1368600.0
2019-08-07,50.92,52.29,50.55,52.14,1804200.0
2019-08-06,51.03,51.56,50.68,51.19,2697800.0
2019-08-05,51.9,52.074,49.92,50.59,3156100.0
2019-08-02,52.66,52.97,52.02,52.24,1980600.0
2019-08-01,53.01,54.25,52.46,52.49,3219800.0
2019-07-31,53.07,54.27,51.8,53.99,6778900.0
2019-07-30,56.39,57.0,56.09,56.92,1510700.0
2019-07-29,56.7,56.98,56.25,56.51,1236700.0
2019-07-26,56.73,56.977,56.38,56.59,1586700.0
2019-07-25,56.8026,57.71,56.14,56.67,1696700.0
2019-07-24,56.26,56.76,56.07,56.65,1239000.0
2019-07-23,54.5,56.75,54.3569,56.3,2525900.0
2019-07-22,54.78,55.05,54.03,54.23,1316200.0
2019-07-19,55.02,55.1,54.4,54.59,1545800.0
