,open,high,low,close,volume
2019-10-25,98.3,103.0,97.16,98.55,3500390.0
2019-10-24,92.84,98.12,92.84,97.67,3558000.0
2019-10-23,90.86,92.58,89.74,92.43,1724500.0
2019-10-22,89.69,91.01,88.57,90.96,1479200.0
2019-10-21,89.25,90.05,89.02,89.57,963300.0
2019-10-18,90.29,90.5,88.42,88.49,1296900.0
2019-10-17,91.64,91.89,90.92,91.58,1091200.0
2019-10-16,90.88,91.71,90.64,91.4,865400.0
2019-10-15,90.8,92.07,90.29,91.04,973200.0
2019-10-14,91.13,91.57,89.45,90.26,1121100.0
2019-10-11,90.08,92.73,90.07,91.88,1722700.0
2019-10-10,88.56,89.43,87.76,88.03,1211700.0
2019-10-09,87.83,88.76,86.88,88.51,1044700.0
2019-10-08,87.78,88.06,86.44,86.63,1605000.0
2019-10-07,88.31,90.21,87.66,89.02,1828300.0
2019-10-04,88.41,89.12,86.88,88.06,1684900.0
2019-10-03,88.4,89.29,86.39,89.19,1351800.0
2019-10-02,88.67,89.5,87.46,88.6,2044600.0
2019-10-01,93.09,94.04,90.79,90.88,1063200.0
2019-09-30,92.33,93.59,92.0,92.63,1091500.0
2019-09-27,91.26,92.93,91.26,91.88,942200.0
2019-09-26,92.23,92.54,89.58,90.83,1064900.0
2019-09-25,90.62,92.31,90.49,92.02,1345700.0
2019-09-24,92.53,92.6,90.07,90.84,784000.0
2019-09-23,90.53,92.34,90.26,91.78,899800.0
2019-09-20,91.73,92.94,91.24,91.3,1564500.0
2019-09-19,93.77,93.77,91.1,91.34,1517100.0
2019-09-18,93.4,94.1,92.01,93.42,2135100.0
2019-09-17,96.15,96.38,94.12,95.26,1916000.0
2019-09-16,97.58,98.76,96.2,96.4,1526600.0
2019-09-13,97.46,99.04,97.14,98.28,1593800.0
2019-09-12,95.22,96.95,94.1,96.61,1792600.0
2019-09-11,94.24,95.09,91.81,95.05,1916900.0
2019-09-10,91.36,94.01,91.09,94.01,2380500.0
2019-09-09,88.18,91.63,88.0,91.28,2462100.0
2019-09-06,88.5,89.25,87.95,88.22,1640900.0
2019-09-05,85.77,88.56,85.62,88.19,2675900.0
2019-09-04,84.11,85.2,83.21,84.53,1996700.0
2019-09-03,84.0,84.39,81.61,82.49,2658100.0
2019-08-30,86.07,87.42,84.18,84.87,2000000.0
2019-08-29,85.28,86.78,84.0,85.54,2744400.0
2019-08-28,78.88,86.59,78.6,85.17,10957400.0
2019-08-27,83.51,84.96,82.37,82.67,4209900.0
2019-08-26,82.12,83.35,81.18,83.08,4333800.0
2019-08-23,84.64,85.46,81.1,81.32,3361200.0
2019-08-22,84.08,85.67,83.73,85.34,2074600.0
2019-08-21,83.08,84.78,82.8,84.53,2007000.0
2019-08-20,81.62,82.73,81.16,82.26,1756500.0
2019-08-19,82.01,83.14,81.19,82.09,2192300.0
2019-08-16,81.22,83.28,79.48,80.8,2735100.0
2019-08-15,83.0,83.28,79.48,80.57,2731700.0
2019-08-14,85.48,85.48,82.32,82.73,3228200.0
2019-08-13,86.72,90.25,85.85,87.84,1724800.0
2019-08-12,88.56,88.56,85.98,87.06,1376900.0
2019-08-09,90.84,91.23,88.78,89.56,1355300.0
2019-08-08,89.42,91.35,89.24,91.16,1161700.0
2019-08-07,87.27,88.98,86.97,88.84,1621500.0
2019-08-06,88.36,88.77,87.14,88.6,1531800.0
2019-08-05,88.59,88.59,86.06,87.86,2486300.0
2019-08-02,90.98,92.07,89.94,90.08,1364500.0
2019-08-01,93.96,95.33,90.42,91.23,2143600.0
2019-07-31,94.08,95.56,93.09,93.92,1491500.0
2019-07-30,92.4,94.13,91.61,94.12,1144900.0
2019-07-29,93.18,93.47,91.74,92.93,1119000.0
2019-07-26,94.3944,94.96,92.2,93.27,1683400.0
2019-07-25,94.17,94.91,92.8473,93.59,1010900.0
2019-07-24,92.75,94.51,92.5,94.43,1509200.0
2019-07-23,92.24,92.99,91.73,92.53,1150700.0
2019-07-22,92.68,93.01,90.74,91.73,1359200.0
2019-07-19,93.6,94.41,92.67,92.67,999400.0
2019-07-18,92.28,93.428,92.0,93.16,1187100.0
2019-07-17,94.0495,94.63,93.01,93.29,908300.0
2019-07-16,93.22,94.88,93.09,94.03,959100.0
2019-07-15,93.89,95.04,93.05,93.82,1380500.0
2019-07-12,94.0512,95.07,93.81,94.66,1508000.0
2019-07-11,93.22,94.18,92.64,94.13,660000.0
2019-07-10,93.32,93.79,91.95,92.77,1048500.0
2019-07-09,93.52,93.72,92.16,93.11,1283200.0
2019-07-08,94.22,94.71,93.35,93.77,963700.0
2019-07-05,93.3,94.561,92.865,94.48,844900.0
2019-07-03,92.67,94.78,91.69,93.6,1126400.0
2019-07-02,94.28,94.36,91.42,92.2,1579900.0
2019-07-01,95.4238,97.02,93.99,94.28,2129900.0
2019-06-28,92.16,93.69,92.11,93.64,1877500.0
2019-06-27,91.8315,92.39,91.0,91.98,914000.0
2019-06-26,91.36,93.105,91.09,91.94,1205700.0
2019-06-25,90.74,91.54,90.162,91.24,1431600.0
2019-06-24,93.31,94.04,91.85,91.85,1158100.0
2019-06-21,96.47,96.47,93.14,93.62,2309100.0
2019-06-20,94.04,96.24,93.373,96.12,2590500.0
2019-06-19,91.8,93.16,91.26,92.78,1489700.0
2019-06-18,91.97,93.0,91.745,92.04,2499900.0
2019-06-17,90.94,91.86,90.82,91.43,1033500.0
2019-06-14,91.17,91.29,89.96,91.02,1004300.0
2019-06-13,91.52,91.95,90.26,91.16,1198100.0
2019-06-12,91.6,91.9984,90.58,91.4,891200.0
2019-06-11,92.84,92.96,91.9684,92.09,1117200.0
2019-06-10,90.84,92.85,90.84,92.14,1222900.0
2019-06-07,91.1,91.72,90.36,90.47,1208200.0
2019-06-06,92.02,92.46,90.12,91.19,1449400.0
