,open,high,low,close,volume
2019-10-25,25.31,26.505,25.04,26.45,2566593.0
2019-10-24,26.1,26.15,25.31,25.71,3251000.0
2019-10-23,26.47,26.49,25.75,25.95,3141100.0
2019-10-22,26.21,26.48,25.71,26.41,3801500.0
2019-10-21,25.85,26.47,25.83,26.24,4066700.0
2019-10-18,25.09,25.67,25.03,25.56,5067400.0
2019-10-17,25.77,26.0,25.42,25.44,3938500.0
2019-10-16,25.5,25.8,25.33,25.5,4171300.0
2019-10-15,25.29,25.8,25.04,25.52,3870200.0
2019-10-14,25.13,25.35,24.38,25.25,5363300.0
2019-10-11,25.43,26.35,25.42,25.98,5382000.0
2019-10-10,24.82,25.1,24.61,24.99,4189400.0
2019-10-09,24.92,25.05,24.7,24.78,4464400.0
2019-10-08,24.8,24.82,24.16,24.66,6045600.0
2019-10-07,25.45,25.51,25.12,25.18,4024800.0
2019-10-04,25.13,25.5,24.84,25.49,3038100.0
2019-10-03,24.65,25.28,24.14,25.27,3977400.0
2019-10-02,25.17,25.24,24.67,24.74,5473400.0
2019-10-01,26.16,26.52,25.54,25.6,5622200.0
2019-09-30,25.99,26.28,25.65,26.05,5369900.0
2019-09-27,25.67,26.23,25.65,25.99,4749300.0
2019-09-26,25.25,25.71,25.16,25.51,4612100.0
2019-09-25,25.31,25.85,25.22,25.36,6777700.0
2019-09-24,25.4,25.49,24.9,25.15,6467200.0
2019-09-23,25.02,25.41,24.82,25.14,7332700.0
2019-09-20,25.33,25.9,25.11,25.14,8857200.0
2019-09-19,25.18,25.48,25.06,25.27,4176400.0
2019-09-18,25.0,25.34,24.9,25.18,7621900.0
2019-09-17,25.38,25.48,24.7,25.16,6125500.0
2019-09-16,25.02,25.95,24.99,25.51,5982200.0
2019-09-13,26.0,26.6,25.15,25.18,7301200.0
2019-09-12,25.56,25.75,24.74,25.58,6635700.0
2019-09-11,25.3,26.14,24.52,25.78,7387400.0
2019-09-10,24.15,25.27,24.1,25.17,7388900.0
2019-09-09,23.68,24.38,23.46,24.29,8353300.0
2019-09-06,23.04,23.76,22.85,23.69,8111700.0
2019-09-05,21.59,22.94,21.59,22.92,10712400.0
2019-09-04,21.05,21.54,21.05,21.49,7774300.0
2019-09-03,20.43,20.94,20.23,20.44,6255100.0
2019-08-30,20.42,20.95,20.39,20.65,6482600.0
2019-08-29,20.43,20.67,19.77,20.28,6441200.0
2019-08-28,20.43,20.76,20.15,20.49,4619000.0
2019-08-27,20.98,21.02,20.33,20.48,5395100.0
2019-08-26,20.56,20.9,20.32,20.88,4876600.0
2019-08-23,21.06,21.27,20.25,20.31,7299900.0
2019-08-22,21.85,22.0,20.85,21.28,5733300.0
2019-08-21,21.35,21.79,21.32,21.75,7477700.0
2019-08-20,20.85,21.09,20.46,21.04,6774000.0
2019-08-19,20.33,21.16,20.1,20.97,10607300.0
2019-08-16,18.81,22.26,18.54,19.96,13902900.0
2019-08-15,21.9,22.26,18.54,19.45,26322000.0
2019-08-14,25.88,25.8789,24.75,25.0,6490600.0
2019-08-13,26.45,27.64,25.9,26.71,4580200.0
2019-08-12,26.8,27.43,25.99,26.25,4151400.0
2019-08-09,28.34,28.34,27.31,27.39,2731700.0
2019-08-08,28.18,28.6,28.08,28.47,2418700.0
2019-08-07,27.47,28.26,27.24,28.18,3092300.0
2019-08-06,27.99,28.2,27.52,27.88,3424400.0
2019-08-05,28.99,28.99,27.65,27.84,4657200.0
2019-08-02,29.23,29.96,29.17,29.75,4255000.0
2019-08-01,30.88,30.95,29.06,29.27,4887100.0
2019-07-31,30.53,31.05,30.17,30.93,5031700.0
2019-07-30,30.51,30.78,29.81,30.66,2891800.0
2019-07-29,30.45,30.6989,29.94,30.61,3274600.0
2019-07-26,30.94,30.94,30.3,30.62,2694800.0
2019-07-25,30.59,30.97,30.56,30.82,3322400.0
2019-07-24,30.28,30.85,30.05,30.8,3233000.0
2019-07-23,29.6,30.13,29.49,30.04,3228700.0
2019-07-22,30.4,30.58,29.27,29.39,3822300.0
2019-07-19,30.57,30.8,30.28,30.3,2258500.0
2019-07-18,30.24,30.55,30.0,30.4,2131200.0
2019-07-17,31.02,31.02,30.2,30.27,2700700.0
2019-07-16,30.79,31.34,30.69,31.2,3080900.0
2019-07-15,30.37,30.79,30.37,30.75,2748400.0
2019-07-12,29.9,30.67,29.81,30.34,2658900.0
2019-07-11,29.0,29.82,28.88,29.72,3651500.0
2019-07-10,29.66,29.78,28.74,28.86,4785400.0
2019-07-09,30.05,30.05,29.51,29.64,4060900.0
2019-07-08,30.23,30.4016,29.93,30.26,4733500.0
2019-07-05,30.23,30.38,29.87,30.24,3478400.0
2019-07-03,30.56,30.64,29.9797,30.38,1887300.0
2019-07-02,31.34,31.36,30.207,30.34,3581500.0
2019-07-01,32.29,32.44,31.17,31.3,4964800.0
