,open,high,low,close,volume
2019-10-25,39.29,40.74,39.23,40.32,1098559.0
2019-10-24,40.06,40.09,38.61,39.22,1478900.0
2019-10-23,38.77,39.95,38.29,39.91,1624500.0
2019-10-22,37.82,39.11,37.52,38.88,2698600.0
2019-10-21,38.08,38.89,37.73,37.79,1199000.0
2019-10-18,39.08,39.08,37.33,37.42,1667600.0
2019-10-17,39.0,39.19,38.8,38.93,787200.0
2019-10-16,38.74,39.49,38.4,38.71,1125600.0
2019-10-15,38.8,39.18,38.21,38.89,1197000.0
2019-10-14,39.07,39.21,38.15,38.69,1046200.0
2019-10-11,38.18,39.83,38.03,39.11,1746200.0
2019-10-10,37.52,38.23,37.52,37.83,1016700.0
2019-10-09,37.51,37.88,37.29,37.42,811800.0
2019-10-08,38.11,38.22,37.16,37.23,1530700.0
2019-10-07,39.02,39.31,38.73,38.8,1206900.0
2019-10-04,38.72,39.39,38.42,38.98,1557400.0
2019-10-03,37.55,38.66,37.11,38.65,1445900.0
2019-10-02,37.79,38.0,37.11,37.5,1856400.0
2019-10-01,38.82,39.33,38.03,38.23,1253500.0
2019-09-30,38.56,38.81,38.06,38.68,1121300.0
2019-09-27,38.01,38.86,37.94,38.43,1852700.0
2019-09-26,37.6,38.01,37.29,37.89,1360500.0
2019-09-25,37.73,38.61,37.51,38.04,1642400.0
2019-09-24,38.39,38.57,37.57,37.8,2123300.0
2019-09-23,38.8,38.98,38.11,38.16,1622500.0
2019-09-20,40.36,40.57,38.75,39.13,2564900.0
2019-09-19,40.96,41.16,40.22,40.29,1373900.0
2019-09-18,41.43,41.93,40.63,40.97,1329700.0
2019-09-17,41.04,41.46,40.38,41.44,884300.0
2019-09-16,40.55,41.35,40.16,41.15,1019000.0
2019-09-13,41.38,41.98,40.79,40.82,1121000.0
2019-09-12,42.96,42.96,40.78,41.27,2326900.0
2019-09-11,41.02,42.89,40.44,42.75,2754600.0
2019-09-10,39.54,40.98,39.31,40.94,2175000.0
2019-09-09,37.92,39.71,37.92,39.61,2383400.0
2019-09-06,38.1,38.59,37.47,37.88,1686500.0
2019-09-05,38.14,38.64,37.97,38.11,1465400.0
2019-09-04,37.87,37.97,37.21,37.7,1436600.0
2019-09-03,37.52,37.75,36.72,37.07,1470700.0
2019-08-30,38.16,38.65,37.73,37.99,1389700.0
2019-08-29,37.3,38.1,37.1,37.88,1733000.0
2019-08-28,35.53,36.99,35.52,36.78,2973000.0
2019-08-27,36.13,36.28,35.41,35.81,2391400.0
2019-08-26,36.89,36.97,35.81,35.95,1458100.0
2019-08-23,37.91,38.1,36.15,36.3,1933400.0
2019-08-22,38.6,38.78,37.42,38.15,1703900.0
2019-08-21,38.39,39.2,38.14,38.52,1362400.0
2019-08-20,38.69,38.74,38.0,38.03,1649900.0
2019-08-19,38.62,38.84,37.94,38.74,1786500.0
2019-08-16,38.64,39.1,37.98,37.99,2079700.0
