,open,high,low,close,volume
2019-10-25,97.05,97.69,95.6,96.46,1861832.0
2019-10-24,97.96,98.85,94.93,98.0,3820400.0
2019-10-23,94.01,95.3,93.15,95.12,2775600.0
2019-10-22,92.47,94.65,91.99,94.14,1183500.0
2019-10-21,93.99,93.99,92.21,92.44,1478000.0
2019-10-18,92.4,93.89,92.09,93.32,2214300.0
2019-10-17,94.12,94.29,92.7,92.9,1492300.0
2019-10-16,93.73,94.74,93.39,93.45,1245100.0
2019-10-15,93.31,94.09,92.66,93.79,1101400.0
2019-10-14,94.06,94.54,92.85,93.75,718400.0
2019-10-11,94.27,95.32,93.5,94.31,1744300.0
2019-10-10,92.55,93.51,92.46,93.12,1081700.0
2019-10-09,92.38,93.95,92.38,92.99,1245000.0
2019-10-08,92.27,93.55,90.65,92.07,2287900.0
2019-10-07,93.07,93.97,91.87,92.05,1696600.0
2019-10-04,93.01,94.34,92.5,93.11,1353400.0
2019-10-03,90.71,93.31,90.28,93.16,2802500.0
2019-10-02,90.15,91.06,89.07,90.57,2713400.0
2019-10-01,91.81,92.02,89.16,89.8,1456200.0
2019-09-30,89.33,91.0,89.33,90.44,1760300.0
2019-09-27,89.63,90.0,88.68,89.01,1375700.0
2019-09-26,89.85,90.47,88.41,88.96,1796700.0
2019-09-25,91.37,91.7,89.84,90.61,1151200.0
2019-09-24,91.84,92.91,90.91,91.38,928100.0
2019-09-23,90.1,93.46,90.09,92.16,1473400.0
2019-09-20,91.35,92.51,90.25,90.39,2174000.0
2019-09-19,93.69,93.85,91.8,92.08,1744600.0
2019-09-18,96.01,96.7,92.53,93.55,2234800.0
2019-09-17,95.61,97.27,94.65,96.18,1253600.0
2019-09-16,96.83,97.91,95.35,95.66,1609300.0
2019-09-13,100.04,100.19,96.92,97.1,2245700.0
2019-09-12,104.39,104.5,98.77,99.34,2116000.0
2019-09-11,106.09,106.11,103.58,103.85,982200.0
2019-09-10,102.44,106.41,101.76,106.39,1262700.0
2019-09-09,103.82,104.35,101.89,102.58,1756000.0
2019-09-06,103.72,104.99,103.33,103.54,2036300.0
2019-09-05,101.45,103.41,100.65,102.98,1466100.0
2019-09-04,100.6,101.01,99.17,100.3,1124500.0
2019-09-03,100.7,102.0,99.24,100.19,1287900.0
2019-08-30,105.45,105.5,101.41,101.88,960400.0
2019-08-29,103.58,104.5,102.83,104.12,1000100.0
2019-08-28,98.98,102.48,98.82,102.23,1397300.0
2019-08-27,99.28,99.89,98.95,99.4,1270900.0
2019-08-26,97.6,98.9,97.03,98.86,1123600.0
2019-08-23,100.09,100.1,95.93,96.86,2027700.0
2019-08-22,101.43,102.33,100.61,101.45,842000.0
2019-08-21,101.98,102.72,101.19,101.32,915000.0
2019-08-20,100.92,102.37,100.53,100.87,865900.0
2019-08-19,101.75,102.12,99.67,101.21,1375100.0
2019-08-16,100.13,101.25,99.7,100.55,1078600.0
2019-08-15,99.99,100.7862,98.6,99.36,1371500.0
2019-08-14,102.21,102.89,99.76,99.84,1241500.0
2019-08-13,102.84,106.05,101.31,104.24,1243200.0
2019-08-12,106.86,106.86,102.11,102.52,1492200.0
2019-08-09,108.52,110.42,107.43,107.58,932300.0
2019-08-08,105.93,109.52,105.69,109.08,1092800.0
2019-08-07,104.52,106.05,103.71,105.68,926400.0
2019-08-06,103.17,105.93,102.69,105.71,1140300.0
2019-08-05,105.59,105.73,101.95,102.75,1520500.0
2019-08-02,107.69,108.1,106.57,107.06,1066900.0
2019-08-01,109.04,109.88,106.58,107.96,1354200.0
2019-07-31,109.08,110.42,107.95,108.81,1287200.0
2019-07-30,109.9,110.65,108.96,109.25,815500.0
2019-07-29,109.88,110.95,109.21,110.45,1097400.0
2019-07-26,112.03,112.3,109.43,109.95,1455900.0
2019-07-25,105.0,111.83,105.0,111.47,2819400.0
2019-07-24,111.18,113.02,110.91,112.49,1401000.0
2019-07-23,112.98,113.18,109.83,111.35,1454400.0
2019-07-22,112.65,114.19,112.02,112.75,1150100.0
2019-07-19,112.91,114.25,111.74,112.47,1273800.0
2019-07-18,111.03,112.66,110.0,112.23,1386000.0
2019-07-17,112.16,112.18,110.96,111.11,868900.0
2019-07-16,113.0,113.22,112.17,112.31,976200.0
2019-07-15,112.92,113.14,110.72,111.46,833500.0
2019-07-12,111.14,113.54,110.93,112.97,895500.0
2019-07-11,110.62,111.25,109.5933,110.52,1167200.0
2019-07-10,110.29,110.3,108.28,109.32,761500.0
2019-07-09,110.31,111.05,109.34,110.1,813500.0
2019-07-08,110.03,110.85,110.01,110.37,666600.0
2019-07-05,109.4683,110.78,109.02,110.47,812600.0
2019-07-03,109.41,110.0311,108.41,110.0,970900.0
2019-07-02,110.7445,111.39,109.96,110.52,1054800.0
2019-07-01,109.93,112.38,109.4,110.61,974700.0
2019-06-28,108.49,109.16,107.65,108.8,1132800.0
2019-06-27,106.79,108.745,106.0,108.2,1172900.0
2019-06-26,106.84,107.89,106.44,106.7,815100.0
2019-06-25,106.97,107.46,105.97,106.63,858000.0
2019-06-24,107.68,107.97,106.6,106.86,839700.0
2019-06-21,106.95,107.16,105.77,106.76,1061100.0
2019-06-20,106.55,107.29,105.235,106.77,1031500.0
2019-06-19,104.09,106.785,104.09,106.24,1201600.0
2019-06-18,104.78,105.72,103.94,105.07,919000.0
2019-06-17,105.731,105.9,103.0,104.12,1321300.0
2019-06-14,108.25,108.63,105.975,106.14,1686000.0
2019-06-13,108.01,108.95,107.51,108.16,745500.0
2019-06-12,107.49,108.35,106.69,107.28,715800.0
2019-06-11,107.6946,108.08,106.45,107.33,1052700.0
2019-06-10,109.5283,109.67,107.01,107.14,1061200.0
2019-06-07,107.64,109.67,107.405,108.57,1091100.0
2019-06-06,104.97,107.8792,104.61,107.27,1419700.0
