,open,high,low,close,volume
2019-10-25,78.73,78.73,77.75,78.48,1441034.0
2019-10-24,77.69,77.94,77.03,77.82,3203800.0
2019-10-23,79.08,79.15,77.48,77.5,2614800.0
2019-10-22,81.14,81.14,79.07,79.17,2617400.0
2019-10-21,81.66,82.05,80.79,80.97,1848000.0
2019-10-18,81.59,82.61,81.5,82.42,1880800.0
2019-10-17,81.78,81.88,79.36,81.37,3388100.0
2019-10-16,83.83,83.89,81.82,81.86,2511000.0
2019-10-15,84.02,85.04,83.66,83.74,1865800.0
2019-10-14,83.76,84.44,83.41,84.06,1535100.0
2019-10-11,82.06,84.25,82.01,83.6,2378100.0
2019-10-10,81.9,83.17,81.45,82.13,1516400.0
2019-10-09,80.99,83.09,80.99,81.73,2007400.0
2019-10-08,81.0,81.2,79.39,80.43,2405300.0
2019-10-07,82.16,82.31,81.16,81.16,2644900.0
2019-10-04,82.15,82.96,80.85,82.25,3369300.0
2019-10-03,82.68,82.86,81.73,82.1,2137900.0
2019-10-02,83.32,83.92,81.82,82.37,2356800.0
2019-10-01,85.92,86.38,83.1,83.32,2543100.0
2019-09-30,85.37,86.26,84.79,86.14,2116300.0
2019-09-27,86.6,86.61,84.96,85.2,1637900.0
2019-09-26,86.44,86.86,85.9,86.46,1176700.0
2019-09-25,86.48,87.48,85.82,85.97,1897000.0
2019-09-24,86.4,86.9,85.57,86.28,1269100.0
2019-09-23,87.11,87.57,85.68,85.79,1666800.0
2019-09-20,88.48,88.86,86.73,87.39,2949500.0
2019-09-19,88.69,88.94,87.77,88.17,1269900.0
2019-09-18,88.98,89.46,87.4,88.27,1907600.0
2019-09-17,87.62,89.35,87.0,88.88,3288500.0
2019-09-16,84.64,86.6,84.39,86.34,2168500.0
2019-09-13,84.0,86.54,84.0,85.17,3417800.0
2019-09-12,82.9,83.85,82.53,83.47,3509900.0
2019-09-11,81.35,82.33,80.84,82.32,2211400.0
2019-09-10,83.03,83.03,80.0,81.46,3677400.0
2019-09-09,86.41,86.69,83.23,83.56,2917000.0
2019-09-06,85.23,86.53,84.71,86.04,3076500.0
2019-09-05,86.41,87.35,84.93,85.26,5304400.0
2019-09-04,91.0,91.68,85.95,86.06,6912100.0
2019-09-03,92.6,93.45,92.08,93.29,2495800.0
2019-08-30,92.28,94.07,92.16,93.04,2033400.0
2019-08-29,90.5,92.21,90.19,91.72,2080600.0
2019-08-28,90.28,90.66,88.94,90.58,1918300.0
2019-08-27,91.37,91.63,89.28,89.97,2471100.0
2019-08-26,90.58,91.47,90.12,91.44,1692900.0
2019-08-23,90.36,90.75,89.48,89.93,2241500.0
2019-08-22,90.0,91.73,89.9,91.66,2773300.0
2019-08-21,88.6,89.86,87.9,89.79,2378300.0
2019-08-20,87.03,88.76,86.72,88.24,2999400.0
2019-08-19,88.36,88.48,87.22,87.47,3064700.0
2019-08-16,88.27,88.73,86.01,87.7,1712800.0
2019-08-15,86.2,88.73,86.01,87.86,2422000.0
2019-08-14,87.13,87.67,85.53,85.76,2316500.0
2019-08-13,88.41,89.88,87.77,87.82,2502000.0
2019-08-12,87.09,88.6,86.43,88.27,3065100.0
2019-08-09,88.59,89.34,87.67,88.37,2119100.0
2019-08-08,86.0,89.0059,86.0,88.7,2877300.0
2019-08-07,84.45,86.63,82.84,86.21,2885600.0
2019-08-06,84.53,85.85,82.0,85.02,4440900.0
2019-08-05,83.14,87.29,82.58,83.83,9458300.0
2019-08-02,80.14,81.26,79.76,79.76,3184200.0
2019-08-01,79.79,81.55,79.76,80.39,3001300.0
2019-07-31,81.11,81.53,78.66,79.5,2377400.0
2019-07-30,81.5926,82.33,80.66,81.33,1711800.0
2019-07-29,81.0,81.6,80.83,81.25,1859600.0
2019-07-26,81.85,81.85,80.7,80.98,2419300.0
2019-07-25,81.06,82.79,80.9,81.67,1657300.0
2019-07-24,81.65,82.08,80.73,81.04,1917400.0
2019-07-23,81.48,82.36,81.35,82.03,1351400.0
2019-07-22,80.83,81.51,80.54,81.33,1442600.0
2019-07-19,81.11,81.75,80.79,80.8,1900900.0
2019-07-18,79.8,81.29,79.03,80.96,2896300.0
2019-07-17,79.46,79.54,78.58,79.14,2272000.0
2019-07-16,81.45,81.61,78.991,79.13,3635600.0
2019-07-15,81.51,81.92,81.1924,81.75,1368100.0
2019-07-12,81.5,81.91,80.55,81.38,1663900.0
2019-07-11,81.75,82.09,80.71,81.43,2220400.0
2019-07-10,82.66,82.804,81.87,82.03,1314200.0
2019-07-09,82.15,82.79,81.85,82.15,2028700.0
2019-07-08,82.52,82.81,81.56,81.92,2580400.0
2019-07-05,82.0,82.91,81.43,82.63,1762200.0
2019-07-03,81.3,82.41,81.3,82.16,1758200.0
2019-07-02,81.04,81.79,80.86,81.28,3162200.0
2019-07-01,81.5,81.83,80.34,80.96,2962300.0
2019-06-28,79.74,80.81,79.45,80.74,3029000.0
2019-06-27,79.28,79.857,78.43,79.65,1572500.0
2019-06-26,79.45,80.15,78.77,79.52,2476700.0
2019-06-25,81.19,83.15,77.38,79.97,6808300.0
2019-06-24,79.4,81.62,79.38,80.82,3249700.0
2019-06-21,78.89,79.7721,78.1,79.29,4573000.0
2019-06-20,77.77,79.1994,76.59,78.63,3236400.0
2019-06-19,76.89,77.84,75.69,77.76,3091200.0
