,open,high,low,close,volume
2019-10-25,118.51,120.68,118.51,120.51,4106890.0
2019-10-24,118.81,120.29,117.32,118.41,6205400.0
2019-10-23,116.8,121.62,115.87,118.95,18450000.0
2019-10-22,130.27,131.1,128.23,128.57,5518900.0
2019-10-21,130.74,131.02,129.65,130.93,3355100.0
2019-10-18,129.79,130.42,128.55,129.46,4126000.0
2019-10-17,130.9,131.39,128.81,130.13,3003500.0
2019-10-16,130.83,131.45,129.19,129.5,4537600.0
2019-10-15,130.28,132.2,129.79,131.69,2955400.0
2019-10-14,129.58,129.94,129.07,129.75,2292900.0
2019-10-11,130.1,131.76,129.56,130.09,4717200.0
2019-10-10,127.86,129.37,127.1,127.73,2679300.0
2019-10-09,126.75,128.18,126.32,127.44,2884800.0
2019-10-08,127.42,127.87,123.63,124.98,4769100.0
2019-10-07,130.04,130.49,128.74,128.85,2426200.0
2019-10-04,129.31,130.31,128.99,130.14,3893000.0
2019-10-03,127.27,129.25,125.86,128.7,5199700.0
2019-10-02,127.26,127.78,126.22,126.84,5334600.0
2019-10-01,130.0,131.8,127.59,128.59,5093900.0
2019-09-30,127.69,129.4,127.57,129.24,4233400.0
2019-09-27,129.52,129.64,125.86,127.14,5263500.0
2019-09-26,128.28,128.67,126.64,128.11,3297700.0
2019-09-25,125.3,128.33,124.53,127.74,3293400.0
2019-09-24,128.77,128.81,124.9,125.81,4694600.0
2019-09-23,126.67,128.35,126.31,127.77,3946200.0
2019-09-20,128.3,128.75,126.22,126.67,7471500.0
2019-09-19,129.5,130.26,128.5,128.83,2608100.0
2019-09-18,129.56,129.56,127.2,129.31,2328000.0
2019-09-17,128.3,129.7,127.62,129.56,2673600.0
2019-09-16,128.76,129.48,128.09,128.36,3065800.0
2019-09-13,130.47,130.89,129.56,129.61,3110800.0
2019-09-12,129.2,130.92,128.37,130.22,4472900.0
2019-09-11,127.0,128.65,126.4,128.58,4286100.0
2019-09-10,126.01,127.06,124.9,127.04,4725600.0
2019-09-09,127.94,127.94,125.68,127.1,3813700.0
2019-09-06,127.1,127.91,126.59,127.09,2457500.0
2019-09-05,126.75,129.01,126.15,126.81,5330400.0
2019-09-04,123.95,124.94,123.85,124.59,3858200.0
2019-09-03,123.05,123.48,120.67,121.74,3913200.0
2019-08-30,124.83,125.24,123.44,123.75,2747100.0
2019-08-29,124.18,125.31,123.39,123.57,3454600.0
2019-08-28,121.37,122.98,120.53,122.74,2470800.0
2019-08-27,122.93,123.58,121.53,122.18,3679700.0
2019-08-26,122.46,122.47,120.51,121.67,3294000.0
2019-08-23,124.12,125.09,119.84,120.29,6515900.0
2019-08-22,126.11,126.6,124.19,125.21,2997800.0
2019-08-21,125.5,126.08,124.7,126.04,3866100.0
2019-08-20,124.23,125.22,123.41,124.31,2706400.0
2019-08-19,125.55,126.36,124.01,124.6,3244500.0
2019-08-16,121.28,123.21,119.85,122.82,3675100.0
2019-08-15,121.27,121.61,118.73,119.85,3352600.0
2019-08-14,120.7,122.21,120.17,120.6,4531700.0
2019-08-13,120.36,124.45,119.28,123.34,6285300.0
2019-08-12,119.61,121.07,119.47,120.08,3728400.0
2019-08-09,123.97,124.32,120.6,120.61,5777500.0
2019-08-08,121.98,124.58,121.38,124.31,6226400.0
2019-08-07,117.29,120.99,117.05,120.72,7726600.0
2019-08-06,118.36,119.35,117.03,119.0,4783900.0
2019-08-05,119.22,119.29,116.22,116.93,8689800.0
2019-08-02,123.19,124.35,121.07,121.82,7368400.0
2019-08-01,125.6,128.73,123.2261,123.45,7979300.0
2019-07-31,127.82,128.57,123.04,125.01,6601600.0
2019-07-30,128.19,128.97,127.49,128.54,3487300.0
2019-07-29,128.2,130.37,127.9363,129.97,6070100.0
2019-07-26,127.82,128.93,127.3124,128.16,5282300.0
2019-07-25,128.59,128.8,126.57,127.35,8504500.0
2019-07-24,126.5,129.8,125.96,129.0,16553300.0
2019-07-23,119.2,120.35,118.55,120.07,7146900.0
2019-07-22,117.98,118.49,117.5588,118.18,3862700.0
2019-07-19,118.75,119.0,117.04,117.26,5596300.0
2019-07-18,117.49,118.72,117.01,118.57,2913000.0
2019-07-17,118.44,118.49,116.76,117.18,4027700.0
2019-07-16,118.5,119.05,117.54,118.68,4588800.0
2019-07-15,118.5,120.0,118.49,119.84,4020600.0
2019-07-12,117.6522,118.4,116.66,118.32,2292500.0
2019-07-11,116.6,116.98,115.89,116.72,3044700.0
2019-07-10,116.62,118.45,116.19,116.64,3531800.0
2019-07-09,114.6,115.92,114.39,115.78,2754000.0
2019-07-08,115.19,115.8187,114.68,114.93,2974500.0
2019-07-05,114.8195,116.07,114.37,115.75,2915400.0
2019-07-03,116.19,116.4,114.92,115.94,2321700.0
2019-07-02,116.99,117.0,115.11,116.06,3818600.0
2019-07-01,117.6,118.98,116.24,117.19,6123700.0
2019-06-28,116.42,116.83,114.5,114.76,6129800.0
2019-06-27,115.22,116.66,115.02,115.86,4163800.0
2019-06-26,113.41,115.02,112.77,114.43,5308200.0
2019-06-25,112.91,113.24,111.34,111.48,3426200.0
2019-06-24,112.17,113.09,111.82,112.73,3356200.0
2019-06-21,111.87,113.37,111.66,112.32,5124900.0
2019-06-20,113.87,114.35,111.71,112.71,2789900.0
2019-06-19,111.8,112.3,110.69,111.3,2745900.0
2019-06-18,108.3,111.57,107.58,111.04,5207900.0
2019-06-17,107.3,108.0,106.55,106.72,3655300.0
2019-06-14,106.84,109.0463,106.8,107.31,7137800.0
2019-06-13,110.76,111.36,110.32,111.18,3392000.0
2019-06-12,112.48,112.79,109.98,110.34,4105400.0
2019-06-11,114.31,114.34,111.97,112.93,4775700.0
2019-06-10,111.76,113.51,111.0,112.63,4656800.0
2019-06-07,111.14,111.83,110.59,111.17,5408600.0
2019-06-06,109.51,110.67,108.79,110.19,4734100.0
