,open,high,low,close,volume
2019-10-25,18.83,19.37,18.75,19.06,1188202.0
2019-10-24,19.07,19.07,18.61,19.01,1949200.0
2019-10-23,19.27,19.27,18.74,19.01,1281400.0
2019-10-22,18.2,19.48,18.19,19.42,3785500.0
2019-10-21,17.9,18.18,17.89,18.17,1033100.0
2019-10-18,18.0,18.05,17.595,17.81,2472300.0
2019-10-17,18.48,18.645,18.36,18.46,1382500.0
2019-10-16,18.5,18.55,18.3,18.36,1400700.0
2019-10-15,18.24,18.5,18.11,18.46,1267700.0
2019-10-14,18.22,18.43,18.14,18.23,1309500.0
2019-10-11,18.1,18.543,18.06,18.26,1191800.0
2019-10-10,17.8,18.08,17.78,17.85,1060400.0
2019-10-09,17.55,17.91,17.47,17.75,1064900.0
2019-10-08,17.19,17.577,17.07,17.35,1149600.0
2019-10-07,17.53,17.71,17.42,17.47,1503500.0
2019-10-04,17.49,17.625,17.23,17.59,1167100.0
2019-10-03,17.49,17.52,16.96,17.5,1836000.0
2019-10-02,17.83,17.83,17.26,17.52,1931500.0
2019-10-01,18.18,18.3,17.92,18.01,1740900.0
2019-09-30,17.89,18.17,17.824,18.13,1212800.0
2019-09-27,18.0,18.26,17.72,17.79,1476700.0
2019-09-26,17.91,18.05,17.73,17.97,994900.0
2019-09-25,17.7,18.15,17.64,17.85,1511400.0
2019-09-24,18.16,18.166,17.47,17.66,1749100.0
2019-09-23,17.95,18.3,17.91,17.99,1034000.0
2019-09-20,18.51,18.72,17.964,17.98,2442000.0
2019-09-19,18.89,18.91,18.29,18.42,2113600.0
2019-09-18,19.04,19.09,18.61,18.89,1694100.0
2019-09-17,18.95,19.03,18.63,19.02,1289200.0
2019-09-16,18.9,19.195,18.82,19.02,1581600.0
2019-09-13,19.29,19.475,19.022,19.07,2369400.0
2019-09-12,19.27,19.375,19.03,19.23,1485900.0
2019-09-11,18.6,19.15,18.22,19.14,1854700.0
2019-09-10,18.25,18.6,18.2,18.6,1515200.0
2019-09-09,17.8,18.36,17.725,18.32,2178500.0
2019-09-06,18.03,18.18,17.6,17.78,1474300.0
2019-09-05,17.53,17.93,17.46,17.91,1615800.0
