,open,high,low,close,volume
2019-10-25,49.35,49.59,49.2,49.42,1018707.0
2019-10-24,49.55,49.7,48.95,49.44,2390200.0
2019-10-23,49.75,49.84,49.09,49.51,1519400.0
2019-10-22,50.19,50.21,49.64,49.71,1968900.0
2019-10-21,49.74,50.2,49.57,50.18,1890900.0
2019-10-18,49.4,49.92,49.1,49.8,1924600.0
2019-10-17,49.27,49.54,49.17,49.41,1777900.0
2019-10-16,48.61,49.39,48.25,49.34,1968400.0
2019-10-15,48.52,48.62,48.19,48.55,3158900.0
2019-10-14,48.19,48.56,47.99,48.51,1046800.0
2019-10-11,48.52,48.52,47.9,48.01,1930800.0
2019-10-10,48.41,48.72,48.23,48.54,1879300.0
2019-10-09,48.84,49.12,48.44,48.5,1391700.0
2019-10-08,49.03,49.3,48.6,48.89,1107700.0
2019-10-07,48.83,49.21,48.68,49.02,1191900.0
2019-10-04,48.63,49.03,48.63,49.03,1015100.0
2019-10-03,48.0,48.98,48.0,48.61,1489000.0
2019-10-02,48.33,48.48,48.01,48.17,1626700.0
2019-10-01,48.38,48.65,47.8,48.3,1144700.0
2019-09-30,48.23,48.69,48.23,48.48,1714600.0
2019-09-27,48.5,48.5,47.97,48.33,1627400.0
2019-09-26,48.26,48.54,48.16,48.45,2207200.0
2019-09-25,47.91,48.31,47.91,48.06,2517400.0
2019-09-24,48.2,48.56,47.83,48.05,1456900.0
2019-09-23,47.73,48.35,47.73,48.09,1221000.0
2019-09-20,48.13,48.49,47.71,47.91,6023100.0
2019-09-19,48.48,48.53,48.15,48.23,1865300.0
2019-09-18,48.58,48.78,47.93,48.31,1794200.0
2019-09-17,48.3,48.69,48.17,48.51,1290300.0
2019-09-16,47.75,48.22,47.52,48.17,1073300.0
2019-09-13,47.73,48.2,47.37,47.6,1259100.0
2019-09-12,48.24,48.55,47.65,48.03,1224300.0
2019-09-11,47.68,47.85,47.33,47.81,1613400.0
2019-09-10,48.14,48.19,47.13,47.84,1527400.0
2019-09-09,48.81,48.89,48.31,48.43,1555300.0
2019-09-06,48.54,48.93,48.45,48.93,1523000.0
2019-09-05,48.5,48.52,48.06,48.35,1413200.0
2019-09-04,48.8,49.07,48.46,48.7,1345900.0
2019-09-03,48.06,48.6,47.99,48.5,1388300.0
2019-08-30,48.24,48.33,47.97,48.18,1318700.0
2019-08-29,48.05,48.16,47.81,48.1,966300.0
2019-08-28,47.57,47.93,47.48,47.75,1243300.0
2019-08-27,47.99,48.25,47.61,47.61,2258700.0
2019-08-26,47.78,47.9,47.3,47.74,1753300.0
2019-08-23,48.22,48.43,47.31,47.5,1948800.0
2019-08-22,47.85,48.24,47.77,48.18,1705900.0
2019-08-21,47.49,47.81,47.26,47.69,1219300.0
2019-08-20,47.93,47.93,47.43,47.48,1341500.0
2019-08-19,47.2,47.87,46.9,47.75,2466700.0
2019-08-16,46.64,47.2,45.87,46.98,1713400.0
2019-08-15,45.87,46.71,45.87,46.57,1778900.0
2019-08-14,46.78,46.8,45.8,45.86,2368200.0
2019-08-13,47.07,47.07,46.17,46.56,3225300.0
2019-08-12,47.11,47.73,47.02,47.48,1296000.0
2019-08-09,46.53,47.13,46.33,47.11,1752000.0
2019-08-08,46.3,46.87,45.9614,46.73,1662100.0
2019-08-07,46.15,46.82,45.55,46.31,2176200.0
2019-08-06,44.92,46.34,44.8713,46.33,2303400.0
2019-08-05,46.22,46.22,44.45,44.8,1822000.0
2019-08-02,46.1,46.54,45.91,46.26,1071800.0
2019-08-01,46.18,46.37,45.44,46.07,1997500.0
2019-07-31,46.55,47.39,45.79,46.06,2148500.0
2019-07-30,46.54,47.15,46.27,46.6,1154000.0
2019-07-29,46.23,46.98,46.23,46.56,1128600.0
2019-07-26,46.03,46.3,45.88,46.09,1019200.0
2019-07-25,45.7,45.98,45.35,45.91,1005700.0
2019-07-24,45.91,45.9101,45.37,45.65,975200.0
2019-07-23,45.36,45.84,45.07,45.78,1326200.0
2019-07-22,45.47,45.61,45.15,45.3,1204400.0
2019-07-19,46.46,46.51,45.41,45.43,1352000.0
2019-07-18,46.18,46.49,45.82,46.33,1190100.0
2019-07-17,46.5,46.67,45.8,46.23,1178200.0
2019-07-16,46.28,46.47,46.0333,46.44,1180700.0
2019-07-15,46.34,46.5419,46.1,46.31,1564500.0
2019-07-12,46.52,46.52,46.19,46.26,1061700.0
2019-07-11,46.83,46.91,46.22,46.5,1311900.0
2019-07-10,46.72,47.0,46.44,46.92,1613900.0
2019-07-09,46.21,46.7,46.06,46.65,1573800.0
2019-07-08,46.04,46.57,46.04,46.47,1396500.0
2019-07-05,45.9078,46.155,45.09,46.0,769900.0
2019-07-03,45.69,46.33,45.61,46.26,817500.0
2019-07-02,45.25,46.07,45.17,45.65,1675700.0
2019-07-01,45.213,45.245,44.22,45.11,1536400.0
2019-06-28,44.6,45.22,44.55,44.89,2742100.0
2019-06-27,44.48,44.86,44.32,44.58,1325100.0
2019-06-26,45.02,45.04,43.94,44.15,1604200.0
2019-06-25,45.72,46.03,45.09,45.11,1775200.0
2019-06-24,45.77,45.98,45.35,45.51,1579900.0
2019-06-21,46.06,46.2,45.29,45.68,4238600.0
2019-06-20,46.56,46.94,46.52,46.56,1305000.0
2019-06-19,46.13,46.67,45.97,46.51,1367500.0
2019-06-18,47.11,47.11,46.07,46.32,982200.0
2019-06-17,46.63,47.08,46.58,46.74,1351500.0
2019-06-14,46.3779,46.63,46.23,46.44,793800.0
2019-06-13,46.1,46.37,46.07,46.35,920800.0
2019-06-12,46.08,46.43,45.93,46.11,1187200.0
2019-06-11,46.07,46.22,45.515,46.04,968800.0
2019-06-10,46.33,46.33,45.71,46.09,636600.0
2019-06-07,46.35,46.57,46.1,46.14,776100.0
2019-06-06,45.99,46.23,45.67,46.1,1185900.0
