,open,high,low,close,volume
2019-10-25,238.38,242.475,237.73,240.9,619949.0
2019-10-24,237.77,240.85,236.27,238.93,885900.0
2019-10-23,237.41,238.24,231.08,237.87,951800.0
2019-10-22,236.26,240.38,236.26,236.91,989100.0
2019-10-21,240.57,241.04,235.24,235.3,1673400.0
2019-10-18,246.8,247.24,239.8,239.92,1313200.0
2019-10-17,244.97,251.67,244.97,248.1,1152100.0
2019-10-16,245.71,247.73,243.51,244.98,722500.0
2019-10-15,247.01,249.19,244.25,245.4,720400.0
2019-10-14,247.07,249.39,245.8,246.57,763300.0
2019-10-11,245.41,249.55,244.12,248.46,1241800.0
2019-10-10,237.65,242.3,237.02,241.75,1134300.0
2019-10-09,238.14,240.67,235.67,238.04,1482600.0
2019-10-08,240.06,240.99,235.2,237.03,3518800.0
2019-10-07,250.25,250.98,242.32,242.75,2291100.0
2019-10-04,257.71,258.09,250.26,250.6,1713600.0
2019-10-03,263.37,265.21,250.65,257.43,2242300.0
2019-10-02,263.31,264.0,256.89,262.79,2309400.0
2019-10-01,253.45,267.25,253.01,265.99,4303500.0
2019-09-30,245.58,251.76,245.0,250.65,2313000.0
2019-09-27,238.14,246.46,237.4,244.4,2086000.0
2019-09-26,236.4,238.53,234.75,236.31,1188200.0
2019-09-25,238.75,239.43,233.28,235.54,1417300.0
2019-09-24,237.89,241.3,235.29,239.48,2321800.0
2019-09-23,229.55,239.92,229.27,237.31,2358300.0
2019-09-20,229.79,232.26,227.65,228.75,1947000.0
2019-09-19,229.6,232.7,228.61,230.07,1103200.0
2019-09-18,233.74,233.74,227.38,229.34,1678500.0
2019-09-17,225.69,235.09,225.15,233.85,2201600.0
2019-09-16,226.26,230.12,224.66,225.45,1361700.0
2019-09-13,227.6,227.95,225.53,226.86,1127000.0
2019-09-12,229.06,229.36,225.12,226.16,1872500.0
2019-09-11,231.68,233.88,227.26,228.15,1496700.0
2019-09-10,225.5,233.17,225.28,231.42,2241500.0
2019-09-09,233.74,234.17,226.03,226.16,2181300.0
2019-09-06,237.84,239.24,233.03,233.1,2026000.0
2019-09-05,229.03,237.85,227.71,236.71,3260700.0
2019-09-04,238.0,239.86,228.2,228.76,4016900.0
2019-09-03,234.05,244.21,231.02,237.41,5428100.0
2019-08-30,252.81,254.5,235.76,237.73,16029100.0
2019-08-29,337.5,342.0,333.09,337.45,2707400.0
2019-08-28,323.77,331.45,321.16,330.38,753400.0
2019-08-27,333.16,334.8,323.6,323.77,1000700.0
2019-08-26,327.0,331.99,324.54,330.22,1008600.0
2019-08-23,330.64,332.37,321.24,322.1,1098500.0
2019-08-22,328.54,338.5,328.54,334.86,753000.0
2019-08-21,327.24,331.49,326.81,328.12,521100.0
2019-08-20,325.17,328.28,320.51,323.08,475800.0
2019-08-19,327.43,328.77,322.45,325.25,807100.0
2019-08-16,323.52,327.89,319.26,322.03,564200.0
2019-08-15,320.74,324.87,315.49,320.44,989200.0
2019-08-14,330.06,332.2,320.17,321.0,1249300.0
2019-08-13,334.31,348.3189,333.33,341.2,571800.0
2019-08-12,345.91,345.91,332.68,336.51,759200.0
2019-08-09,351.49,353.4107,345.0,346.7,522700.0
2019-08-08,345.18,355.36,344.76,353.04,588200.0
2019-08-07,337.22,344.3766,336.7,343.68,756100.0
2019-08-06,330.37,340.95,329.0,340.28,688200.0
2019-08-05,331.98,331.98,326.34,330.14,728400.0
