,open,high,low,close,volume
2019-10-25,243.91,246.08,242.15,244.91,2390536.0
2019-10-24,248.03,248.49,243.91,244.51,2546900.0
2019-10-23,248.39,251.75,246.73,247.8,3706600.0
2019-10-22,243.64,251.5,243.15,249.48,5660800.0
2019-10-21,245.02,245.6,242.15,243.92,3029200.0
2019-10-18,244.45,246.41,241.76,245.34,4922100.0
2019-10-17,238.69,244.61,237.27,243.67,6301200.0
2019-10-16,236.29,237.48,234.08,236.99,5368600.0
2019-10-15,232.69,239.84,231.09,238.59,13397700.0
2019-10-14,221.63,223.34,219.9,220.59,4075300.0
2019-10-11,225.54,228.85,221.59,222.07,5891600.0
2019-10-10,218.19,224.13,217.52,223.73,5252200.0
2019-10-09,221.71,223.47,220.17,222.08,4483100.0
2019-10-08,219.49,221.98,218.4,220.11,4817000.0
2019-10-07,219.05,222.53,218.99,221.24,3843200.0
2019-10-04,216.84,219.86,215.14,219.8,3700500.0
2019-10-03,215.63,216.36,213.05,215.36,3375800.0
2019-10-02,216.15,219.36,215.28,216.75,4921200.0
2019-10-01,219.19,219.19,212.08,217.21,5523600.0
2019-09-30,213.64,218.53,213.12,217.32,5286300.0
2019-09-27,218.18,218.88,215.02,215.26,4834900.0
2019-09-26,223.04,223.63,213.43,215.48,10444400.0
2019-09-25,224.28,226.5,222.13,222.17,4658000.0
2019-09-24,229.38,229.84,222.92,225.0,5006800.0
2019-09-23,229.77,230.78,228.32,228.77,3281200.0
2019-09-20,234.77,235.0,231.92,232.89,6220100.0
2019-09-19,232.0,233.95,231.23,232.85,2666700.0
2019-09-18,230.8,233.13,229.23,230.61,2960500.0
2019-09-17,233.07,233.99,231.17,232.52,2392900.0
2019-09-16,232.82,236.05,232.15,234.43,2973600.0
2019-09-13,232.99,236.56,231.54,233.61,4523200.0
2019-09-12,235.0,236.4,229.7,230.1,4713700.0
2019-09-11,232.49,234.25,228.58,234.21,3168100.0
2019-09-10,231.45,234.29,230.83,232.46,4257600.0
2019-09-09,229.0,232.0,228.56,230.68,3895600.0
2019-09-06,230.17,231.96,228.59,229.0,4183200.0
2019-09-05,230.0,231.51,227.58,229.59,4256900.0
2019-09-04,231.95,232.95,226.5,226.73,4526100.0
2019-09-03,231.74,232.17,228.47,230.62,3382300.0
2019-08-30,233.67,235.05,232.29,234.0,3384100.0
2019-08-29,228.42,232.3,228.01,230.62,4052500.0
2019-08-28,222.42,229.77,220.78,227.35,4847600.0
2019-08-27,231.72,232.4,222.6,222.93,4988100.0
2019-08-26,232.52,234.56,230.46,231.08,2918300.0
2019-08-23,232.9,235.1,229.38,230.66,4826600.0
2019-08-22,240.35,240.35,232.67,232.94,4498200.0
2019-08-21,240.19,241.89,239.3,240.35,2761900.0
2019-08-20,244.21,244.6,239.92,240.16,3201300.0
2019-08-19,247.49,248.49,244.09,244.71,2672300.0
2019-08-16,245.38,247.11,241.45,245.69,2810000.0
2019-08-15,244.35,245.26,241.45,244.25,2513500.0
2019-08-14,246.73,248.41,243.01,243.2,3464300.0
2019-08-13,241.68,250.46,241.51,249.22,2763400.0
2019-08-12,246.79,247.96,243.03,243.2,2667400.0
2019-08-09,247.72,250.42,246.14,248.63,2535000.0
2019-08-08,246.19,247.67,243.37,247.62,2830700.0
2019-08-07,246.27,247.0494,241.26,246.45,3205800.0
2019-08-06,245.93,248.28,243.57,248.28,3533000.0
2019-08-05,248.13,249.94,242.59,245.06,5812400.0
2019-08-02,249.69,251.57,246.0967,250.05,2677600.0
2019-08-01,249.19,251.58,247.28,249.25,3613600.0
2019-07-31,256.32,257.16,248.48,249.01,3532400.0
2019-07-30,252.66,255.06,250.47,254.93,1908800.0
2019-07-29,252.84,255.3,252.34,253.82,2005500.0
2019-07-26,249.022,253.88,246.51,252.94,3362600.0
2019-07-25,251.13,252.75,248.29,248.7,3362800.0
2019-07-24,252.79,252.83,245.13,251.13,4864000.0
2019-07-23,254.47,256.1,252.02,255.01,2889300.0
2019-07-22,258.14,258.95,254.5224,255.32,4104300.0
2019-07-19,261.1,262.72,256.4,256.65,4413200.0
2019-07-18,265.64,266.51,257.26,260.6,5825800.0
2019-07-17,264.0,268.69,263.5,266.65,3995200.0
2019-07-16,265.33,267.14,263.19,264.66,3121600.0
2019-07-15,265.06,267.65,264.25,265.96,2611400.0
2019-07-12,261.63,266.52,261.63,265.9,5336100.0
2019-07-11,255.8,261.69,249.05,261.16,10268800.0
2019-07-10,246.82,249.11,245.48,247.48,2753000.0
2019-07-09,244.6217,246.08,243.69,246.0,2774800.0
2019-07-08,246.41,247.98,244.88,247.84,1902500.0
2019-07-05,244.39,248.76,244.06,246.99,2965000.0
2019-07-03,244.32,247.52,244.04,245.21,2559400.0
2019-07-02,242.59,243.99,239.535,243.97,3863500.0
2019-07-01,245.95,246.17,240.72,242.64,4102700.0
2019-06-28,246.5,246.75,238.65,244.01,6727600.0
2019-06-27,244.26,248.15,243.16,246.34,3366200.0
2019-06-26,248.0,248.08,243.13,243.47,3852900.0
2019-06-25,249.3,251.04,247.42,247.66,3182700.0
2019-06-24,251.33,252.625,247.864,249.64,3163800.0
