,open,high,low,close,volume
2019-10-25,28.36,28.64,28.34,28.49,1137835.0
2019-10-24,29.29,29.46,28.42,28.75,1240900.0
2019-10-23,28.8,29.32,28.65,29.27,1106100.0
2019-10-22,28.8,29.1,28.5,28.96,1002800.0
2019-10-21,28.66,28.98,28.6,28.89,1194200.0
2019-10-18,28.12,28.47,28.12,28.27,1534800.0
2019-10-17,28.41,28.5,27.91,28.05,1128300.0
2019-10-16,28.72,28.92,28.12,28.13,1688300.0
2019-10-15,28.42,28.93,28.23,28.56,1153000.0
2019-10-14,27.96,28.41,27.81,28.31,664000.0
2019-10-11,28.19,28.76,28.19,28.29,1697100.0
2019-10-10,27.45,28.0,27.37,27.54,1512100.0
2019-10-09,27.03,27.37,26.88,27.13,1370900.0
2019-10-08,26.8,26.82,26.42,26.64,1998700.0
2019-10-07,27.14,27.52,27.02,27.29,2825900.0
2019-10-04,26.58,27.25,26.48,27.25,1464000.0
2019-10-03,26.77,26.88,26.13,26.61,2476400.0
2019-10-02,27.81,28.01,26.89,26.96,1529700.0
2019-10-01,30.0,30.03,28.2,28.21,1348300.0
2019-09-30,29.73,29.76,29.41,29.72,1762600.0
2019-09-27,29.62,29.94,29.37,29.6,1009700.0
2019-09-26,29.26,29.4,28.94,29.31,1588000.0
2019-09-25,29.45,29.76,29.29,29.29,1903300.0
2019-09-24,29.65,29.88,29.23,29.48,2139400.0
2019-09-23,29.13,29.86,29.04,29.62,1193300.0
2019-09-20,29.65,30.18,29.43,29.45,2933900.0
2019-09-19,29.65,29.97,29.52,29.56,1647600.0
2019-09-18,29.32,29.82,29.14,29.66,1504700.0
2019-09-17,29.44,29.61,29.19,29.54,1264300.0
2019-09-16,29.42,29.83,29.34,29.73,1651300.0
2019-09-13,29.74,30.21,29.47,29.77,2808800.0
2019-09-12,28.9,29.48,28.33,29.32,2292000.0
2019-09-11,28.54,29.29,28.07,29.29,2326200.0
2019-09-10,27.87,28.67,27.87,28.61,3295400.0
2019-09-09,26.75,27.74,26.68,27.67,3203000.0
2019-09-06,26.27,26.82,26.04,26.48,2582600.0
2019-09-05,25.77,26.55,25.77,26.28,2176900.0
2019-09-04,25.63,25.68,25.22,25.33,2291000.0
2019-09-03,25.12,25.38,24.71,25.3,3892500.0
2019-08-30,25.69,25.7,25.28,25.41,3344500.0
2019-08-29,25.4,25.49,25.17,25.4,2111900.0
2019-08-28,24.92,25.37,24.89,25.06,3470900.0
2019-08-27,26.46,26.52,25.03,25.16,3587800.0
2019-08-26,26.48,26.57,26.09,26.29,1492500.0
2019-08-23,26.48,26.82,25.98,26.11,3942000.0
2019-08-22,26.86,27.12,26.71,26.75,1408700.0
2019-08-21,26.59,26.75,26.41,26.65,937100.0
2019-08-20,26.77,26.81,26.32,26.36,1197400.0
2019-08-19,27.2,27.3,26.94,26.96,1579000.0
2019-08-16,26.04,26.76,25.69,26.69,1654900.0
2019-08-15,26.47,26.59,25.69,25.76,2147000.0
2019-08-14,27.13,27.29,26.4,26.46,1741500.0
2019-08-13,27.36,28.39,27.2,27.93,2458600.0
2019-08-12,27.89,28.01,27.34,27.44,1426300.0
2019-08-09,28.76,28.87,28.22,28.32,1650800.0
2019-08-08,28.44,28.96,28.35,28.91,1661400.0
2019-08-07,27.9,28.2,27.42,28.13,2374800.0
2019-08-06,28.85,28.96,28.19,28.65,3083200.0
2019-08-05,28.94,29.2,28.44,28.69,1953500.0
2019-08-02,29.79,30.07,29.49,29.69,1744900.0
2019-08-01,31.97,31.97,29.66,29.91,3420600.0
2019-07-31,33.0,33.1994,31.58,31.95,2350500.0
2019-07-30,32.25,32.8,31.98,32.8,1291000.0
2019-07-29,32.83,32.95,32.33,32.5,1216100.0
2019-07-26,32.58,33.07,32.31,32.98,1438600.0
2019-07-25,33.11,33.11,32.64,32.81,2279200.0
2019-07-24,32.96,33.32,32.92,33.13,1823500.0
2019-07-23,32.57,33.07,32.4823,33.03,2580000.0
2019-07-22,32.96,33.05,32.38,32.44,1329500.0
2019-07-19,32.9,33.35,32.7604,32.95,3058600.0
2019-07-18,32.71,32.93,32.62,32.78,2336300.0
2019-07-17,32.9,32.99,32.5,32.67,1589100.0
2019-07-16,32.82,33.2,32.73,32.96,3235700.0
2019-07-15,33.25,33.25,32.36,32.72,2705900.0
2019-07-12,32.85,33.12,32.64,33.08,1715500.0
2019-07-11,32.85,32.88,32.34,32.65,2863300.0
2019-07-10,32.93,33.74,32.67,32.87,3123100.0
2019-07-09,34.1095,34.57,34.11,34.55,1335800.0
2019-07-08,34.35,34.74,34.2,34.39,857100.0
2019-07-05,34.53,35.09,34.43,34.6,1347700.0
2019-07-03,34.0,34.585,34.0,34.48,576600.0
2019-07-02,34.42,34.46,33.77,33.99,1820700.0
2019-07-01,34.04,34.49,33.96,34.42,2105000.0
2019-06-28,33.24,33.65,33.17,33.55,2864800.0
2019-06-27,32.6871,33.055,32.58,32.9,2053600.0
2019-06-26,32.62,33.03,32.43,32.49,1414200.0
2019-06-25,32.28,32.64,32.11,32.43,1946600.0
2019-06-24,32.39,32.68,32.2,32.32,1593000.0
2019-06-21,32.84,32.955,32.315,32.4,2381500.0
2019-06-20,32.94,33.06,31.85,32.79,2856500.0
2019-06-19,33.32,33.61,32.48,32.57,1801600.0
2019-06-18,32.29,33.47,32.23,33.08,2621500.0
2019-06-17,33.01,33.27,32.34,32.4,1086000.0
2019-06-14,33.1904,33.19,32.58,33.05,1100600.0
2019-06-13,32.9786,33.39,32.98,33.16,2051100.0
