,open,high,low,close,volume
2019-10-25,114.0,115.97,113.87,115.72,2668500.0
2019-10-24,114.8,115.5,113.42,114.01,2969600.0
2019-10-23,115.4,116.07,114.66,115.15,3644200.0
2019-10-22,115.83,116.56,111.78,116.1,8275700.0
2019-10-21,117.7,119.25,117.6,118.52,3251100.0
2019-10-18,118.44,118.64,117.03,117.35,2720600.0
2019-10-17,117.81,118.92,117.67,118.39,2197500.0
2019-10-16,116.15,117.54,116.15,117.5,2260600.0
2019-10-15,116.09,118.16,115.83,116.48,2616300.0
2019-10-14,115.94,116.67,115.51,115.87,1960300.0
2019-10-11,116.88,117.98,115.89,116.02,3083300.0
2019-10-10,114.04,115.43,113.82,115.28,2209500.0
2019-10-09,114.0,114.5,113.15,113.86,2553200.0
2019-10-08,114.41,114.41,112.44,112.74,3373900.0
2019-10-07,116.7,117.03,115.43,115.57,2775800.0
2019-10-04,116.14,117.6,115.93,117.49,2321800.0
2019-10-03,115.4,116.47,114.01,115.9,2936300.0
2019-10-02,114.89,115.98,114.34,115.24,3903400.0
2019-10-01,120.25,120.7,114.85,115.81,4295800.0
2019-09-30,119.31,120.0,118.99,119.82,2639000.0
2019-09-27,119.0,119.5,118.33,118.95,2456000.0
2019-09-26,119.0,119.0,117.66,118.45,1999400.0
2019-09-25,118.23,119.9,117.95,119.05,3203000.0
2019-09-24,119.22,119.97,117.43,117.99,3160500.0
2019-09-23,119.8,120.89,118.91,119.05,2999900.0
2019-09-20,119.83,120.92,119.27,120.7,5308400.0
2019-09-19,120.61,120.76,118.9,119.12,3733700.0
2019-09-18,119.12,121.3,118.72,121.04,4116500.0
2019-09-17,121.72,122.52,121.06,122.39,2007500.0
2019-09-16,122.06,122.96,121.4,122.57,2294400.0
2019-09-13,123.19,123.45,122.33,122.67,3107300.0
2019-09-12,122.82,123.63,121.82,122.56,2224400.0
2019-09-11,122.43,122.9,121.21,122.85,2437000.0
2019-09-10,121.2,122.47,120.77,122.4,3070200.0
2019-09-09,121.0,122.19,120.28,121.66,2882300.0
2019-09-06,121.52,121.89,119.76,120.08,2116500.0
2019-09-05,120.12,122.54,120.0,121.2,2854900.0
2019-09-04,118.57,119.94,118.44,119.47,2732900.0
2019-09-03,117.66,118.38,116.19,117.33,1981800.0
2019-08-30,119.59,119.85,118.54,118.66,2209700.0
2019-08-29,117.81,119.51,117.34,118.37,2708100.0
2019-08-28,113.87,116.79,113.34,116.33,2609900.0
2019-08-27,114.67,115.0,113.46,114.13,2883900.0
