,open,high,low,close,volume
2019-10-25,56.25,57.045,56.25,56.74,3301913.0
2019-10-24,56.56,56.72,56.07,56.31,4934900.0
2019-10-23,56.5,56.85,56.33,56.58,4677900.0
2019-10-22,56.1,57.05,56.02,56.65,7135600.0
2019-10-21,55.71,56.34,55.61,56.19,4782100.0
2019-10-18,54.8,55.26,54.58,55.07,6217700.0
2019-10-17,54.8,55.17,54.44,54.71,4881300.0
2019-10-16,54.85,55.46,54.28,54.57,7941300.0
2019-10-15,53.33,54.01,53.12,53.76,8012800.0
2019-10-14,53.22,53.54,53.14,53.26,3708000.0
2019-10-11,54.0,54.12,53.43,53.47,5432200.0
2019-10-10,52.86,53.44,52.74,53.02,4432800.0
2019-10-09,52.73,52.85,52.3,52.61,3316600.0
2019-10-08,53.41,53.41,52.24,52.38,7799500.0
2019-10-07,53.9,54.3,53.83,53.93,3610900.0
2019-10-04,53.09,54.18,53.0,54.09,3657800.0
2019-10-03,52.72,53.07,52.08,53.05,4134700.0
2019-10-02,53.48,53.52,52.57,52.88,5346800.0
2019-10-01,55.61,55.68,53.71,53.78,5620300.0
2019-09-30,55.0,55.67,54.96,55.34,4403900.0
2019-09-27,55.53,55.78,55.07,55.43,4532500.0
2019-09-26,55.72,55.85,55.38,55.57,5115500.0
2019-09-25,55.58,55.92,55.34,55.74,3826000.0
2019-09-24,55.96,56.0,55.11,55.33,5249000.0
2019-09-23,55.08,55.77,55.05,55.68,3541800.0
2019-09-20,55.76,56.04,55.35,55.44,18203300.0
2019-09-19,56.02,56.23,55.64,55.8,3543800.0
2019-09-18,55.71,56.16,55.39,55.91,3850100.0
2019-09-17,55.3,55.93,55.04,55.9,5358400.0
2019-09-16,55.64,55.91,55.45,55.86,3880500.0
2019-09-13,56.13,56.45,55.69,56.08,5680800.0
2019-09-12,55.5,56.0,54.56,55.73,7144000.0
2019-09-11,55.82,55.97,55.14,55.95,5438100.0
2019-09-10,55.15,55.86,54.99,55.86,6414000.0
2019-09-09,53.92,55.06,53.68,54.91,5060800.0
2019-09-06,53.39,53.78,53.33,53.41,4991900.0
2019-09-05,53.13,54.07,53.09,53.27,4774500.0
2019-09-04,52.51,52.6,52.18,52.46,3031200.0
2019-09-03,52.4,52.41,51.74,52.02,4508900.0
2019-08-30,52.78,52.98,52.45,52.69,4975600.0
2019-08-29,52.12,52.55,52.02,52.39,3652400.0
2019-08-28,50.8,51.79,50.79,51.58,3545600.0
2019-08-27,51.51,51.61,50.81,51.04,4696400.0
2019-08-26,51.32,51.34,50.8,51.29,3968900.0
2019-08-23,51.87,52.29,50.6,50.95,6039900.0
2019-08-22,52.25,52.44,51.72,52.05,3522700.0
2019-08-21,52.1,52.21,51.6,51.86,3236600.0
2019-08-20,52.33,52.49,51.57,51.63,4399100.0
2019-08-19,53.12,53.21,52.5,52.67,3563000.0
2019-08-16,51.65,52.4597,50.84,52.28,6192300.0
2019-08-15,51.25,51.66,50.84,51.28,6654000.0
2019-08-14,51.83,52.22,50.83,50.9,9297700.0
2019-08-13,52.31,53.22,51.86,52.83,4671500.0
2019-08-12,52.2,52.63,51.98,52.24,3045000.0
2019-08-09,52.82,53.14,52.21,52.79,5491200.0
2019-08-08,53.09,53.24,52.69,52.96,5181300.0
2019-08-07,52.58,52.775,51.33,52.61,6955700.0
2019-08-06,53.33,53.61,52.5,53.56,4668300.0
2019-08-05,54.42,54.5,52.61,53.05,7480400.0
2019-08-02,55.34,55.68,54.62,55.43,7249400.0
2019-08-01,56.85,57.1887,55.48,55.69,8786800.0
2019-07-31,57.33,57.81,57.01,57.15,6685100.0
2019-07-30,56.78,57.29,56.65,57.14,5468000.0
2019-07-29,57.17,57.67,57.02,57.06,4603200.0
2019-07-26,56.55,57.48,56.55,57.38,6396300.0
2019-07-25,56.82,56.9523,56.41,56.56,5304400.0
2019-07-24,55.86,56.76,55.86,56.59,7947800.0
2019-07-23,55.35,56.11,55.33,56.03,7422200.0
2019-07-22,54.97,55.44,54.83,55.33,5568400.0
2019-07-19,55.07,55.54,54.97,55.0,7237700.0
2019-07-18,54.42,55.37,54.3,55.19,7893700.0
2019-07-17,53.05,54.84,52.81,54.22,8805200.0
2019-07-16,53.28,53.31,52.95,53.04,5441300.0
2019-07-15,53.66,53.7,52.9,53.12,4484500.0
2019-07-12,53.86,53.86,53.39,53.6,4257700.0
2019-07-11,53.2893,53.53,53.1,53.47,6137300.0
2019-07-10,53.42,53.51,52.95,53.18,3817500.0
2019-07-09,52.79,53.35,52.71,53.34,3676100.0
2019-07-08,53.33,53.6806,52.91,53.1,4123900.0
2019-07-05,53.55,53.84,53.35,53.68,3195300.0
2019-07-03,53.07,53.3462,52.9,53.25,2102700.0
2019-07-02,52.88,53.19,52.625,52.93,3175200.0
2019-07-01,52.93,53.22,52.75,53.01,3882300.0
2019-06-28,52.39,52.75,52.08,52.4,10087100.0
2019-06-27,51.85,52.25,51.68,51.98,3738700.0
2019-06-26,52.21,52.51,51.875,51.98,5012800.0
2019-06-25,52.2211,52.26,51.59,52.04,4671900.0
2019-06-24,52.2,52.65,51.8873,52.3,4681500.0
2019-06-21,52.18,52.62,52.12,52.26,9004800.0
2019-06-20,52.36,52.62,51.315,52.16,4533500.0
2019-06-19,52.38,52.95,52.04,52.12,5664000.0
2019-06-18,51.56,52.415,51.35,52.19,5293000.0
2019-06-17,52.62,52.77,51.4,51.51,5059900.0
2019-06-14,52.65,52.82,51.975,52.62,5665600.0
2019-06-13,52.77,53.0843,52.5,52.69,4313900.0
2019-06-12,53.14,53.4605,52.56,52.69,4153400.0
2019-06-11,53.26,53.64,52.945,53.18,3820200.0
2019-06-10,53.0,53.47,52.89,52.9,4866300.0
2019-06-07,52.58,52.89,52.45,52.67,4139700.0
2019-06-06,52.61,52.96,52.3863,52.77,4327200.0
