,open,high,low,close,volume
2019-10-25,174.93,179.15,173.5,177.85,8881055.0
2019-10-24,173.42,176.87,173.4,176.16,7872600.0
2019-10-23,170.99,172.17,170.18,171.32,7122300.0
2019-10-22,177.0,177.79,170.78,170.86,10094700.0
2019-10-21,176.0,176.73,174.61,176.43,4898200.0
2019-10-18,177.9,178.2,174.55,175.71,6311900.0
2019-10-17,178.89,179.19,177.5,177.94,4887900.0
2019-10-16,177.92,178.26,176.27,177.87,6509000.0
2019-10-15,178.13,179.43,177.55,178.75,4400200.0
2019-10-14,177.38,178.41,177.11,177.36,7240900.0
2019-10-11,176.87,179.2,176.85,177.06,8754400.0
2019-10-10,173.89,175.9,173.59,174.88,4762400.0
2019-10-09,174.11,175.99,173.64,174.88,6277300.0
2019-10-08,173.57,174.64,171.88,172.42,5336500.0
2019-10-07,174.66,175.69,173.8,174.9,5248300.0
2019-10-04,174.68,176.52,174.44,175.98,6027600.0
2019-10-03,169.91,173.14,168.63,172.87,7242800.0
2019-10-02,172.64,172.94,168.59,169.83,10596200.0
2019-10-01,173.02,174.82,172.82,174.29,8146200.0
2019-09-30,174.17,175.45,172.01,172.01,16464000.0
2019-09-27,176.7,176.83,172.36,174.0,9212600.0
2019-09-26,175.65,176.45,174.61,175.65,10419000.0
2019-09-25,173.8,175.67,172.39,175.28,7797300.0
2019-09-24,176.11,177.2,173.4,174.48,10039900.0
2019-09-23,172.9,175.25,172.79,174.91,8803500.0
2019-09-20,177.4,177.63,173.95,174.06,12820400.0
2019-09-19,176.2,177.41,175.61,175.96,6964500.0
2019-09-18,177.09,177.18,172.83,175.29,9542500.0
2019-09-17,176.83,178.26,175.04,176.45,5924700.0
2019-09-16,176.17,177.2,175.51,176.11,4253600.0
2019-09-13,178.65,178.77,176.02,177.27,6103200.0
2019-09-12,176.85,179.41,176.68,177.98,7748800.0
2019-09-11,177.4,177.93,174.45,174.98,9113600.0
2019-09-10,179.41,179.7,173.81,176.35,15255200.0
2019-09-09,186.92,187.05,179.51,181.55,7290500.0
2019-09-06,184.74,186.71,184.55,185.74,7990900.0
2019-09-05,183.73,185.68,183.38,184.73,6386800.0
2019-09-04,180.9,182.2,180.05,181.77,4154800.0
2019-09-03,180.52,181.25,179.1,179.2,4644000.0
2019-08-30,181.99,182.18,179.67,180.82,4061200.0
2019-08-29,180.4,181.39,179.31,181.17,4679200.0
