,open,high,low,close,volume
2019-10-25,125.93,125.845,120.17,120.3,891190.0
2019-10-24,128.91,135.46,124.54,126.33,1904500.0
2019-10-23,115.24,117.45,115.23,117.4,588200.0
2019-10-22,116.63,117.08,114.17,114.68,544900.0
2019-10-21,115.33,118.12,115.33,116.32,777100.0
2019-10-18,113.75,114.89,113.19,114.62,439200.0
2019-10-17,113.91,114.95,113.91,114.12,375200.0
2019-10-16,112.87,114.44,112.0,113.47,299100.0
2019-10-15,113.33,114.55,113.3,113.52,416100.0
2019-10-14,113.23,114.85,112.07,112.82,558300.0
2019-10-11,109.93,112.26,109.93,110.82,409100.0
2019-10-10,109.24,110.01,107.6,108.98,503900.0
2019-10-09,109.02,110.4,108.15,109.92,391600.0
2019-10-08,111.66,111.66,107.84,107.95,698900.0
2019-10-07,113.4,114.24,112.28,112.3,634300.0
2019-10-04,115.16,115.66,112.63,113.82,574700.0
2019-10-03,112.98,114.83,111.87,114.79,464900.0
2019-10-02,114.9,115.41,112.73,112.98,661000.0
2019-10-01,119.42,119.9,115.6,115.6,831900.0
2019-09-30,117.9,119.66,117.17,119.09,569600.0
2019-09-27,117.46,118.21,116.69,118.16,575000.0
2019-09-26,118.07,118.48,116.66,116.73,512100.0
2019-09-25,117.27,118.2,116.44,117.82,435000.0
2019-09-24,118.53,118.65,116.07,117.26,831300.0
2019-09-23,117.43,118.94,116.73,117.97,497200.0
2019-09-20,117.0,117.81,115.85,117.53,1297100.0
2019-09-19,117.25,117.79,115.75,115.96,489100.0
2019-09-18,118.14,118.16,115.94,117.44,524200.0
2019-09-17,117.24,118.6,116.22,118.09,748900.0
2019-09-16,116.51,117.3,115.39,117.21,625000.0
2019-09-13,119.62,119.7,116.8,117.39,1268600.0
2019-09-12,117.76,123.24,117.76,119.55,1612100.0
2019-09-11,111.24,115.27,111.0,115.19,1228600.0
2019-09-10,108.97,111.53,108.33,111.24,719100.0
2019-09-09,109.9,111.14,108.5,109.62,711400.0
2019-09-06,108.54,110.34,108.33,109.55,768600.0
2019-09-05,106.13,108.55,105.82,108.09,806100.0
2019-09-04,105.61,106.48,104.13,105.07,471200.0
2019-09-03,104.91,105.85,103.92,105.19,661700.0
2019-08-30,107.38,107.38,105.7,105.93,365400.0
2019-08-29,106.68,107.11,105.46,106.65,605400.0
2019-08-28,105.06,106.72,104.74,106.07,640000.0
2019-08-27,106.29,106.36,105.15,105.49,1098400.0
2019-08-26,107.01,107.38,104.8,105.63,1037000.0
2019-08-23,108.32,109.07,105.78,106.12,951100.0
2019-08-22,108.74,109.54,108.12,108.24,668200.0
2019-08-21,108.65,110.04,108.25,108.55,601900.0
2019-08-20,108.86,109.21,108.01,108.06,605400.0
2019-08-19,110.49,110.49,108.61,108.71,592400.0
2019-08-16,107.97,109.59,107.01,108.95,644500.0
2019-08-15,107.86,108.49,107.01,107.32,666900.0
2019-08-14,108.73,109.6,107.36,107.53,998300.0
2019-08-13,109.46,111.59,109.35,110.57,851500.0
2019-08-12,110.8,111.24,109.41,109.55,815200.0
2019-08-09,113.59,113.695,110.65,111.37,940600.0
2019-08-08,112.46,114.99,112.46,114.0,728800.0
2019-08-07,111.58,112.55,110.29,112.44,625000.0
2019-08-06,112.28,113.03,111.66,112.65,851900.0
2019-08-05,115.02,115.4526,110.94,111.63,804000.0
2019-08-02,118.0,118.59,115.2,116.31,523100.0
2019-08-01,117.27,120.25,117.16,118.69,1153600.0
2019-07-31,118.62,120.02,116.56,117.37,616000.0
2019-07-30,118.89,119.72,118.19,118.9,716900.0
2019-07-29,121.0,121.25,118.27,119.67,824300.0
2019-07-26,121.1347,121.66,120.25,120.76,889100.0
2019-07-25,127.87,127.94,120.12,121.09,1970000.0
2019-07-24,133.25,134.42,132.87,133.81,597000.0
2019-07-23,132.35,133.09,131.5,132.96,475400.0
2019-07-22,132.9637,133.56,131.93,132.17,615000.0
2019-07-19,135.95,136.23,132.75,132.8,531000.0
2019-07-18,134.48,135.89,134.48,135.36,362100.0
2019-07-17,135.17,135.57,133.83,134.85,546400.0
2019-07-16,135.74,136.0658,134.7,134.9,347800.0
2019-07-15,134.95,135.66,134.36,135.25,289400.0
2019-07-12,135.41,135.9,133.93,134.87,407100.0
2019-07-11,136.69,137.5,131.35,135.15,1103900.0
2019-07-10,138.23,138.86,136.47,136.59,846800.0
2019-07-09,136.82,138.18,135.87,138.1,458400.0
2019-07-08,138.53,138.87,136.96,137.31,324400.0
2019-07-05,138.31,140.38,136.92,139.44,359700.0
2019-07-03,140.0,140.0,138.175,138.87,564000.0
2019-07-02,139.77,140.24,137.95,139.79,704300.0
2019-07-01,137.5,139.87,137.185,139.63,564000.0
2019-06-28,133.42,136.14,132.845,136.13,728400.0
2019-06-27,132.82,133.29,131.13,133.02,588300.0
2019-06-26,135.19,135.52,132.05,132.21,349800.0
2019-06-25,136.62,137.0,135.22,135.32,316900.0
2019-06-24,137.24,137.885,135.86,136.2,348700.0
2019-06-21,136.41,137.77,134.78,137.22,765600.0
2019-06-20,136.69,137.98,135.08,136.36,407300.0
2019-06-19,133.9,136.16,133.9,135.92,388900.0
2019-06-18,132.25,134.93,131.61,134.25,459200.0
2019-06-17,130.93,131.94,130.92,131.49,254400.0
2019-06-14,132.35,132.35,130.61,130.88,518400.0
2019-06-13,132.51,132.51,130.93,132.08,294200.0
2019-06-12,130.84,132.43,130.66,132.0,324500.0
2019-06-11,132.22,132.802,129.015,130.67,520100.0
2019-06-10,131.2,132.231,130.42,131.32,232100.0
2019-06-07,130.44,131.32,130.11,130.69,310000.0
2019-06-06,127.573,130.33,127.435,129.66,464800.0
