,open,high,low,close,volume
2019-10-25,21.48,22.08,21.445,21.655,5801476.0
2019-10-24,22.0,22.0,21.08,21.49,9471500.0
2019-10-23,21.71,22.04,21.54,21.95,5848000.0
2019-10-22,21.88,21.98,21.52,21.83,6612200.0
2019-10-21,22.16,22.25,21.81,21.89,5276000.0
2019-10-18,22.62,22.76,22.04,22.05,9511700.0
2019-10-17,22.94,22.94,21.75,22.62,7996700.0
2019-10-16,22.77,23.12,22.72,22.83,4211500.0
2019-10-15,22.74,23.01,22.53,22.76,4644500.0
2019-10-14,22.99,22.99,22.47,22.73,6245300.0
2019-10-11,22.78,23.35,22.77,23.02,5119000.0
2019-10-10,22.57,22.77,22.4,22.54,3305500.0
2019-10-09,22.5,22.62,22.28,22.47,3096600.0
2019-10-08,22.99,22.99,22.14,22.18,4915500.0
2019-10-07,23.2,23.37,22.9,23.08,4217300.0
2019-10-04,22.98,23.46,22.86,23.26,4490400.0
2019-10-03,22.93,23.08,22.61,22.93,4671200.0
2019-10-02,23.7,23.77,22.95,23.01,6282500.0
2019-10-01,24.19,24.48,23.76,23.95,4386900.0
2019-09-30,24.08,24.27,23.97,24.03,4209500.0
2019-09-27,24.04,24.38,23.93,23.98,3217900.0
2019-09-26,24.55,24.55,24.03,24.05,3711100.0
2019-09-25,24.52,24.76,24.31,24.61,2533700.0
2019-09-24,25.08,25.09,24.24,24.6,3740500.0
2019-09-23,24.92,25.18,24.73,25.0,4010400.0
2019-09-20,25.32,25.41,24.91,24.94,5093700.0
2019-09-19,25.98,26.05,25.1,25.21,5509300.0
2019-09-18,25.69,25.89,25.46,25.76,6520200.0
2019-09-17,26.22,26.22,25.56,25.75,4853300.0
2019-09-16,25.92,26.24,25.77,26.17,4912400.0
2019-09-13,26.2,26.5,25.92,26.04,3622100.0
2019-09-12,26.34,26.43,25.67,26.22,6556500.0
2019-09-11,26.48,26.68,25.94,26.22,6035400.0
2019-09-10,26.19,26.82,26.19,26.54,7745000.0
2019-09-09,25.92,26.35,25.75,26.27,5310600.0
2019-09-06,25.8,26.08,25.59,25.88,9039800.0
2019-09-05,25.04,25.72,24.75,25.68,9242500.0
2019-09-04,24.8,24.96,24.4,24.82,5112600.0
2019-09-03,24.57,24.7,24.18,24.56,4340800.0
2019-08-30,25.38,25.38,24.83,24.98,6138000.0
2019-08-29,24.96,25.45,24.85,25.16,6199300.0
2019-08-28,24.29,24.95,24.24,24.83,5419900.0
2019-08-27,24.92,24.96,24.33,24.37,6292300.0
2019-08-26,25.11,25.18,24.64,24.79,7201800.0
2019-08-23,25.76,25.79,24.56,24.65,6981500.0
2019-08-22,26.3,26.39,25.84,25.87,5267100.0
2019-08-21,26.29,26.44,25.81,26.23,4418000.0
2019-08-20,26.07,26.35,25.87,26.24,5470600.0
2019-08-19,26.43,26.65,26.16,26.23,10930800.0
2019-08-16,26.18,26.3,25.95,26.02,7606700.0
2019-08-15,26.9,26.9,25.66,25.95,8383300.0
2019-08-14,28.54,28.54,26.6811,26.72,19424400.0
2019-08-13,28.54,29.55,28.44,29.21,12250500.0
2019-08-12,29.31,29.74,28.43,28.53,5616900.0
2019-08-09,30.51,30.638,29.6515,30.01,7424500.0
2019-08-08,30.45,31.28,30.36,30.78,5585000.0
2019-08-07,29.33,29.735,29.02,29.67,4499200.0
2019-08-06,29.47,29.74,29.12,29.66,3587500.0
2019-08-05,29.51,29.72,29.04,29.3,5085700.0
2019-08-02,29.75,30.1,29.23,29.78,5629400.0
2019-08-01,30.29,30.58,29.75,29.92,2978100.0
2019-07-31,30.9,31.03,30.1292,30.35,5264700.0
2019-07-30,30.9,31.0,30.66,30.96,2755400.0
2019-07-29,30.84,31.09,30.8,30.98,2653300.0
2019-07-26,30.97,31.1,30.77,30.97,2668900.0
2019-07-25,30.75,31.03,30.65,30.83,2115700.0
2019-07-24,29.96,30.83,29.9,30.76,3196900.0
2019-07-23,30.24,30.24,29.73,30.05,4725400.0
2019-07-22,30.5307,30.58,29.87,30.02,3071900.0
2019-07-19,30.61,30.83,30.4,30.49,3340300.0
2019-07-18,31.02,31.02,30.51,30.58,3419900.0
2019-07-17,31.7,31.7,31.04,31.04,3083100.0
2019-07-16,31.7,31.9,31.47,31.71,3470900.0
2019-07-15,31.45,31.78,31.45,31.73,1613400.0
2019-07-12,31.84,31.96,31.57,31.7,3617200.0
2019-07-11,31.39,31.7312,31.16,31.71,2736100.0
2019-07-10,31.36,31.47,31.12,31.28,2782400.0
2019-07-09,31.23,31.43,31.06,31.25,2961300.0
2019-07-08,31.25,31.46,31.08,31.4,2222200.0
2019-07-05,31.03,31.529,30.88,31.37,2215800.0
2019-07-03,30.81,31.22,30.619,31.16,1866200.0
2019-07-02,30.39,30.75,30.15,30.61,2629200.0
2019-07-01,30.15,30.55,30.08,30.5,4143900.0
2019-06-28,29.34,29.89,29.2,29.87,4921100.0
2019-06-27,29.05,29.41,28.823,29.27,2637300.0
2019-06-26,29.64,29.88,28.99,29.03,4705900.0
2019-06-25,30.51,30.52,29.48,29.52,4150200.0
2019-06-24,30.77,30.8989,30.3,30.42,5277700.0
2019-06-21,30.63,31.18,30.27,30.8,7464300.0
2019-06-20,30.62,30.8,30.2,30.71,4087200.0
2019-06-19,30.13,30.92,30.0,30.47,5455200.0
2019-06-18,29.65,30.05,29.42,29.81,6232000.0
2019-06-17,29.47,29.69,28.969,29.3,4111100.0
2019-06-14,29.6,29.67,29.32,29.39,2952600.0
2019-06-13,29.2,29.932,29.18,29.84,4668000.0
2019-06-12,29.01,29.185,28.91,29.14,1864100.0
2019-06-11,29.14,29.23,28.87,28.94,3514100.0
2019-06-10,29.4,29.49,28.68,29.07,4728600.0
2019-06-07,29.26,29.575,29.05,29.28,2596700.0
2019-06-06,29.23,29.32,28.92,29.18,2667600.0
