,open,high,low,close,volume
2019-10-25,98.0,99.84,97.0548,99.27,3601352.0
2019-10-24,95.3,97.4,95.15,96.91,4566300.0
2019-10-23,93.6,94.66,93.24,93.85,3534600.0
2019-10-22,93.54,94.59,92.74,94.17,3087300.0
2019-10-21,92.02,93.5,91.59,93.21,3227700.0
2019-10-18,89.9,91.66,89.62,91.06,3796200.0
2019-10-17,89.62,90.78,89.45,90.1,2545300.0
2019-10-16,89.08,90.28,88.67,89.09,2267300.0
2019-10-15,88.27,90.36,87.83,89.45,2197400.0
2019-10-14,87.54,89.0,87.25,88.53,1372200.0
2019-10-11,87.18,88.83,86.84,88.0,3118200.0
2019-10-10,85.1,86.16,84.88,85.8,2477400.0
2019-10-09,84.5,86.13,83.92,85.07,2781400.0
2019-10-08,82.72,84.34,82.26,83.32,2900800.0
2019-10-07,84.73,84.73,83.42,83.42,1994200.0
2019-10-04,83.92,84.71,83.45,84.52,2066600.0
2019-10-03,82.29,83.57,81.3,83.54,2430500.0
2019-10-02,84.4,84.4,82.27,82.8,2785300.0
2019-10-01,85.64,85.98,84.45,85.22,3193700.0
2019-09-30,84.67,86.0,84.35,85.24,2899600.0
2019-09-27,83.8,85.06,83.5,84.44,2861400.0
2019-09-26,83.25,83.52,81.66,83.12,2884900.0
2019-09-25,83.43,84.11,82.61,83.66,2541200.0
2019-09-24,83.98,84.06,82.27,83.1,2846100.0
2019-09-23,82.37,84.55,82.37,84.14,2005100.0
2019-09-20,83.61,84.14,82.75,82.85,3807400.0
2019-09-19,84.32,84.7,83.33,83.55,2432900.0
2019-09-18,84.32,84.44,82.63,83.6,2458800.0
2019-09-17,81.92,85.0,81.51,84.31,4537900.0
2019-09-16,82.01,82.58,79.28,82.39,9945800.0
2019-09-13,84.35,85.71,83.92,85.53,4410300.0
2019-09-12,81.67,84.49,81.12,83.7,3848000.0
2019-09-11,82.11,83.25,81.12,82.67,3421700.0
2019-09-10,79.48,81.91,79.43,81.68,3634500.0
2019-09-09,78.7,80.19,78.42,79.38,2757000.0
2019-09-06,77.17,78.69,76.48,78.13,3036800.0
2019-09-05,75.55,77.25,75.12,76.79,4630500.0
2019-09-04,75.46,75.49,74.09,74.78,2579100.0
2019-09-03,73.9,74.83,73.24,74.57,2388900.0
2019-08-30,75.55,76.58,75.11,75.28,2467600.0
2019-08-29,73.06,75.39,73.0,75.24,2660000.0
2019-08-28,71.6,73.58,71.0,72.76,2125800.0
2019-08-27,74.1,74.43,71.39,71.71,3700300.0
2019-08-26,74.72,75.3,73.52,73.71,2912900.0
2019-08-23,76.79,77.69,73.78,74.18,3508000.0
2019-08-22,78.52,79.03,77.36,77.42,2307600.0
2019-08-21,79.27,79.27,77.73,78.4,2409400.0
2019-08-20,79.46,79.63,77.94,78.01,2572600.0
2019-08-19,79.2,80.44,79.08,79.7,2835300.0
2019-08-16,77.54,78.42,75.52,78.12,2697500.0
2019-08-15,76.24,77.05,75.52,76.72,3082200.0
2019-08-14,77.05,77.97,75.97,76.0,3912400.0
2019-08-13,77.31,79.26,76.34,78.74,3099000.0
2019-08-12,78.02,78.91,76.65,77.15,3011400.0
2019-08-09,78.53,79.57,78.235,78.85,3789700.0
2019-08-08,76.23,78.83,76.134,78.76,3474200.0
2019-08-07,75.6121,76.13,74.21,75.81,4100500.0
2019-08-06,76.77,77.55,75.84,76.84,3328300.0
2019-08-05,79.64,79.65,75.08,75.78,5976300.0
2019-08-02,83.5,83.9069,81.01,82.07,3289900.0
2019-08-01,85.21,86.53,83.66,84.34,4233900.0
2019-07-31,84.72,86.5,84.45,85.25,3217900.0
2019-07-30,83.5,84.8,82.9,84.79,2589800.0
2019-07-29,84.07,84.81,83.25,84.03,2013600.0
2019-07-26,83.21,85.0,83.08,84.31,2712500.0
2019-07-25,86.18,86.45,82.16,83.45,5248400.0
2019-07-24,84.56,86.59,84.1,86.17,4002300.0
2019-07-23,84.43,85.3,84.1,84.77,2902200.0
2019-07-22,84.31,84.94,83.35,84.35,2346700.0
2019-07-19,83.49,84.22,83.28,83.65,1903100.0
2019-07-18,82.61,83.45,81.98,83.35,2060100.0
2019-07-17,84.0834,84.45,82.34,83.24,2954900.0
2019-07-16,84.25,84.92,83.62,84.21,1772900.0
2019-07-15,84.54,84.83,83.0467,84.32,2513500.0
2019-07-12,84.55,85.25,84.07,84.75,1769500.0
2019-07-11,83.94,84.93,83.57,84.43,2782400.0
2019-07-10,83.2,83.66,82.16,83.4,2976800.0
2019-07-09,80.99,82.73,80.88,82.24,2654600.0
2019-07-08,81.72,81.98,80.75,81.36,2320500.0
2019-07-05,81.76,82.1,81.25,81.84,1653400.0
2019-07-03,80.83,82.48,80.62,81.98,2307400.0
2019-07-02,83.75,83.75,79.74,80.7,7182100.0
2019-07-01,86.84,87.2392,83.79,84.25,4558900.0
2019-06-28,84.06,85.7675,84.0,85.61,3248200.0
