,open,high,low,close,volume
2019-10-25,64.5,64.86,64.23,64.28,402215.0
2019-10-24,64.93,64.97,64.33,64.52,804500.0
2019-10-23,63.72,64.71,63.24,64.71,800900.0
2019-10-22,63.45,63.81,62.74,63.65,630200.0
2019-10-21,62.48,63.39,62.45,63.38,733200.0
2019-10-18,62.55,62.62,61.99,62.42,705900.0
2019-10-17,62.91,63.0,62.04,62.64,818200.0
2019-10-16,63.35,63.67,62.72,62.95,966500.0
2019-10-15,62.23,63.53,62.07,63.46,1602300.0
2019-10-14,62.64,62.64,61.78,62.19,404600.0
2019-10-11,62.37,63.24,62.24,62.64,685000.0
2019-10-10,62.52,62.69,62.08,62.19,709900.0
2019-10-09,63.23,63.24,62.41,62.46,562900.0
2019-10-08,63.39,63.52,62.81,62.81,908800.0
2019-10-07,63.79,64.19,63.55,63.58,1025500.0
2019-10-04,63.59,64.05,63.3,64.04,1257200.0
2019-10-03,62.8,63.5,62.36,63.43,1491900.0
2019-10-02,62.49,63.0,62.33,62.75,1274000.0
2019-10-01,63.8,63.88,62.33,62.76,1008900.0
2019-09-30,64.07,64.51,63.41,63.67,2086400.0
2019-09-27,63.94,64.06,63.21,64.06,1374900.0
2019-09-26,63.63,63.87,63.26,63.69,1137100.0
2019-09-25,62.27,63.51,62.27,63.35,998700.0
2019-09-24,63.09,63.24,61.71,62.17,1287300.0
2019-09-23,62.21,63.12,62.05,62.85,1104200.0
2019-09-20,62.55,63.37,62.34,62.62,4925600.0
2019-09-19,63.25,63.25,62.63,62.78,2248200.0
2019-09-18,63.47,63.47,62.48,62.92,897000.0
2019-09-17,64.0,64.0,63.22,63.33,1079700.0
2019-09-16,63.43,63.95,62.92,63.91,1231500.0
2019-09-13,64.31,64.82,62.99,63.47,1309600.0
2019-09-12,64.48,64.69,63.11,64.13,1665600.0
2019-09-11,63.64,64.42,63.22,64.25,1263400.0
2019-09-10,62.68,63.66,62.03,63.66,1512000.0
2019-09-09,62.59,62.86,61.37,62.82,1389300.0
2019-09-06,62.04,63.13,62.01,62.75,1272700.0
2019-09-05,61.57,61.97,60.81,61.92,1181900.0
2019-09-04,61.61,61.82,60.99,61.52,964900.0
2019-09-03,60.34,61.22,60.03,61.21,908700.0
2019-08-30,60.53,60.64,60.0,60.47,931000.0
2019-08-29,59.88,60.31,59.63,60.27,704500.0
2019-08-28,59.14,59.65,59.05,59.48,840600.0
2019-08-27,59.9,60.32,59.15,59.24,1576700.0
2019-08-26,59.2,59.58,58.6,59.46,2018800.0
2019-08-23,60.0,60.5,58.61,58.81,1091000.0
2019-08-22,60.08,60.42,59.61,60.2,923900.0
2019-08-21,60.58,60.83,60.12,60.14,847900.0
2019-08-20,61.05,61.26,60.31,60.34,1324000.0
2019-08-19,61.77,61.84,61.33,61.39,1234100.0
2019-08-16,60.35,61.46,59.99,61.25,3481300.0
2019-08-15,60.2953,60.95,59.99,60.32,1013500.0
2019-08-14,61.04,61.29,60.06,60.19,1122300.0
2019-08-13,61.14,61.91,61.0,61.48,1374500.0
2019-08-12,61.65,61.84,60.97,61.16,1655200.0
2019-08-09,62.33,62.5,61.63,61.93,1354500.0
2019-08-08,60.99,62.48,60.62,62.43,1102900.0
2019-08-07,60.46,61.425,59.84,60.89,1186800.0
2019-08-06,61.17,61.62,60.6,60.87,1696100.0
2019-08-05,62.4,62.5,60.16,61.04,1596100.0
2019-08-02,62.88,63.375,62.66,62.85,1273300.0
2019-08-01,64.32,64.81,63.39,63.52,1350400.0
2019-07-31,64.57,64.81,63.58,64.32,1838200.0
2019-07-30,65.24,65.26,64.11,64.51,1651900.0
2019-07-29,64.1221,65.0,63.98,64.24,934300.0
2019-07-26,63.59,64.14,63.2,63.92,1255700.0
2019-07-25,63.87,63.89,63.3,63.59,733300.0
2019-07-24,63.77,64.37,63.36,63.89,2224200.0
2019-07-23,63.1,63.97,62.97,63.68,1100100.0
2019-07-22,63.94,63.94,62.9901,62.99,723400.0
2019-07-19,65.18,65.29,63.92,63.92,863700.0
2019-07-18,64.78,65.3105,64.28,65.06,844600.0
2019-07-17,65.48,65.6,64.62,65.05,729700.0
2019-07-16,65.44,65.66,65.23,65.49,1107000.0
2019-07-15,65.77,65.88,65.32,65.52,949300.0
2019-07-12,65.57,65.79,65.26,65.6,585400.0
2019-07-11,66.24,66.24,65.06,65.48,834100.0
2019-07-10,66.42,66.72,65.72,66.3,788100.0
2019-07-09,65.77,66.22,65.51,66.01,804800.0
2019-07-08,65.4,65.69,65.21,65.66,717800.0
2019-07-05,65.0,65.6997,64.38,65.52,443100.0
2019-07-03,65.28,65.79,65.28,65.5,361600.0
2019-07-02,64.4,65.3,64.23,65.15,721300.0
2019-07-01,64.6711,64.67,63.49,64.22,626900.0
2019-06-28,63.68,64.52,63.68,64.1,1229200.0
2019-06-27,63.36,64.14,63.12,63.68,754800.0
2019-06-26,64.56,64.56,62.865,63.12,2196100.0
2019-06-25,65.66,65.82,64.53,64.56,729400.0
2019-06-24,67.0,67.235,65.54,65.61,690600.0
2019-06-21,67.38,67.38,66.07,66.77,1509600.0
2019-06-20,67.4115,67.88,67.265,67.52,692500.0
2019-06-19,66.66,67.515,66.17,67.11,808200.0
2019-06-18,67.64,68.26,66.47,66.77,827300.0
2019-06-17,66.44,67.43,66.325,67.25,573200.0
2019-06-14,66.62,66.92,65.98,66.2,1215600.0
2019-06-13,66.88,67.27,66.49,66.83,711300.0
2019-06-12,66.83,67.395,66.25,66.73,747400.0
2019-06-11,67.46,67.84,66.32,66.69,823900.0
2019-06-10,68.57,68.76,67.0288,67.4,749200.0
2019-06-07,68.54,68.85,68.32,68.37,549600.0
2019-06-06,68.18,68.44,67.72,68.18,691000.0
