,open,high,low,close,volume
2019-10-25,193.13,195.94,192.55,194.49,1002348.0
2019-10-24,191.7,194.9,189.35,194.47,1881000.0
2019-10-23,190.37,192.54,186.41,190.51,1544600.0
2019-10-22,186.91,194.75,186.19,191.06,4428000.0
2019-10-21,177.23,184.81,174.82,183.53,1097200.0
2019-10-18,180.25,180.25,175.38,176.23,1122600.0
2019-10-17,177.8,180.05,177.5,177.72,1133600.0
2019-10-16,175.32,177.2,173.62,176.09,749400.0
2019-10-15,174.36,176.98,174.02,176.14,738800.0
2019-10-14,172.32,175.25,172.32,173.59,540600.0
2019-10-11,171.44,174.72,171.13,172.41,854900.0
2019-10-10,168.42,170.37,167.62,170.22,765600.0
2019-10-09,170.87,171.99,168.55,168.73,768500.0
2019-10-08,170.47,171.89,167.6,169.55,972100.0
2019-10-07,171.55,172.76,169.27,172.05,897300.0
2019-10-04,170.89,172.92,170.52,172.42,873400.0
2019-10-03,166.06,170.64,166.06,170.5,1094000.0
2019-10-02,167.69,168.52,165.23,166.71,1486100.0
2019-10-01,169.24,170.11,166.52,167.58,950800.0
2019-09-30,169.55,171.29,167.61,169.42,1432300.0
2019-09-27,170.29,170.54,165.53,166.74,1206300.0
2019-09-26,172.05,172.05,167.43,169.55,1593800.0
2019-09-25,172.31,173.49,170.56,171.5,949600.0
2019-09-24,176.32,177.78,171.03,172.52,767400.0
2019-09-23,178.23,179.01,175.77,175.88,724000.0
2019-09-20,177.01,179.55,175.58,178.12,1719400.0
2019-09-19,174.48,176.7,173.6,176.14,773500.0
2019-09-18,176.01,176.5,171.96,174.52,1172700.0
2019-09-17,173.02,177.82,173.02,176.0,1157200.0
2019-09-16,173.89,178.09,173.13,177.55,959000.0
2019-09-13,173.16,175.79,172.45,174.94,1216300.0
2019-09-12,174.39,175.45,172.0,172.45,874500.0
2019-09-11,171.19,173.61,170.9,173.11,1190800.0
2019-09-10,174.03,174.14,166.65,171.01,1849400.0
2019-09-09,181.09,181.28,174.45,174.81,1177000.0
2019-09-06,180.35,182.15,179.33,181.33,979400.0
2019-09-05,178.18,180.05,177.02,179.86,868700.0
2019-09-04,179.73,179.75,173.56,176.83,1003300.0
2019-09-03,180.55,181.57,177.58,178.7,1030100.0
2019-08-30,180.26,181.2,178.76,180.02,892900.0
2019-08-29,179.3,180.5,178.14,178.98,680300.0
2019-08-28,177.47,180.71,170.54,178.34,1680200.0
