,open,high,low,close,volume
2019-10-25,70.27,70.53,65.51,66.0,6196606.0
2019-10-24,73.03,73.27,72.2,72.47,1229500.0
2019-10-23,72.1,73.2,71.91,73.18,1652800.0
2019-10-22,73.05,73.36,71.88,71.99,1523600.0
2019-10-21,72.57,72.91,71.97,72.69,1537000.0
2019-10-18,71.94,73.1,71.84,72.86,1534300.0
2019-10-17,71.83,72.11,71.55,71.94,1294200.0
2019-10-16,72.23,72.23,71.19,71.8,1510500.0
2019-10-15,72.7,72.89,71.52,72.24,1795600.0
2019-10-14,72.25,72.69,71.8,72.65,1451900.0
2019-10-11,73.25,73.39,72.01,72.13,1828800.0
2019-10-10,73.57,73.82,72.87,73.13,1457000.0
2019-10-09,73.46,73.9,73.19,73.7,1401300.0
2019-10-08,74.0,74.11,73.11,73.15,2182200.0
2019-10-07,74.08,74.58,73.48,73.68,1873200.0
2019-10-04,74.26,74.64,73.95,74.56,1413500.0
2019-10-03,72.98,74.71,72.9,74.05,1644400.0
2019-10-02,72.67,73.13,72.45,72.91,1762000.0
2019-10-01,72.84,72.97,72.14,72.56,1216400.0
2019-09-30,73.03,73.6,72.81,73.03,1479900.0
2019-09-27,73.83,73.95,72.99,73.65,1174800.0
2019-09-26,73.14,74.12,73.03,73.73,997200.0
2019-09-25,72.52,73.08,72.27,72.84,1115000.0
2019-09-24,72.89,73.13,71.92,72.46,1628700.0
2019-09-23,72.14,73.0,72.14,72.63,1676100.0
2019-09-20,72.48,72.63,71.92,72.21,4720000.0
2019-09-19,72.73,72.89,72.16,72.27,1387700.0
2019-09-18,73.41,73.41,71.75,72.51,1461600.0
2019-09-17,71.45,73.0,71.45,72.98,1673400.0
2019-09-16,70.0,71.0,69.92,70.86,2286100.0
2019-09-13,70.88,71.59,69.69,69.98,3402200.0
2019-09-12,72.18,72.88,71.12,71.17,2892500.0
2019-09-11,71.58,72.33,70.82,71.46,3305600.0
2019-09-10,73.25,73.47,71.38,71.96,2697700.0
2019-09-09,74.78,75.16,73.52,73.93,1342500.0
2019-09-06,74.63,75.29,74.47,75.23,1428400.0
